"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"COL6A3"	-1.61277608335795	9.48677643369881	42.8646690216677	1.04550833226134e-08	0.000148319075512903
"COL3A1"	-2.07239557003663	11.9025481221262	42.4128844802481	1.20257084779587e-08	0.000148319075512903
"STMN2"	-4.01706435675966	1.4334503928565	35.9770324595493	9.47065135731987e-08	0.000778708523436698
"ANGPTL1"	-3.41943191917403	-1.09485100680628	34.7723678637212	1.41526803074082e-07	0.000872760412857093
"SCUBE3"	-2.40478127995603	4.80784744120651	33.985033396669	1.84533551024066e-07	0.000910377820622125
"AIRN"	5.00513328804159	-0.322091204180878	33.2643101972443	2.35734427416582e-07	0.000969143520180805
"APCDD1L"	-2.6006305434316	2.82742458800422	32.3770590058142	3.19517375250599e-07	0.00100350720873583
"POPDC3"	-3.35629785403733	-1.11096987856336	32.1939208030392	3.40342346938847e-07	0.00100350720873583
"CNTNAP2"	-1.98008550395265	4.20079040783598	31.9824644147425	3.66139574274231e-07	0.00100350720873583
"HOXC12"	-3.08906056627107	-1.1344997535949	31.1865618529505	4.8277886443426e-07	0.00119087062489999
"ENSG00000287657"	-3.5993538775893	-1.0213216376583	30.8968477854988	5.34234389942093e-07	0.00119799633606378
"CENPNP1"	4.62437167064169	-0.868933499494843	30.2598542356709	6.6825872478868e-07	0.00133525244494038
"AEBP1"	-1.26196190410817	8.19667871494463	30.0610569717122	7.16848410105735e-07	0.00133525244494038
"HP"	-2.07459162182495	6.94055776495509	29.8423735413511	7.74531424799315e-07	0.00133525244494038
"ENSG00000227527"	-3.46491471807064	-0.986800862012799	29.6883194186589	8.18026997837642e-07	0.00133525244494038
"RARRES2P5"	4.51996895381941	-0.681060200026055	29.4810689718096	8.80554065067369e-07	0.00133525244494038
"MMP2"	-1.23072666103938	8.27320035706642	29.3572979608788	9.20229114362773e-07	0.00133525244494038
"FNDC1"	-1.91497718895609	6.36278258006896	29.0171874629853	1.03903773265185e-06	0.00142388576396241
"CPB1"	3.93070939473025	-0.969132772458753	28.6881666311989	1.16908173618542e-06	0.00146196519521778
"ENSG00000267446"	2.99900560265302	-1.14674514699623	28.6496644750466	1.18536116691756e-06	0.00146196519521778
"ZBTB40-IT1"	-3.05236438831776	-1.11212372943887	28.3660168458845	1.31274079195097e-06	0.00148529375424944
"DMBT1L1"	4.76791476811389	-0.562759011132079	28.3408527188024	1.32470355509335e-06	0.00148529375424944
"FN1"	-1.3438053317707	11.2348002012008	28.0982625714812	1.44596702147243e-06	0.00150134914964949
"ENSG00000254035"	-3.75960057792567	-0.687561691566239	28.0701309138087	1.46075240570753e-06	0.00150134914964949
"ADAMTS14"	-1.47226340736379	3.17898950264241	27.717295509383	1.66002818875861e-06	0.00157626769426157
"ENSG00000269976"	-3.35971214096623	-0.969181085122927	27.5314717077603	1.77606342117454e-06	0.00157626769426157
"COL10A1"	-2.38613357561279	3.65894495139449	27.3024193060936	1.93070766202795e-06	0.00157626769426157
"CCDC185"	4.39301265732737	-0.769944637825368	27.2725496833792	1.95187510313442e-06	0.00157626769426157
"SEC14L3"	-2.70216667728944	-1.22327501626655	27.1810285454461	2.01823707516387e-06	0.00157626769426157
"PGLYRP2"	3.89007660221887	-0.871869202013958	27.1621338598512	2.03222532197096e-06	0.00157626769426157
"THY1"	-1.36125393931878	6.52624724752051	27.1343116931257	2.05300530966927e-06	0.00157626769426157
"RPS10P21"	3.88189828073438	-0.896168808858307	26.9981357319088	2.15792438488015e-06	0.00157626769426157
"ENSG00000272321"	-3.91156265887464	-0.873946747284089	26.9906947150229	2.16381456235464e-06	0.00157626769426157
"RPL18P10"	-4.52602469232312	-0.941923712199243	31.4824945651465	2.17266394798287e-06	0.00157626769426157
"IGFBP4"	-1.21154331048605	9.53762258815451	26.8050152290513	2.3162985069674e-06	0.00163246100775328
"PNMA5"	3.99183312919004	-0.810153044530143	26.4099752749586	2.67876601080003e-06	0.00181724159115163
"COL11A1"	-1.75532963232335	5.98505179277554	26.3627809249475	2.72582555124702e-06	0.00181724159115163
"FMO1"	-3.22132775443985	-1.07358209686965	26.1534608527496	2.94506778440437e-06	0.00191173650099744
"CHI3L2"	-1.94339443263387	7.74308509568061	25.9508012824322	3.17471456880648e-06	0.00194415326428927
"ENSG00000285601"	3.73804324591727	-1.01045729763358	29.8078806896299	3.21476474177845e-06	0.00194415326428927
"SLC6A19"	4.30381798525095	-0.0455022281605847	25.9030616128111	3.23145432504398e-06	0.00194415326428927
"MYOD1"	4.00644911339878	-0.80749978896027	25.5318869757927	3.70993536721566e-06	0.00217393416197994
"SLC26A4-AS1"	4.78771494420989	-0.777723701928873	29.238335149166	3.7896448277106e-06	0.00217393416197994
"ENSG00000257373"	3.52608690916259	-1.05374245724888	25.3601320923801	3.95555911460943e-06	0.00221754037909252
"ENSG00000272255"	-2.98203663394668	-1.13758473237754	24.9885499825642	4.54614108492955e-06	0.00247987319440512
"OR1F12"	4.01694851113105	-0.806686480809957	24.9255491374612	4.65497124850508e-06	0.00247987319440512
"CERCAM"	-0.826519729152701	5.97413909042284	24.8857531900325	4.72509993663764e-06	0.00247987319440512
"BPIFB4"	-3.17251574714046	1.14341027693191	24.4844725824872	5.49632386775388e-06	0.00282453793428927
"ENSG00000279936"	3.53603450448351	-1.01890994508751	24.3869404585121	5.70270658024208e-06	0.00282768789760543
"ABI3BP"	-1.2898382994275	3.11630181341557	24.373521299552	5.73172233673618e-06	0.00282768789760543
"ENSG00000255871"	3.53093649432561	-0.981627463053171	24.2824940438729	5.93261640898804e-06	0.00286940880314722
"LINC02055"	3.24439039372176	-1.03990285474241	24.0892635079034	6.38354556197602e-06	0.00289306444978687
"KRT8P21"	4.78064545516481	-0.159868012459014	24.0767963172704	6.41382864570379e-06	0.00289306444978687
"PRDX3P1"	-3.29469439172726	-1.15847160411588	27.6486825155882	6.48728826602494e-06	0.00289306444978687
"FOXN1"	3.96779602656479	-0.749290668926148	24.0325882656612	6.52241251494821e-06	0.00289306444978687
"C5orf58"	3.98888939230336	-0.718396172299266	24.0142745155451	6.56794945425323e-06	0.00289306444978687
"ENSG00000239783"	3.66717389115222	-0.942210027421011	23.954686097707	6.71840161312684e-06	0.00290741776475438
"ENSG00000280057"	2.9870381033331	-1.15318756163716	23.7564662638471	7.24500956349499e-06	0.00307940556252682
"ENSG00000254684"	3.53650839436838	-1.06512926556999	26.9244964618964	7.51096854026875e-06	0.00307940556252682
"ENSG00000234405"	-3.46566367898994	-0.922103228450575	23.6539060656564	7.53404395622731e-06	0.00307940556252682
"LINC02004"	3.7478731973703	-1.0541218436471	26.878777985944	7.61518382106199e-06	0.00307940556252682
"C6"	-2.54956862480825	2.40861554105705	23.4847703313932	8.03699834781004e-06	0.00319755868137791
"ENSG00000271653"	3.86591567925189	-0.917790390598126	23.4060278456736	8.28286668211164e-06	0.0032430709912325
"FLYWCH1P1"	3.95622950934643	-0.760554873761223	23.2804578218997	8.69114947284684e-06	0.00334975912572989
"PNPLA3"	-1.97052013607112	2.25292098221081	23.1840419057287	9.01871881293254e-06	0.0034225344147478
"CALML5"	3.99535358535945	-0.811686877105937	22.9131079213383	1.00092596163561e-05	0.00365222848787693
"LINC02415"	5.15633023335986	-0.594691871862524	25.9715783396789	1.00318677400371e-05	0.00365222848787693
"ENSG00000275846"	3.75567090162157	-1.06807248878116	25.9115049051102	1.02181660738649e-05	0.00365222848787693
"RHOA-IT1"	-2.87931736335755	-1.10778844594815	22.837209751007	1.03064307473954e-05	0.00365222848787693
"ENSG00000250629"	-4.01468781682136	-1.03345073676202	26.0776126412752	1.03642921373246e-05	0.00365222848787693
"COL5A1"	-1.20060281526998	9.36617512401595	22.4006897152154	1.22019504387721e-05	0.00418613203751331
"CALHM1"	3.94008544999849	-0.820439183516206	22.3738873641456	1.23294775717146e-05	0.00418613203751331
"SOX21-AS1"	4.38416933711068	-0.945982644047198	25.2863498599911	1.23885206445239e-05	0.00418613203751331
"MNX1-AS1"	3.91947087556387	-1.05284216691723	25.1827902847282	1.27927044559632e-05	0.00422828391747682
"LINC02344"	3.55449817327663	-1.14246212543019	25.166862219641	1.28560949369912e-05	0.00422828391747682
"MYOC"	3.28318612059697	-1.16460516814681	24.9770436774883	1.36375771992538e-05	0.00442629101018412
"CPXM1"	-1.74724633863196	5.09144360662402	21.6800268804269	1.61581251014885e-05	0.00515077011538395
"PTN"	-1.21798393230592	4.23635408623209	21.6443152383028	1.6385686768316e-05	0.00515077011538395
"PPEF1"	-3.26545241761765	-1.03493382908461	21.5987199273091	1.66810528539154e-05	0.00515077011538395
"ENSG00000233109"	-3.69814800606242	-0.93132056044768	21.5950637509842	1.67049746313178e-05	0.00515077011538395
"FBLN1"	-1.15606113087826	7.80429218531838	21.5415187783715	1.7059401828403e-05	0.00518582299614166
"MIR31HG"	-3.77046171725523	-0.423859634974159	21.5148049658708	1.72391245665714e-05	0.00518582299614166
"MXRA5"	-0.89366986163331	7.00694827430199	21.3670837361622	1.82689043328248e-05	0.00542938630334685
"SLC25A1P3"	4.56883256263659	-0.908727337993608	23.7214191404726	2.02493809023955e-05	0.00584726488196916
"ENSG00000286864"	3.79765039720531	-1.10614832050349	23.7146739778463	2.02929059500504e-05	0.00584726488196916
"ENSG00000266602"	6.0524761163756	-0.351610337881562	23.6866635333755	2.04747106027245e-05	0.00584726488196916
"HTRA3"	-0.826636057005779	4.92125157181381	21.0593900687533	2.06231825812347e-05	0.00584726488196916
"ENSG00000288162"	3.51489191693312	-1.15762702805393	23.5911737040128	2.1107530210124e-05	0.00591658463287648
"ENSG00000285254"	3.502559261974	-0.900532173776988	20.9315743108203	2.1691379499148e-05	0.00593831824474329
"ENSG00000256029"	3.40600230641821	-1.10277949022602	23.4756836623451	2.19005948689102e-05	0.00593831824474329
"SLC12A5-AS1"	3.89039026265571	-0.619988569901554	20.8868701440301	2.20783526903884e-05	0.00593831824474329
"LRRC14B"	4.06356469712903	-0.57192707346467	20.8595232905737	2.23185875377795e-05	0.00593831824474329
"RPL13AP3"	3.33579604890166	-0.922913039109788	20.8491693419621	2.24102481044391e-05	0.00593831824474329
"SMOC2"	-1.27212338089065	4.50534080331598	20.824579109897	2.26295015610277e-05	0.00593831824474329
"RN7SL426P"	2.88777346458432	-1.07846327609348	20.650651891114	2.42449840758391e-05	0.0062775398209127
"LINC00554"	3.75924855393845	-1.05867492270845	23.0978371761076	2.47226282704206e-05	0.0062775398209127
"KRT2"	2.9169216404279	-0.978098460383281	20.5948833035808	2.47878594556936e-05	0.0062775398209127
"ENSG00000229771"	-3.54478728030361	-0.906366153816698	20.5794645470776	2.49401590160719e-05	0.0062775398209127
"COL6A1"	-0.952989825564925	10.0442152760003	20.5249006038908	2.54869321533009e-05	0.00635036520631792
"HNRNPA1P9"	4.91533982213009	-0.836650379762981	22.9174867946302	2.62026823537596e-05	0.00646341565620188
"RN7SL854P"	2.85473602829467	-1.13083373889689	20.3878335298742	2.69158141102033e-05	0.00653623264330837
"KLF14"	3.49931393944156	-0.587676213165155	20.3774072702301	2.70278400136804e-05	0.00653623264330837
"TTK"	4.67007282931296	-0.860086708300273	22.6443183900054	2.86252505596992e-05	0.00685533063646698
"COL1A2"	-1.42492935245321	12.2748131365313	20.2055658167799	2.89452931679021e-05	0.00686532256319846
