"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"B2M"	3.72375828796913	8.20064450353913	659.471763742434	3.24755898442845e-36	8.01075374688965e-32
"RPS24"	3.11178475726849	5.62987244061097	571.416112080874	2.39991336394481e-34	2.95993314742133e-30
"TMSB4X"	3.43966514951594	8.41207626168331	546.178151603505	9.19714621831977e-34	7.56220019224313e-30
"RPS3A"	5.61131298654251	6.31983480520206	525.873804619345	2.82365322154435e-33	1.74127635039586e-29
"ENSG00000269374"	7.9032572843014	1.9609241756043	508.083294957043	7.79135063763671e-33	3.84378492357169e-29
"RPS27A"	3.62378316625527	5.11537008323541	409.680924123887	4.05349073707294e-30	1.66645760018964e-26
"RPL7"	3.47434217975182	5.68559770984838	385.650829772512	2.27417767852176e-29	8.0138772565852e-26
"EEF1A1"	1.85694149806594	10.040329765784	371.236957200458	6.69107245102249e-29	2.06310855186715e-25
"SNORD17"	4.11205969894562	8.01729403668353	340.265304961298	7.71320342271653e-28	2.1140176536461e-24
"RPS6"	2.22598206230562	7.42509572593299	335.591379508051	1.13363626891157e-27	2.79634058452417e-24
"SCARNA11"	6.81102446737527	5.4688200055624	319.07870666527	4.58512567317582e-27	1.02819359072934e-23
"SNORD3A"	2.7737639396212	9.35943193307177	296.540125018198	3.41357781582812e-26	7.0168936652527e-23
"RPL21"	2.91279676027639	5.16178122883674	287.856311083935	7.65095902986194e-26	1.4517400491508e-22
"RPS15A"	3.44860950064647	5.4833491772705	278.303892583504	1.90277312781505e-25	3.35255033884384e-22
"COX7A2"	4.37661394574938	4.12605777563917	275.15171399995	2.58448073257916e-25	3.99649631364879e-22
"FABP4"	4.38278623661866	7.12072428698635	275.120812933514	2.59228690227351e-25	3.99649631364879e-22
"SRGN"	6.10422084761701	7.86094117710047	247.535758391331	4.29639719207506e-24	6.23407232570091e-21
"RNU4-2"	-6.57217369621599	7.07765568345704	236.26270321367	1.454585890995e-23	1.99334834295409e-20
"HNRNPA1"	1.86102315245921	6.93530080854313	235.241855921042	1.62808231522572e-23	2.07436273570856e-20
"SNORA3B"	5.09332991809737	6.06030343609525	234.947908547735	1.68189300337176e-23	2.07436273570856e-20
"CXCL8"	6.05246540086064	8.3758282412721	230.665112782525	2.71106790276632e-23	3.18447199797794e-20
"TXN"	5.17063169064466	3.10461629120985	228.100291662046	3.6203780077579e-23	4.05926655988018e-20
"MT-TP"	-8.0818173556079	2.38990039099108	215.973344164631	1.4722184601445e-22	1.57892229375585e-19
"SNORA84"	6.18093036206789	3.683477224398	207.034191627756	4.30660385888251e-22	4.42629155779395e-19
"RNU5B-1"	-6.69362082909892	4.1859388262407	201.479088851118	8.54303761242143e-22	8.42924435142398e-19
"SNORA65"	5.44544077299645	5.38668566653948	200.491110457336	9.6642529349353e-22	9.16877412100188e-19
"RNU6ATAC"	4.89570096537783	6.97943657423468	197.904625495217	1.33759852845965e-21	1.22202010746349e-18
"MGP"	4.38951681096025	5.37164292769202	193.048772684419	2.48387192695852e-21	2.18820245793878e-18
"ENSG00000286171"	-6.03731365745564	4.58804512622543	189.81439910013	3.7756993656281e-21	3.19336870438045e-18
"HADHA"	1.18628292575919	6.49409835696271	189.597891473919	3.88377431918813e-21	3.19336870438045e-18
"ZMAT2"	3.54362334364796	3.6144475532919	182.868034114543	9.45213148947886e-21	7.52115249841855e-18
"KPNB1"	1.35980808872942	5.9196905921743	181.657306397632	1.11207832222087e-20	8.57238624194444e-18
"PPIAP22"	5.67138931299572	2.83501749330497	178.710725681893	1.65741247254608e-20	1.21850488040487e-17
"EIF4A2"	2.09108819649141	5.53357781971389	178.613407190518	1.679538084638e-20	1.21850488040487e-17
"PPBP"	7.55099059592232	4.27882549254479	169.842414280665	5.67474609760255e-20	3.99939891398749e-17
"RNU4-1"	-6.50221398560381	3.86597686222895	169.015713529228	6.37969516822439e-20	4.37133168651641e-17
"CNOT1"	1.65525179541242	5.53681872090508	168.158871962131	7.20605794956947e-20	4.8041035524873e-17
"EIF3L"	2.02306693854164	5.15041883642338	167.6925319547	7.70139717489099e-20	4.99922010823779e-17
"SNORD88A"	-5.58315738737087	5.45555746758897	166.520834036205	9.10683633620637e-20	5.75995722833853e-17
"MT-TL1"	-6.72226485593083	6.40095619395606	165.475098106836	1.05840486512353e-19	6.32710147377543e-17
"RPL23"	1.63654716307406	7.67970468155302	165.355128973514	1.07686274245468e-19	6.32710147377543e-17
"SNORA11F"	6.06170152737702	1.3323510918265	165.352295203462	1.07730271982231e-19	6.32710147377543e-17
"RPL26"	2.89787333165078	4.23974067157409	161.411415317528	1.91069833861508e-19	1.09607432368879e-16
"MT-TL2"	-8.44500702213309	3.79282781319432	157.761612988027	3.27768628826466e-19	1.83751562892328e-16
"RPL14"	1.26228781919249	7.26761371253685	153.971887756576	5.79476030647974e-19	3.13808853733747e-16
"EPS15"	3.13041208248983	3.58878173547328	153.90704877714	5.85203197460264e-19	3.13808853733747e-16
"FCER1G"	4.23445866468934	3.79460989696768	153.708218423914	6.03132017711342e-19	3.16541648529482e-16
"PRRG3"	-4.47673348110311	7.92470477430245	153.194748948458	6.52097441962589e-19	3.351101583519e-16
"MT-TI"	-7.93220059695815	4.45040565064399	152.532837351874	7.21325295525298e-19	3.63121042137195e-16
