"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"B2M"	3.27475223640279	8.00476937927841	828.72413823221	3.07453243208481e-57	8.70369386198889e-53
"TMSB4X"	3.22360265956867	8.16794079115902	667.82033994397	3.48448806896785e-52	4.93211863722054e-48
"RPS3A"	4.96246182758436	6.34293457301124	657.825450569135	7.74799805540032e-52	7.31126923167759e-48
"RPS24"	2.7969230859992	5.69422613422059	653.637055732956	1.0862816406297e-51	7.68788674114656e-48
"RPS6"	2.26992861595956	7.53220103148296	637.66197456515	4.00887915048267e-51	2.26974719742028e-47
"EEF1A1"	1.73258043198821	10.0446141504722	564.02392131698	2.40308641329127e-48	1.13381622123104e-44
"RPS27A"	3.53567921803396	5.21653863066361	544.977535184577	1.40493500146676e-47	5.68175785093177e-44
"SRGN"	6.0771746577998	7.85183667370097	540.73411473645	2.09645091711885e-47	7.4185536265897e-44
"RPL7"	3.17095111150603	5.68206315531173	532.738727964883	4.48790625267092e-47	1.41164597896512e-43
"RPL21"	3.01553875097637	5.25447083257996	492.004851193668	2.51850784073065e-45	7.12964384632441e-42
"SNORA84"	6.72531219192352	4.39391572690621	441.80902959895	5.28280997654267e-43	1.35955516023588e-39
"PPIAP22"	6.05546534104869	2.8906093904992	427.819250164376	2.55094434988167e-42	6.01789030006668e-39
"RNU4-2"	-6.64871812271253	7.61591519317048	408.799258345874	2.31604425502096e-41	5.04345360118372e-38
"SNORD3A"	3.03002477744786	10.0385554142948	406.596089045555	3.00554831181997e-41	6.07743336852225e-38
"CXCL8"	5.46423452081164	7.98549062274188	402.221814185368	5.05858550346627e-41	9.54689980117511e-38
"SNORA3B"	4.96246411657427	6.69249798018754	370.801990877669	2.42964179447387e-39	4.29879559748505e-36
"SCARNA11"	6.3989715334427	5.98704678899064	362.012442918662	7.50018657238522e-39	1.24895753928031e-35
"RNU6ATAC"	4.99946725061075	7.31019375506594	348.513466354805	4.4095795673282e-38	6.93504377619412e-35
"RPS15A"	3.00094958281569	5.60438298235773	345.689857542487	6.42828381725845e-38	9.31845192448082e-35
"PRRG3"	-4.53383180688766	8.03658225367479	345.511827325216	6.58338473593615e-38	9.31845192448082e-35
"ENSG00000286171"	-5.92137804197484	4.90872854452459	344.004711163645	8.05861333699811e-38	1.08633945217657e-34
"MT-TL2"	-8.07699271488516	3.48323225515041	337.088305070329	2.05541566050139e-37	2.64485281514245e-34
"MT-TI"	-8.16040878027788	4.10499149639281	332.547945478759	3.8297658713349e-37	4.71377574137477e-34
"IGF2R"	-3.4775614938369	11.5102209277728	329.675123269261	5.69604521051582e-37	6.71872266102051e-34
"HNRNPA1"	1.77772595748515	7.0297889844736	326.726815266675	8.583081369532e-37	9.71913801960326e-34
"COX7A2"	4.0031843028572	3.90106625580488	325.501276212673	1.01860397201177e-36	1.10906384014158e-33
