"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"SRGN"	6.01291521602108	7.80264911849637	349.798143237858	2.77052810836224e-28	7.00666558604811e-24
"PPIAP22"	6.61848943224719	2.91131949821961	339.405766856402	6.46676689721833e-28	8.17722674153258e-24
"RPS3A"	4.35810418236525	6.32477977212419	320.11091043794	3.31074828914081e-27	2.79096080774571e-23
"B2M"	2.70736463625956	7.74916143152065	307.754745693643	9.84015316604222e-27	6.22143683923019e-23
"SNORD88A"	-4.78785746233369	6.24529624424395	298.722659297278	2.23266943651783e-26	1.12928420099072e-22
"TMSB4X"	2.93173094765306	7.84679809247389	289.340020164287	5.34472502798012e-26	2.0935923425735e-22
"RPS6"	2.23467748707329	7.6040094453824	288.483237857497	5.79483843337861e-26	2.0935923425735e-22
"SNORA84"	6.98740001583711	4.8338731035691	280.689658383332	1.22019037546342e-25	3.85732682443375e-22
"SNORD3A"	3.02941901080188	10.4608659746752	268.825971318071	3.91696319375256e-25	1.10066665744447e-21
"RNU4-2"	-6.79038558964919	8.06693562158421	257.880575681061	1.1925284796197e-24	3.01590452495822e-21
"MT-TI"	-8.9527944480216	3.68597660922596	245.052282490229	4.61794492438071e-24	1.06170751943262e-20
"RPL21"	3.05390150066911	5.30610477773759	232.759580318379	1.78293491393249e-23	3.75753533111271e-20
"RPS24"	2.42919767848235	5.72828207837023	227.547213255663	3.21545535437895e-23	6.2552973778649e-20
"SNORA3B"	4.75380412199372	7.10520533609137	226.457046018417	3.64236367656073e-23	6.57966981287293e-20
"IGF2R"	-3.77818199268836	11.7078784442746	215.025215435633	1.38555017143727e-22	2.33603758904324e-19
"PRRG3"	-4.70343792057209	8.21025359835195	212.578473896199	1.85729707883927e-22	2.93569019524032e-19
"RNU5A-1"	-7.29062613002988	3.88793355565273	211.305233986909	2.16545255080204e-22	3.22142911822257e-19
"CXCL8"	4.63965145631939	7.40823428281816	210.043697167669	2.52293773895005e-22	3.42251619892931e-19
"RPS27A"	3.36285085949668	5.27227769865007	209.887376608546	2.57128540054001e-22	3.42251619892931e-19
