"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TMSB4X"	3.3971903866874	8.41232882834178	422.213215211284	2.73867897281293e-21	5.89172007421245e-17
"RPS3A"	5.48489837689491	6.3326506683018	383.805680100742	1.30147399774098e-20	1.39993050567009e-16
"B2M"	3.6226273457309	8.25492257695614	333.986635279175	1.2348540330089e-19	8.85513827070682e-16
"RPL7"	3.69254046980618	5.74066082174482	238.154273835309	2.58764716733028e-17	1.39170133776941e-13
"RPS24"	3.04829670105717	5.71542230015079	228.703039345019	4.83977680058356e-17	2.08236236621908e-13
"SNORA3B"	5.40912007570969	5.98264850658171	220.004027364413	8.7878777353837e-17	3.15089356202183e-13
"RPS27A"	3.68966961319382	5.16517912650057	201.824996959962	3.27451018010201e-16	1.00635053577907e-12
"EEF1A1"	1.81897372860902	10.1034362644396	189.180510878433	8.69081838549136e-16	2.33706969908844e-12
"FABP4"	4.47908156034916	7.22576040954173	179.589585619629	1.89202385830275e-15	4.52256769596302e-12
"SCARNA11"	6.70572607502597	5.56115192937931	168.312563146401	4.94472345134252e-15	1.06375835608732e-11
"SNORD17"	3.97547723629468	7.83109800440692	164.227784501293	7.09618953797735e-15	1.38782114118642e-11
"SNORA65"	5.51205860100446	5.31944183292673	160.715113121059	9.73960290063627e-15	1.74606731001157e-11
"RPS15A"	3.37348145471299	5.51874806113893	155.124835360634	1.63150897075648e-14	2.69989634522186e-11
"CXCL8"	6.57436310034239	8.53699488759656	150.398598266811	2.55407633716819e-14	3.92470316010709e-11
"ENSG00000269374"	7.21321481169086	1.99281082470111	149.022545386137	2.91637190950563e-14	4.18266059261297e-11
"RPL21"	3.15790666741617	5.17092306508423	145.481207764291	4.12208382414363e-14	5.54239933180012e-11
"RPS6"	2.09829418094883	7.46436798953391	143.179903902571	5.18045784158692e-14	6.55571703212114e-11
"SNORD3A"	2.70570720049317	9.28644019753328	138.798612265917	8.07123397956061e-14	9.64646981123819e-11
"SRGN"	6.18432436945095	7.88182951096221	134.708327784225	1.23361231433704e-13	1.39677377464909e-10
"RNU4-2"	-6.61677075022857	6.87328685279663	126.596863105853	2.95214584521411e-13	3.17547567840456e-10
"RNU4-1"	-7.07664082508094	3.66174641121142	125.754335301533	3.24034962560602e-13	3.31950673788868e-10
"HNRNPA1"	1.88035811622924	6.93926068899851	124.94216533482	3.54642496919824e-13	3.46792001647099e-10
"RNU5B-1"	-6.82656839372383	4.02044478340868	121.761771952523	5.07274621042003e-13	4.74478214020722e-10
"COX7A2"	4.39822668511289	4.27404949781494	121.346368905149	5.31840456225253e-13	4.76728488948912e-10
"RPL23"	1.62028562710831	7.70712505853481	117.93595443808	7.8796116460405e-13	6.58658152118078e-10
"TXN"	4.88369664026303	3.15747905962537	117.719073604212	8.08148224410637e-13	6.58658152118078e-10
"LDHB"	3.97843517511024	3.68175610885491	117.525244088927	8.26652261757454e-13	6.58658152118078e-10
"RNU6ATAC"	5.02656966498686	7.01956234936862	110.682362342776	1.87384855436276e-12	1.4397179982145e-09
"MGP"	4.50814234525191	5.93554763612149	110.333932563592	1.95559434970989e-12	1.45071383604513e-09
"TXNIP"	1.91281250029776	8.34719989622388	109.477852971474	2.17286298543956e-12	1.55816004685871e-09
"SNORA74D"	6.30972349576389	4.27366466335005	108.688542042	2.39585277408273e-12	1.66264453964006e-09
"FCER1G"	4.36376615309934	3.89965782269323	104.664674816721	3.9762377608314e-12	2.67315009214894e-09
"PRRC2C"	1.6037864642216	6.59032397312913	101.144581186558	6.26967461980351e-12	4.08725788169191e-09
"SNORA84"	5.84137763080252	3.59541570409897	97.6198169821271	1.00119010828281e-11	6.33488317632e-09
"HADHA"	1.17973479643508	6.47123872983564	96.3144897514105	1.1944839614545e-11	7.34198098936302e-09
