"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TMSB4X"	3.40269656094631	8.16017906498707	410.743718047716	5.353307158778e-30	1.3216780044307e-25
"B2M"	3.303124253595	8.04869934052248	378.509983096348	5.39495576447757e-29	6.65980314345933e-25
"RPS3A"	4.89113381562656	6.33993735583988	356.272268333842	2.93569830910531e-28	2.41598185178337e-24
"RPS6"	2.29649984059247	7.5150379001919	351.497902666332	4.27301029227563e-28	2.63740877764983e-24
"RPS27A"	3.55969534199155	5.20939346853476	285.831378811978	1.21638541558679e-25	6.00626790508447e-22
"RPS24"	2.74152776861338	5.7366537402232	282.045057537559	1.73906319101148e-25	7.15595518714705e-22
"RNU4-2"	-6.93665314850503	7.53728625276953	275.855890125681	3.14608542242496e-25	1.10962432848928e-21
"SRGN"	6.3941899147593	7.84930168610503	273.736563314477	3.86373516867186e-25	1.19239696974175e-21
"EEF1A1"	1.77568324128357	10.0488902428779	262.043684516502	1.22923435961611e-24	3.37206301161803e-21
"PRRG3"	-5.00366552646512	8.19853609209699	236.531084544898	1.78602891810858e-23	4.40952679591827e-20
"RPL21"	3.15390643322479	5.23990087227983	227.195616013798	5.03485345867823e-23	1.13004997310279e-19
"HNRNPA1"	1.8572907753457	6.94409963586092	223.554578322631	7.61123757649705e-23	1.56594870438446e-19
"CXCL8"	5.73410863941626	8.05063201665741	210.238225436098	3.61192429437624e-22	6.54140489772794e-19
"RNU5B-1"	-6.61145353445246	4.59836169911992	209.496561807421	3.94787623124147e-22	6.54140489772794e-19
"MT-TI"	-8.8316868901891	4.35396680100814	209.441048664555	3.97428301939808e-22	6.54140489772794e-19
"SNORA3B"	5.02487881134952	6.77601320917917	205.188977459916	6.64947640799593e-22	1.02605576898132e-18
"IGF2R"	-3.79974700461085	11.6565992702354	203.322377878185	8.3566098284665e-22	1.21362552973535e-18
"SNORA84"	6.61024172425343	4.47775444795751	202.650365614746	9.07672250513061e-22	1.24497334405094e-18
"RPS15A"	2.98366358093325	5.59747898752856	200.505500291923	1.18335685661451e-21	1.53767881226082e-18
"SNORD3A"	3.03268668134992	9.96659436752479	195.322585542911	2.26649771200586e-21	2.79787810058564e-18
"ENSG00000286171"	-6.1053511509284	4.90870192296893	191.373660730306	3.75152174123883e-21	4.41053906044978e-18
"RPL23"	1.57453562008729	7.62432719296666	190.979124523362	3.94692174428119e-21	4.42934322475265e-18
"SNORA74D"	6.39433756701298	5.08949981045936	190.343792704431	4.28390337886096e-21	4.59849089220427e-18
"MT-TL2"	-8.20674735111903	3.42619989013114	189.697427908236	4.65725474753031e-21	4.79095676924066e-18
"SCARNA11"	6.0774550575538	6.15944881616471	187.112486367366	6.51916606910348e-21	6.43806764320383e-18
"RPL7"	3.03510150877114	5.73873578491655	186.562932907261	7.00548532181325e-21	6.65224719654797e-18
"RNU6ATAC"	5.0566121810089	7.30439288110161	185.319261870707	8.24904782475441e-21	7.5429904350134e-18
"MT-TP"	-8.25667153732826	2.63630194461087	179.291320143103	1.84271816436458e-20	1.62481674142847e-17
"TXN"	4.74184328814018	2.9423358182831	175.61948779799	3.03629297453158e-20	2.5849323189038e-17
"RNU5A-1"	-6.58765926112447	3.42952610097613	163.223046186773	1.73751903876664e-19	1.42992025160365e-16
"MT-TM"	-7.21725361133484	2.91228185529046	162.16760576041	2.02455308306056e-19	1.61239326024781e-16
"SNORA65"	5.17834284939274	6.18184427517072	158.705214136106	3.36009056143296e-19	2.59241487097557e-16
"SNORD88A"	-4.97542579483146	5.67975865851054	157.752839331819	3.86786167483378e-19	2.89374657242337e-16
"RNU4-1"	-5.92739514058233	4.27452154799801	157.257863274464	4.16236797818958e-19	3.0224912651036e-16
"SNORA37"	-3.11429167720671	7.8804100899144	155.026473034102	5.80633262254943e-19	4.09578703194637e-16
"COX7A2"	4.20186131890467	4.02457256011401	153.970603594148	6.80488980535055e-19	4.66683123345277e-16
"MT-TL1"	-6.8040502534751	6.11803671482573	153.367509234985	7.45309339229998e-19	4.97322764222957e-16
"CNOT1"	1.64993172000651	5.55334463457661	151.988639591781	9.1853430387693e-19	5.96781406010988e-16
"MT-TH"	-8.35796618850507	2.9727844394537	151.323035313644	1.01651522101768e-18	6.43506263889886e-16
"SNORD17"	3.64874100789208	8.6503132244184	150.195889152238	1.20772207283001e-18	7.454362564025e-16
"MT-TF"	-6.48285430861387	3.55314557285808	146.292353533076	2.20942506218291e-18	1.33045110634717e-15
"SNORA2C"	5.72783990672498	3.5413354328255	143.759010827311	3.28955122885731e-18	1.93370786402996e-15
"MIR1225"	-7.82804119845246	2.27092668644358	143.147097983163	3.62414466359142e-18	2.08084901393973e-15
"PRRC2C"	1.51113644150685	6.6245833573226	137.719542510128	8.66737250838142e-18	4.86338090589611e-15
"RPN2"	1.31547528153105	6.32055362620162	137.156193250699	9.50112924570008e-18	5.21274177660199e-15
"PPIAP22"	5.69435404434109	2.73208256642543	135.686093936452	1.2089105492105e-17	6.48843316292564e-15
"RN7SL5P"	-2.21408166931349	6.4163898255062	130.996121454607	2.63866357081718e-17	1.38608435957246e-14
"CD53"	4.39265340519516	3.34588130658321	124.926543120625	7.45454062451205e-17	3.83427403080371e-14
"EIF4A2"	1.9330898127112	5.45577475022926	124.791468028868	7.63172604934391e-17	3.84529968229085e-14
"EIF3L"	1.92879163356213	5.13254840621712	124.615444960429	7.86915930299669e-17	3.88563348063371e-14
"RPL35A"	1.97642861709583	6.8670129439	120.378163044264	1.65972108782044e-16	8.03467724258803e-14
"MGP"	4.23643785680534	7.03998352996699	118.471022419945	2.33536281812606e-16	1.1088033195522e-13
"FCER1G"	4.13487146706429	3.53575707923452	116.537370847623	3.31382993664673e-16	1.54368202463908e-13
"ZMAT2"	3.58805712890391	3.40853529904708	116.188848211883	3.53098531375503e-16	1.61437956317218e-13
"SNORA11B"	6.1657772961494	2.61927230909948	115.337948372467	4.1249748467952e-16	1.85166370895503e-13
"LDHB"	4.08192133145409	3.31603578578889	112.375693039852	7.12903167946034e-16	3.14301184168208e-13
"KPNB1"	1.34694172465484	5.76484859071643	111.484726095293	8.41938394882398e-16	3.64677491776342e-13
"RNY1"	-5.8520877671216	2.52313684296002	111.052230168962	9.1302940305326e-16	3.88651429861758e-13
"PHC3"	1.95882028419989	4.56393259836235	110.83671863678	9.5073530629243e-16	3.97842440289047e-13
"NBPF19"	6.083821605581	1.24960722584925	110.340868448202	1.04370702452403e-15	4.29468045474562e-13
"RC3H1"	1.34425845063166	5.03710561535189	109.046702234942	1.33315287393727e-15	5.3957723450225e-13
"CKAP5"	2.03923029616807	4.33644609387391	108.173784145392	1.57409808805802e-15	6.26821091872006e-13
"SELL"	5.81667738190495	3.77738993139651	107.580309210023	1.76317688481813e-15	6.90969430305951e-13
"RPL6"	1.38287653173972	6.22302866160934	107.393465468561	1.8274314310493e-15	7.04960228143376e-13
"HERC1"	1.10655152922825	6.99963029511876	106.042273534392	2.37010489520465e-15	9.00238765503194e-13
"RPS27"	2.0458358546955	8.03684725398911	104.820847626175	3.00349151250213e-15	1.11753146855306e-12
"RPSA"	1.37173621918913	7.5064798940664	104.771106033372	3.03271126384443e-15	1.11753146855306e-12
"ENSG00000269374"	5.71031294839969	1.89183480692338	102.990706031601	4.29687799512007e-15	1.56008265913999e-12
"GALNT1"	2.80424205825784	3.40863863147937	101.847825489563	5.38450816537093e-15	1.90165829025331e-12
"TXNIP"	1.75210085045131	7.96329085208225	101.841073043711	5.39171616176157e-15	1.90165829025331e-12
"ANXA2P2"	4.99571289438318	0.217732170661324	101.248457636833	6.06468819601679e-15	2.10888854748533e-12
"OGT"	1.41224591570243	6.07723518342323	98.9649887569594	9.5801173330478e-15	3.28504884493913e-12
"DDX24"	1.33197158480273	6.27132675902906	98.0511999259157	1.15243025905791e-14	3.89758228299737e-12
"RNVU1-27"	3.55537843544036	3.32517685568897	97.3766708192798	1.32172214499681e-14	4.4097294645711e-12
"CA1"	6.26493461586085	5.01964094852021	96.9936071765825	1.42907809168082e-14	4.70433453406771e-12
"UBE2E1"	2.45075920291206	3.45508359302077	96.3805824323735	1.6199483895483e-14	5.2624876038892e-12
"PPBP"	6.72017520334307	3.96581227699112	95.9717834990891	1.76167021239413e-14	5.64855530828553e-12
"S100A8"	5.41334157239342	7.65368221123974	95.0037472255863	2.15055065419836e-14	6.80704424378247e-12
"ANKRD17"	1.73742147164881	5.23751396047315	94.1226407630057	2.58141492155582e-14	8.06741177193565e-12
"GMFG"	2.24393459690477	4.7885713471091	93.3353217601845	3.04159147169166e-14	9.38673148057443e-12
"COPA"	0.994738255133061	6.79405112984932	92.6439261473864	3.51528220124424e-14	1.07146669464838e-11
"SNORA11"	4.10220734072853	5.14899493774774	91.8566678065068	4.14835166544413e-14	1.24900797887988e-11
"RPS29"	1.72669077144299	8.02926019614269	91.6982990328497	4.28930114999634e-14	1.26903452186268e-11
"SNORA11F"	5.21862328923221	1.82857680649766	91.6670756035702	4.3176677806499e-14	1.26903452186268e-11
"PCBP2"	1.15628840011513	6.64685683855091	91.051478498002	4.91821780393004e-14	1.42853975719093e-11
"FABP4"	3.81956048407571	6.37171766622857	90.5104556509744	5.51698092764528e-14	1.58382258282133e-11
"BPTF"	0.981236904219667	6.029181059553	89.8446704868906	6.35832405942956e-14	1.80437543337076e-11
"KMT2C"	1.22175495241853	6.94086313715473	87.1416571709662	1.13863981045554e-13	3.19453162276556e-11
"DBET"	-4.03885082642282	3.32825940070561	87.032617412648	1.16597567484169e-13	3.23446892541198e-11
"CCT5"	1.3312668353355	5.46736118044327	86.8921173243202	1.2021989244375e-13	3.29789880504859e-11
"TBX5"	-6.32807708383437	1.11468524571819	86.7100738283606	1.25086487915856e-13	3.39369263753249e-11
"RNA5SP357"	-5.4653773447926	0.0758908442512323	86.3766161809245	1.34534373375665e-13	3.61034689594761e-11
"RPL26"	2.37339244383768	4.31457716029716	85.9885516146374	1.46461564142306e-13	3.88816081409613e-11
"SNORD71"	-5.4927925570343	0.0457361745134124	85.2576043514019	1.71977280203894e-13	4.51696496909993e-11
"LRRC52"	-5.00128398129039	-0.352608926202484	84.902095630915	1.8600230735021e-13	4.830882402503e-11
"RPL14"	1.04499093096884	7.24111154645371	84.8575089276176	1.87842646782084e-13	4.830882402503e-11
"NACA"	1.10783264552219	5.35659804623328	84.6053391351175	1.98610221877037e-13	5.05514202878573e-11
"CCL4"	2.89536104189515	7.27316154894242	83.6901102715299	2.43337575395115e-13	6.13036877441835e-11
"SNORD90"	-5.85495009652342	1.05528388758159	83.6030893397029	2.48098815485081e-13	6.18718349041532e-11
"ENSG00000283907"	-5.3875339669998	0.86108367032853	83.1391224889846	2.75155348589084e-13	6.79331040131589e-11
"PITPNA"	1.23117729047095	5.25407407972995	82.8565284971559	2.93108374077461e-13	7.1649036114836e-11
"SNORA47"	-1.92991675985517	6.80156187782214	82.3697013179211	3.26920450594804e-13	7.84197014595356e-11
