"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"RNU4-2"	-7.11089949740816	7.96558283992702	268.942971384043	4.98529669908133e-19	1.08953659358423e-14
"MT-TI"	-9.43654252802076	4.06178603891875	204.235232749737	4.92562548399063e-17	5.38247724763076e-13
"PRRG3"	-5.19438409095399	8.37955660721418	190.843365659074	1.48518955043046e-16	1.08196058748859e-12
"SRGN"	6.74233014684471	7.81638524731119	185.160990352728	2.41948802514434e-16	1.10787183544221e-12
"ENSG00000286171"	-5.93563685593567	5.11509098281057	184.533806478356	2.55533020664858e-16	1.10787183544221e-12
"RPS6"	2.49751532455657	7.56855023165394	181.787213920759	3.25187743550508e-16	1.10787183544221e-12
"TMSB4X"	3.4455046435324	7.87110078138061	180.801197773757	3.54843415607206e-16	1.10787183544221e-12
"SNORD88A"	-4.7177792626428	5.9975761870254	172.035650175697	7.84724632688455e-16	2.14376960592577e-12
"IGF2R"	-4.13032348311908	11.8382201961872	154.229730276632	4.38196300412726e-15	9.7581521452126e-12
"RNU5B-1"	-6.42757973929142	4.97717968097986	154.044089673457	4.46495179373718e-15	9.7581521452126e-12
"PPIAP22"	7.27589371545138	2.7025544179946	150.708619240843	6.27449199314169e-15	1.19481228463195e-11
"RPS3A"	4.42039028224712	6.34678102745894	150.276118875916	6.56039689571423e-15	1.19481228463195e-11
"SNORA3B"	4.83175812305041	7.2668054168157	144.791200315598	1.16490593083659e-14	1.95838608603335e-11
"RNU5A-1"	-7.04207460101365	3.74033321945775	137.664595179016	2.52204442303629e-14	3.93709149038986e-11
"SNORD17"	3.50098685728944	9.16272513435866	136.77519863122	2.78339148140475e-14	4.05540138840672e-11
"SNORA84"	6.9659755201844	5.00531848529473	135.775531471789	3.11148022699103e-14	4.25008752255555e-11
"B2M"	2.9561922794244	7.81993724356345	134.022165019444	3.78900128552886e-14	4.80294383100356e-11
"SNORD3A"	3.17512036101956	10.4177245495826	133.641220893137	3.95575332683889e-14	4.80294383100356e-11
"SNORA74D"	6.39367459086003	5.60168930569194	128.47334617452	7.16434732543199e-14	8.24088477880612e-11
"RPS27A"	3.43756732384024	5.25202991092812	124.961445407727	1.08418110168722e-13	1.18473889886871e-10
"RNU4-1"	-5.53557795234872	4.67081513241812	120.659661753954	1.82339850958687e-13	1.8976368774772e-10
"MGP"	4.1030101544554	7.63371095925817	109.716695676226	7.31451198649087e-13	7.26630270294354e-10
"RPS24"	2.48772524926917	5.76885767054591	108.869532316623	8.17994963523655e-13	7.77273040339543e-10
"MT-TM"	-7.64540706908751	2.81417695380661	107.858099961002	9.35628535297766e-13	8.52006734955528e-10
"MT-TL1"	-6.98688396743904	5.81687731475405	106.453407784166	1.12933764393118e-12	9.30524193590536e-10
"SCARNA11"	5.78373379738227	6.56768108070914	106.326436364061	1.14881462295389e-12	9.30524193590536e-10
"MT-TL2"	-7.27182187204058	3.40109953030401	106.321468849008	1.14958376696154e-12	9.30524193590536e-10
"CXCL8"	4.74721534232642	7.36300928579987	105.362759525528	1.30866230023813e-12	1.02145766327515e-09
"RPL21"	3.16484933137024	5.31246928456702	104.641243480316	1.44357414059554e-12	1.08790733940398e-09
"MT-TF"	-7.4744332464248	2.9279049986865	103.734083352502	1.63426834922258e-12	1.19056449240865e-09
"RNU6ATAC"	5.07763946229945	7.54875060307719	102.194965344509	2.02089839329498e-12	1.42473336727296e-09
"SNORA37"	-3.11818078553156	8.12682454757627	99.1671793755232	3.09013527930521e-12	2.11046582903798e-09
"SNORA2C"	6.13860954726832	4.02238971915725	97.0936558562639	4.15589143308158e-12	2.7523335536363e-09
"SNORA65"	5.00901259715115	6.71532319689749	94.9970426721898	5.63408420393495e-12	3.6215561846176e-09
"MT-TP"	-8.11264246610875	2.64794822134979	93.3282307365308	7.20320297598048e-12	4.47133372477971e-09
"RPS15A"	2.66565996482806	5.67448214004667	93.178146802545	7.36527174980871e-12	4.47133372477971e-09
"HNRNPA1"	1.84667384666061	6.9561652612777	90.5362790824554	1.094294879216e-11	6.46373367169342e-09
"CA1"	6.76265905807472	4.95472319718939	82.0170404130096	4.15851475698226e-11	2.39169315825914e-08
"EEF1A1"	1.74349678661563	9.99926079519519	78.9045625659211	6.93735873990022e-11	3.80880801824431e-08
"SNORA11"	4.1055787523233	5.69635827970147	78.8754895652427	6.97105105146521e-11	3.80880801824431e-08
"CD53"	4.2216057002093	3.38972115554684	77.6755767135795	8.52323729249723e-11	4.54330124457383e-08
"S100A8"	4.69362914953146	6.73611230261247	77.2464391831798	9.16328642945161e-11	4.76818154561107e-08
"RN7SL5P"	-2.36261075007013	6.58578182363461	75.9670703417491	1.1389620297953e-10	5.71028990288978e-08
"PLIN4"	-2.62001325978392	8.11482031993633	75.9125275835208	1.14963512114917e-10	5.71028990288978e-08
"MT-RNR1"	-2.7829625720522	10.4920101782818	75.5064928997796	1.23247228921962e-10	5.98570708464328e-08
"DANCR"	-2.48701072721347	9.83765595202052	74.1296318388798	1.56337585747665e-10	7.42773464459828e-08
"DEFA3"	7.40079594596731	4.02976214730851	73.1450933318212	1.85656034938643e-10	8.63300562464689e-08
"RPL23"	1.54524129867068	7.54496779044575	70.8517291973824	2.78749889640207e-10	1.26918309126807e-07
"MT-ATP8"	-3.08278739469409	5.03751673222806	70.0256379468802	3.23383274556528e-10	1.44235540110876e-07
"TXN"	4.64027179011823	2.73143608893256	68.9974077827	3.89677505881725e-10	1.70328037820902e-07
"MT-TH"	-8.10705886433159	2.18665606844416	93.0222767581756	4.92769041667508e-10	2.11166027561635e-07
"RPL7"	2.54338892968155	5.7422821821336	67.3121696806291	5.31083348847063e-10	2.21466688080311e-07
"SNORA5C"	-2.61897941699682	8.22285078451604	67.2516285239796	5.37073185461289e-10	2.21466688080311e-07
"MIR1225"	-8.89318846748647	2.96991933188764	90.8502473421735	6.26432056424766e-10	2.53530973947468e-07
"EIF4A2"	1.70471259924848	5.38554962338831	66.2393521221379	6.48483228030359e-10	2.57683653610973e-07
