"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"FN1"	-1.95854862121621	10.706929641805	25.3679563792257	2.19605118179707e-05	0.233106041471677
"SCUBE3"	-3.8648766911467	4.5888255649592	25.3478212976904	2.20838464754561e-05	0.233106041471677
"COMP"	-2.10173201443764	7.05660808816849	23.100133986101	4.18584281696817e-05	0.279985788147247
"CRTAC1"	-1.77288819056632	4.98141887405945	21.6243488060724	6.47393161373109e-05	0.279985788147247
"MORC2-AS1"	5.11685654684465	-0.250284950396054	20.9502755774839	7.93695705552473e-05	0.279985788147247
"ENSG00000230731"	-4.72380465896945	0.00837651784865941	20.6688757878778	8.64918954618886e-05	0.279985788147247
"STMN2"	-4.99397169977828	2.05375277150656	20.4383129665059	9.2837881532411e-05	0.279985788147247
"CRLF1"	-2.88321286316475	2.93341758851653	19.7636499766093	0.000114447064125594	0.302011496344426
"CNTNAP2"	-2.43886640458384	4.33696859909236	18.7179253852767	0.000159296607333353	0.373656741934934
"TREM2"	-3.25832919238941	2.62898056796327	17.7056450961701	0.000221073371427525	0.446125627688291
"CHI3L2"	-2.88008254357537	7.64538785979934	17.5526651396338	0.000232456155775245	0.446125627688291
"FOLH1"	5.09036087586995	-0.841926570744577	19.5722037262391	0.000349264431114332	0.555471225625993
"FMOD"	-1.17790837387952	7.24896377049639	16.2112393365675	0.000363922752480385	0.555471225625993
"C9orf50"	5.26498222893727	-0.55694107046577	16.0130962430192	0.000389321868088801	0.555471225625993
"HP"	-2.11173745625817	7.33936402554636	15.8402004768308	0.000413041216410715	0.555471225625993
"SFRP2"	-3.18328287102067	4.42872713296103	15.5002828074503	0.000464318521762979	0.555471225625993
"MICB-DT"	4.24669223277543	-0.0452413947367196	15.4891037130588	0.000466116912376416	0.555471225625993
"ENSG00000229273"	4.38389341355389	-0.755738102248521	15.3000200049047	0.000497695102582506	0.555471225625993
"COL6A3"	-1.70132017603895	9.15151501289941	15.287148027259	0.000499926734256732	0.555471225625993
"C6"	-2.85098326534835	3.15107991703689	14.871876214355	0.000578010689727104	0.574461637996405
"ZNF503-AS1"	4.1271023310308	-0.873606097769359	14.8186268202875	0.000588934394755258	0.574461637996405
"ALDOB"	-4.58755788060369	-0.884836763154685	14.233241362573	0.000724774232662824	0.574461637996405
"HEPH"	-1.57387047317692	3.48534501003815	14.188855488692	0.000736366365392647	0.574461637996405
"ANGPTL1"	-4.26165167421327	-0.963888972460471	14.0876461402356	0.000763550497789322	0.574461637996405
"ENSG00000269533"	3.70989203941919	-1.07985339878711	14.0826336119733	0.000764924551569249	0.574461637996405
"CILP"	-1.87042626928043	5.83018140135199	14.0809904430517	0.000765375561356904	0.574461637996405
"ENSG00000255085"	3.67816172826211	-1.10003190927824	13.9557344055085	0.000800610691197618	0.574461637996405
"GPR31"	4.77330595627213	-1.04560395357877	16.3564354753323	0.000801325882757498	0.574461637996405
"TOX3"	-3.79734022588223	0.566720927444483	13.9075123310383	0.000814637012402526	0.574461637996405
"ABI3BP"	-1.50779973537836	3.18452092978302	13.4841986828899	0.000949729431622549	0.574461637996405
"ZBTB40-IT1"	-3.84662901666333	-0.946040352189389	13.1584599181633	0.00107004315009818	0.574461637996405
