"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"POU3F4"	-4.40396746980374	-0.564880873883354	40.7765611872574	1.92318122365206e-08	0.000439518091513335
"SNORD97"	-4.53410079997768	-0.626430635729651	38.9265644782885	3.47582516024781e-08	0.000439518091513335
"LINC02250"	-4.70048906283883	-0.518478489481893	36.5968937516762	7.44108687575439e-08	0.000513587206109081
"ENSG00000235241"	-4.46115034811809	-0.642152489438392	36.3320141876975	8.12316656558451e-08	0.000513587206109081
"ADAMTS14"	-1.91159275738144	4.78843731346951	33.2501121002824	2.2949551544208e-07	0.000986613418477084
"COL7A1"	-1.94098443444559	6.24701924426522	32.5083414940679	2.96191550665124e-07	0.000986613418477084
"LINC00519"	-3.69096608544906	-0.849689645193056	32.4252329248708	3.04819255075888e-07	0.000986613418477084
"CALU"	-1.44714146179717	4.72001374228335	32.183394237386	3.31430700764313e-07	0.000986613418477084
"FAM237B"	-3.91132027389157	-0.689079183361861	32.0171222868558	3.51107978105724e-07	0.000986613418477084
"GRB14"	-4.3236928429691	-0.595817080803779	31.0334873155753	4.94951881818086e-07	0.00116653605586119
"ANK3"	-1.35893722276015	4.75234051705558	30.9628010451909	5.07390138966906e-07	0.00116653605586119
"GORAB-AS1"	-4.44037644732351	-0.555079063943933	30.2247607080047	6.58259572165377e-07	0.00138728204833853
"ASCL4"	-4.56259523470204	-0.46245748859961	29.6011961690743	8.21583398680107e-07	0.0015952210121899
"INHBA"	-1.98981426142784	7.14123466033266	29.0775717289872	9.90849785673873e-07	0.0015952210121899
"ENSG00000254545"	-4.01029188529448	-0.704155629623191	28.6516141141987	1.15491568226834e-06	0.0015952210121899
"TNP1"	-4.42840825986562	-0.67024581139327	33.4940464392615	1.16640659041241e-06	0.0015952210121899
"IL11"	-2.80763661265529	5.39878346160262	28.4047172724207	1.2626121047182e-06	0.0015952210121899
"NR0B1"	-4.48875113338934	-0.525848146310451	28.3624868299216	1.28204666225908e-06	0.0015952210121899
