"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"COL3A1"	-2.11595275979857	12.1866196554357	71.3078450310548	1.23824578199529e-10	2.73020812472142e-06
"COL6A3"	-1.63645565354104	9.70992255742399	44.4301665639226	4.16070450952206e-08	0.00045869686865226
"COL5A1"	-1.30052732076019	9.69636051892642	39.8214632982047	1.35737897099394e-07	0.000657760094780668
"AEBP1"	-1.34929632030234	8.49655680808935	39.6141940535994	1.43382488798482e-07	0.000657760094780668
"COL11A1"	-1.94524857890495	6.32759287991453	39.1561744644225	1.61920301044423e-07	0.000657760094780668
"IGFBP4"	-1.2921569138417	9.57213254939613	38.7806276829701	1.78990456196835e-07	0.000657760094780668
"COL10A1"	-2.66825896272361	4.24337853996905	34.703323093385	5.48873359812755e-07	0.0017288726729302
"COL6A1"	-0.978927049712347	10.3096445658403	33.032086687924	8.8473824809681e-07	0.00243844920403582
"APCDD1L"	-2.49723577183265	2.91369426176503	32.563493443715	1.01349793017783e-06	0.00248295731805455
"COL16A1"	-1.29481140176934	7.54233697939007	31.4279756259643	1.41400210696646e-06	0.00275791717833262
"FNDC1"	-1.88490786641107	6.58870667502152	31.1213714853478	1.54848172990042e-06	0.00275791717833262
"SCUBE3"	-1.97945209178375	4.96867575362309	31.0846308372069	1.56547401195747e-06	0.00275791717833262
"COL5A2"	-1.06704063501664	8.84602152166814	30.9569610954449	1.62605666099705e-06	0.00275791717833262
"BGN"	-0.950085823864459	9.34843989218245	29.9731002852271	2.18396032426418e-06	0.00328212613187198
"COL1A2"	-1.46046758779114	12.6480720540406	29.7902987059218	2.30808484280591e-06	0.00328212613187198
"COL6A2"	-0.948191571527652	10.7329418602685	29.6866974892191	2.38169613633052e-06	0.00328212613187198
"MMP2"	-1.15847438654312	8.3569255012722	29.2633485033571	2.70906874511958e-06	0.00345134990894937
"CERCAM"	-0.925897791282809	6.21940576152632	29.1348104712986	2.81755627743157e-06	0.00345134990894937
"SMOC2"	-1.27247695150155	4.82459414918269	27.9951782134624	4.00417063995827e-06	0.00464673465475999
"DKK3"	-1.38644313210469	4.17869056509747	27.3457832680159	4.90547971895503e-06	0.00540804611616197
"ATP8B2"	-0.836429571160168	5.59560820937061	26.5028104687754	6.4041236162986e-06	0.00640816943194313
"THY1"	-1.322234938065	6.63289560702306	26.373545104475	6.67342368606866e-06	0.00640816943194313
"ADAMTS14"	-1.57418356459876	3.37038987835502	26.3683173862192	6.68456151910254e-06	0.00640816943194313
"SUGCT-AS1"	-4.89281825908296	-0.194370491119519	25.7996593828696	8.02065489392109e-06	0.00712390140875085
"MAP3K12"	-0.834747478562292	4.7706505764158	25.7777792639838	8.0773520440279e-06	0.00712390140875085
"KLF14"	4.75544503998209	-0.0300231412254349	25.3557828633967	9.25720120460012e-06	0.00785046266770108
"DCN"	-0.852812265162179	5.85723457053261	24.4093775942193	1.2610718411555e-05	0.0102982863057917
"ITGA11"	-1.1685854363489	5.0176597680605	24.0947254547975	1.39906111636443e-05	0.0110171066266855
"CCDC177"	4.916058045457	0.186219996750315	23.7579462140676	1.56445748818908e-05	0.0118947321231314
"COL12A1"	-1.23008419445565	7.16652000841298	23.215211866453	1.87559442146487e-05	0.0137849937996263
"FN1"	-1.20219505979207	11.5571051770625	22.8402219419143	2.12806791973152e-05	0.0150293747348089
"FADS2"	-1.11626038988784	5.77318657018608	22.6832731021989	2.2441092209441e-05	0.0150293747348089
"COL1A1"	-1.61928626353567	13.4714560671047	22.604578160672	2.30477580537264e-05	0.0150293747348089
"IGFBP2"	-1.39871210724005	5.89687613163684	22.5882727984472	2.3175597123838e-05	0.0150293747348089
"CILP2"	-1.60126418346374	5.7513300711565	22.2823421979169	2.5717384841392e-05	0.0162012176676529
"AIRN"	5.53681176813661	0.293253546019566	21.9365866385411	2.89461585473047e-05	0.0177287180502645
"FKBP10"	-0.98218770588573	6.54676537874722	21.7951255569509	3.03874238678706e-05	0.0181084407800724
"SEMA3A"	4.36729076287217	-0.0718191984323562	21.5261673024806	3.33394978574608e-05	0.0193448049541883
"DUSP26"	4.41707419715201	-0.322966858390525	21.4227590545652	3.45533447583289e-05	0.0195350435532408
"CLEC11A"	-0.91318046373613	5.8354423006415	20.9653582131895	4.05064954865899e-05	0.0222242933002267
"THBS2"	-1.42819707376477	6.59145852116003	20.8860763889276	4.16434666697232e-05	0.0222242933002267
"AHNAK2"	-1.08125367547805	5.47390256861672	20.8390334133267	4.23339071436129e-05	0.0222242933002267
"VCAN"	-1.39519620866	7.48250199229918	20.7208655885858	4.4121804727644e-05	0.022624224940461
"STMN3"	-1.17713904045511	4.19053205288777	20.610881021532	4.58572316787473e-05	0.022676991359304
"ENSG00000234405"	-3.95441221079183	-0.604413323375617	20.5846468695581	4.62816731447539e-05	0.022676991359304
"COMP"	-1.72786621715029	9.47317415368461	20.3069020830924	5.10369950420843e-05	0.0243431907130708
"COL18A1"	-0.789045528558075	8.83063375674126	20.2555974178595	5.19701822810301e-05	0.0243431907130708
"P3H3"	-0.87391161219418	4.52990506640517	20.2003913783998	5.29943831569412e-05	0.0243431907130708
"SDK2"	-1.04109353985856	5.49335344209013	20.0745652281398	5.54088132362106e-05	0.0244397419024174
"ACP5"	-1.61283239543729	7.30486436898562	20.0327912564855	5.62357292971061e-05	0.0244397419024174
"COL9A3"	-1.9884102710055	3.98543539921784	20.0180879400913	5.65298579084443e-05	0.0244397419024174
"FBLN1"	-1.19007794334315	7.91120770972326	19.8813568370652	5.93437304171223e-05	0.0251628829224448
"EMILIN1"	-0.870280469358298	7.72443668647049	19.6289426507013	6.49319088207313e-05	0.0270128991997793
"COL11A2"	-1.24796804399604	5.58204873040049	19.5429331038385	6.6960179166209e-05	0.0273408331562174
"SNED1"	-0.743661599454999	7.63009453279818	19.4296312909154	6.97342001079099e-05	0.0279558068759874
"MDK"	-0.95155873334649	6.39553115577247	19.2948615978886	7.31918678665782e-05	0.0281632483532342
"BPIFB4"	-3.12936646495926	1.12345371625044	19.2576487159758	7.41780168234249e-05	0.0281632483532342
"OLFM2"	-1.02380473757462	4.89477323788209	19.2472865498643	7.4455094613269e-05	0.0281632483532342
"COL8A2"	-1.09533449263567	4.90934984303667	19.2136932199124	7.53608622994611e-05	0.0281632483532342
"FADS1"	-1.139003045864	5.78826072017872	18.995832629294	8.15232358935172e-05	0.0299584304702694
"CHST6"	-1.74157448202841	2.96550812920104	18.7691405907501	8.85006762105092e-05	0.0319893673732052
"COL2A1"	-1.84920788176125	8.85859850286121	18.6344977938438	9.29396002396405e-05	0.0322617867415535
"MXRA5"	-0.853804499253152	7.08298023543779	18.619782314897	9.34387365769687e-05	0.0322617867415535
"SPOCD1"	-2.28896546029065	3.53499985200708	18.5741224036517	9.50054965110602e-05	0.0322617867415535
"OLFML2B"	-1.16158129405424	7.03254639930902	18.5711891703126	9.51070859540559e-05	0.0322617867415535
"HP"	-2.02587418150565	6.56993416662471	18.1192124574435	0.000112211456738422	0.0369045625817132
"COL7A1"	-1.41267185815669	4.51462230669453	18.0938837746959	0.0001132609771151	0.0369045625817132
"ENSG00000189316"	4.69729014498192	-0.297040691989455	18.0806089460499	0.000113815150598961	0.0369045625817132
"ACAN"	-1.51326273591562	7.73467196677511	17.8750816607228	0.000122768641869141	0.038472117047929
"PCOLCE"	-0.904372401512771	8.08091116342962	17.8477518022047	0.000124013878967216	0.038472117047929
"CHI3L2"	-1.5787286347888	7.82753009507693	17.8405648319447	0.000124343541145915	0.038472117047929
"CLDN5"	1.12727219825009	6.91281433682988	17.792630654772	0.000126565955656839	0.038472117047929
"GAL3ST3"	4.27690469989426	0.0406212901938304	17.7754259905706	0.000127373783142039	0.038472117047929
"SLC6A19"	5.661822079164	0.00765322573759018	19.7925101701634	0.00012945214519948	0.0385714912095046
"MRC2"	-0.80721593371586	9.12937758944198	17.6111061952339	0.00013536807926229	0.0397964103953898
"NIBAN2"	-0.586097950924161	7.35732778134213	17.4162487128116	0.000145536997268895	0.0420076079571276
"MELTF"	-1.20047314363712	4.98584896730296	17.394883046164	0.00014669988719211	0.0420076079571276
"ENSG00000233109"	-4.10507208090831	-0.403152095940623	17.3168811112673	0.000151029018918806	0.0426928056171891
"KIF26B"	-1.1005926894456	4.0936925173655	17.1510586061345	0.000160684814156562	0.0448473350295954
"TRBV5-6"	-4.28351624302588	-0.350939314340114	17.0867243665109	0.00016460390464921	0.0450006371202734
"ENSG00000256020"	-3.04255058657254	-0.812023534349069	17.049255872743	0.000166932611188132	0.0450006371202734
"CNTNAP2"	-1.7110897996142	4.10168929775431	17.0424884075381	0.000167356897993669	0.0450006371202734
"C6orf47-AS1"	-5.13409790853452	-0.432732999909206	19.2980641445855	0.000173394594162944	0.0460623783939608
"ACE"	-1.53252723195525	4.93023645540863	16.867764243353	0.000178713278871606	0.0469101081647623
"KLK6"	-4.28040519602944	-0.332997244101754	16.6914882864312	0.000190995047419265	0.0495441153005573
"TRPV2"	-1.30089444435711	5.31346017117455	16.6548639538915	0.000193656418358399	0.049650353120748
"CA9"	-2.72781384708601	1.2860273062518	16.5814025303567	0.000199112923387134	0.0504625384800335
"ENSG00000269524"	-3.65197903606969	-0.404383800615787	16.4963835737784	0.000205630437101191	0.0515221080414109
"ANTXR1"	-0.708495361387966	6.03002818157192	16.4283293905761	0.000211009069447977	0.0517807393251994
"CRLF1"	-1.79863268525574	5.01534548876111	16.4239584948735	0.000211359541896138	0.0517807393251994
"KRT8P21"	5.50557259945414	0.521067241148598	16.262016106377	0.000224786055191494	0.0544649201199697
"SLC26A4-AS1"	5.1933977791804	-0.266957528725537	17.9472227641021	0.000229380420044007	0.0546770048065696
"ALPL"	-1.11039367551643	7.35147535914219	16.1947866325952	0.000230620955463331	0.0546770048065696
"KCNIP1"	4.60859108975075	-0.401036197738936	17.8273439860191	0.000238275928426159	0.0553092715065224
"C1QTNF6"	-0.916862911170357	4.52021741321447	16.0966485643017	0.000239426218770442	0.0553092715065224
"PRG2"	4.0169659836763	-0.212329601289363	16.0815371277644	0.000240813191737773	0.0553092715065224
"STC1"	2.07629982573291	4.13365481926909	15.8178564089712	0.00026642509285212	0.0605608955906846
"ENSG00000272267"	3.85750404144013	-0.384758676779552	15.7416192478896	0.000274353058845756	0.0615221841066813
"ENSG00000239254"	4.27967471783269	-0.597585729086177	17.3549815031893	0.000277118241946115	0.0615221841066813
"H3P13"	4.46253924159592	-0.0579055081848112	15.6977726923866	0.000279024827006582	0.0615221841066813
"SCD"	-1.29168188304486	10.4367836505141	15.6176206392582	0.000287782639873579	0.06282494481755
"ENSG00000253500"	4.16487832539401	-0.487661813525619	15.5397265641577	0.000296571340718647	0.0640661488440624
"SLC12A5-AS1"	4.41291342402422	-0.276470270686815	15.516213352393	0.000299279483465845	0.0640661488440624
"FOXN1"	4.40029498042385	-0.218601985948943	15.3843146223661	0.000314961378882957	0.0663541678241865
"RPS10P21"	4.90864959548624	-0.378534445905237	16.9488739024151	0.000315986558190375	0.0663541678241865
"ENSG00000285601"	4.07788128686083	-0.582547653459001	16.7466091485545	0.000337502485800221	0.0702037010321611
