"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"B2M"	3.22217738832423	8.01704875603189	780.559007043168	2.9527855578231e-55	8.33246556562101e-51
"TMSB4X"	3.19342199829269	8.17936295960255	688.663583052752	2.24547527924199e-52	3.16825334524648e-48
"RPS3A"	4.92519674520464	6.35533171013709	630.32920762816	2.2642310167276e-50	1.76155800443213e-46
"RPS6"	2.24906011283986	7.54280327908137	629.138545532259	2.49698147267037e-50	1.76155800443213e-46
"RPS24"	2.78683943425876	5.70336672114322	624.289163464102	3.72552635971436e-50	2.10261256689559e-46
"EEF1A1"	1.70823573186664	10.0550306020553	586.668915049259	9.09725736144475e-49	4.27859175804349e-45
"RPS27A"	3.49716091295091	5.22965029363722	536.975464028729	8.11715162659805e-47	3.27225573929958e-43
"SRGN"	6.0735658439065	7.86587337242552	521.465381458309	3.53508981159687e-46	1.24695874241815e-42
"RPL21"	3.01780159264513	5.26282039018403	488.9099675542	8.73523447473236e-45	2.73888424047192e-41
"RPL7"	3.1177272439886	5.69788839867452	469.900818533971	6.15624388597136e-44	1.73723046218226e-40
"SNORA84"	6.83576929589367	4.40647407443489	440.736420398099	1.39591234249666e-42	3.58102276299211e-39
"PPIAP22"	6.0408634859402	2.90582526234216	414.083906230118	2.79608924980325e-41	6.57523687834983e-38
"RNU4-2"	-6.71352656770628	7.64234727334833	398.364516669112	1.75780570736103e-40	3.81565532738621e-37
"CXCL8"	5.38314156172949	7.99349922260216	372.911996377668	3.89375772885116e-39	7.84842495360364e-36
"SNORD3A"	2.97940194874202	10.055127150964	371.801666772047	4.47326267330669e-39	8.4153999585361e-36
"SCARNA11"	6.4998752641133	5.99836737377414	356.454560110029	3.1452378402958e-38	5.5472166634567e-35
"SNORA3B"	4.90020782124162	6.70804634769941	339.753216097188	2.82406455941722e-37	4.68778104718791e-34
"ENSG00000286171"	-5.98228636302087	4.93501757755829	330.97210537423	9.24657047030165e-37	1.44960540056357e-33
"RNU6ATAC"	4.95479512458396	7.31255573718024	329.380983313863	1.14917229058978e-36	1.63861502554402e-33
"HNRNPA1"	1.75874819116719	7.03834055810434	329.30393019706	1.16135584219428e-36	1.63861502554402e-33
"MT-TL2"	-8.17072921926513	3.53266092208921	326.215786696719	1.77491087449356e-36	2.38505761749208e-33
"RPS15A"	2.96577352538796	5.61473330051031	324.845340883794	2.14453102514257e-36	2.75075095447719e-33
"MT-TI"	-8.22781411737713	4.12610533108783	322.883778360098	2.81425994547073e-36	3.35011651771057e-33
"PRRG3"	-4.59098633307942	8.06785058231364	322.692321179392	2.89009767474054e-36	3.35011651771057e-33
"TXN"	4.9405926856455	2.89160241933904	322.500988356189	2.96796176132267e-36	3.35011651771057e-33
"COX7A2"	3.97251612693911	3.91124678773709	314.368436107822	9.28672569515809e-36	1.00793120150641e-32
"RNU5B-1"	-6.62227132095001	4.68685993606481	311.486920196111	1.39834087221071e-35	1.46147337307089e-32
"IGF2R"	-3.53358883833781	11.5380204375562	305.804610158673	3.15955303847982e-35	3.18426525688793e-32
"MT-TP"	-7.73646659718009	2.47023570505915	302.428579227851	5.15454326721481e-35	5.01572608474258e-32
"RNU5A-1"	-6.91885118766817	3.48835070904595	299.525440893367	7.87657676558617e-35	7.40897065826921e-32
"EIF4A2"	1.85648327842694	5.49688353007537	292.919263285173	2.08999221663806e-34	1.9024996890745e-31
"RPL23"	1.52245708641674	7.64149042733517	290.755222629621	2.88698351378661e-34	2.54586836798576e-31
"MT-TH"	-8.19983372225973	2.77411581347853	289.596845924246	3.43437152611841e-34	2.93680394228896e-31
"SNORD88A"	-4.96213908352691	5.87518863516846	284.192762963095	7.77049862972946e-34	6.44928531859811e-31
"SNORA37"	-3.19464533054092	8.09973939663366	275.981251079526	2.74415474337868e-33	2.21249436295437e-30
"SNORA74D"	6.1334198588466	5.03010756651177	272.593410636367	4.65357438878252e-33	3.64775599102928e-30
"CD53"	4.47790922562686	3.41191600638195	270.738211008784	6.22632947036368e-33	4.74867003578899e-30
"SNORA2C"	5.65028287228519	3.5991258478271	267.775631111448	9.94028215605106e-33	7.38170584635802e-30
"MT-TL1"	-6.83774848893462	6.05160974816623	264.908243696773	1.56860950908783e-32	1.13498953171665e-29
"MT-TM"	-7.08164325344691	2.59940710399151	264.493889469204	1.67596625587653e-32	1.18235229436449e-29
"MT-TV"	-7.69119728669464	2.31257243361536	256.82398827887	5.78224025873744e-32	3.9797326307637e-29
"RNU4-1"	-5.92314953497156	4.3901385561185	255.811860642973	6.82153071385786e-32	4.58325655272274e-29
"SNORD17"	3.58101431991466	8.76989356324416	255.021313974505	7.76400591286032e-32	5.09517401988384e-29
"SNORA65"	5.25040886283699	6.14908822837194	250.314553308109	1.68723706262295e-31	1.08209415159448e-28
"PPBP"	6.92045221545951	4.22159752233421	242.260197995513	6.51686924044721e-31	4.08665629102622e-28
"ZMAT2"	3.23372207945818	3.44632801874579	242.108606863619	6.68664922129e-31	4.10196857338223e-28
"ANKRD17"	1.63655078051182	5.22907461091254	239.85998976316	9.80483419765351e-31	5.88686417496988e-28
"RN7SL5P"	-2.30868108205613	6.48893059267714	234.539570940958	2.4485856466988e-30	1.43951329925403e-27
"KPNB1"	1.245829418359	5.86416697097926	234.158187310147	2.61598537200768e-30	1.50654063699357e-27
"MIR1225"	-7.59361051095041	2.19635597733523	227.708958712481	8.09123261426604e-30	4.56652986283947e-27
"ENSG00000269374"	5.86865389087346	1.81861110513134	226.535527682064	9.95891791708895e-30	5.51040597455555e-27
"PHC3"	1.86449047995627	4.59095934061671	226.246897357686	1.04820145833323e-29	5.68830710628951e-27
"EIF3L"	1.81350253767366	5.1608273650402	225.530136817331	1.19051621040756e-29	6.33871263046997e-27
"MT-TF"	-6.14614209790372	3.56440688793174	224.925468881884	1.32576948772683e-29	6.88286756853104e-27
"RPN2"	1.35345495310496	6.17629583751164	224.859254176703	1.34149940206672e-29	6.88286756853104e-27
"RNY1"	-5.43326593504835	2.53622065803662	221.47462388903	2.45891705711502e-29	1.23907465062016e-26
"ENSG00000286076"	6.44704986241839	1.30540664376969	217.899987110344	4.69360551676326e-29	2.32366410662355e-26
"SELL"	5.29387518834022	3.83713459847036	207.617098841438	3.13304468375799e-28	1.52384962064669e-25
"SNORA11F"	5.45793057666061	1.67293615341539	207.527630957584	3.18604938580937e-28	1.52384962064669e-25
"RPL26"	2.59447852924339	4.32978281054378	203.968435230527	6.2333244529728e-28	2.93163637897399e-25
"DDX24"	1.18447097552679	6.31762611908592	202.935844050628	7.58363221523993e-28	3.50823799150583e-25
"FCER1G"	3.91407112754936	3.49417110857374	201.448927330201	1.00688706376907e-27	4.58279775040312e-25
"GALNT1"	2.80424162922232	3.20401037906003	199.466529760882	1.47228255425817e-27	6.59465736485892e-25
"HERC1"	1.05135870275997	7.10481182538171	195.895438101189	2.93651467020575e-27	1.29477355435212e-24
"RPSA"	1.41016769977777	7.58222840386838	195.432301250636	3.21340852430946e-27	1.39506423303829e-24
