"X108_Hip_non.sclerotic_pellet","X125_Hip_non.sclerotic_pellet","X126_Hip_non.sclerotic_pellet","X129_Hip_non.sclerotic_pellet","X143_Hip_non.sclerotic_pellet","X145_Hip_non.sclerotic_pellet","X146_Hip_non.sclerotic_pellet","X150_Hip_non.sclerotic_pellet","X152_Hip_non.sclerotic_pellet","X153_Hip_non.sclerotic_pellet","X157_Hip_non.sclerotic_pellet","X158_Hip_non.sclerotic_pellet","X79_Hip_non.sclerotic_pellet","X102_tibia_non.sclerotic_pellet","X104_tibia_non.sclerotic_pellet","X109_tibia_non.sclerotic_pellet","X128_tibia_non.sclerotic_pellet","X130_Tibia_non.sclerotic_pellet","X144_Tibia_non.sclerotic_pellet","X148_Tibia_non.sclerotic_pellet","X149_Tibia_non.sclerotic_pellet","X151_Tibia_non.sclerotic_pellet","X155_Tibia_non.sclerotic_pellet","X156_Tibia_non.sclerotic_pellet","X159_Tibia_non.sclerotic_pellet","X160_Tibia_non.sclerotic_pellet","X161_Tibia_non.sclerotic_pellet","X163_Tibia_non.sclerotic_pellet","X164_tibia_non.sclerotic_pellet","X99_Tibia_non.sclerotic_pellet","genes","colSums_hip","colSums_tibia"
4,14,0,0,11,0,7,0,11,5,0,17,25,3,17,0,75,4,26,17,15,42,29,26,66,11,24,3,65,31,"TSPAN6",94,454
18,87,1,7,284,16,53,26,247,215,76,58,110,177,57,0,153,159,218,356,20,48,45,12,150,49,10,25,54,84,"DPM1",1198,1617
10,40,14,0,45,6,8,0,70,52,13,27,17,61,7,12,24,16,38,37,4,23,0,4,26,14,12,4,16,6,"SCYL3",302,304
7,40,0,14,53,0,36,0,65,29,26,3,3,71,9,0,6,23,37,75,0,4,3,1,6,11,0,0,6,0,"C1orf112",276,252
240,3629,147,989,5275,4,1219,142,3946,4738,2688,827,6258,13362,379,65,1662,3327,3506,13368,244,182,473,49,743,88,103,135,210,385,"FGR",30102,38281
6,3,0,1,5,18,7,0,1,21,0,21,4,9,5,6,7,6,4,6,14,10,4,7,39,18,1,19,24,40,"CFH",87,219
3,100,3,9,214,19,69,10,219,199,132,55,72,138,19,6,113,98,184,200,12,53,25,25,206,38,36,10,62,60,"FUCA2",1104,1285
24,696,11,84,927,4,447,13,1788,1253,418,420,286,578,53,14,288,505,486,2105,28,48,54,18,305,66,36,16,82,42,"GCLC",6371,4724
39,625,25,58,817,28,241,44,841,708,232,225,369,681,124,2,349,305,381,1074,11,147,61,38,353,83,27,31,136,53,"NFYA",4252,3856
3,48,5,19,31,6,38,5,103,64,21,40,32,26,11,3,52,31,45,98,4,38,30,0,51,15,23,6,25,0,"STPG1",415,458
