"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"RPL7"	3.33855895813602	5.65985715179251	239.358230510299	1.53012460617741e-17	3.44752375017832e-13
"SRGN"	5.84744089712685	7.96815718391385	227.368895440769	3.43631134604477e-17	3.87117654688673e-13
"B2M"	2.72793762610742	7.78239838935114	203.290458254855	1.96356484540411e-16	1.47470265106e-12
"PPIAP22"	6.66180627313411	3.24164759373613	197.275636711643	3.11948559330648e-16	1.75712824756971e-12
"RPS3A"	4.55300778612861	6.45521992085353	181.147655203173	1.14809972567437e-15	5.17356698383383e-12
"SNORA84"	7.1251520646434	4.76905223969253	178.332815674848	1.45566428864969e-15	5.46626201459436e-12
"TMSB4X"	2.74631838085265	7.92983230202933	148.264992666137	2.27928030956782e-14	7.33635209355323e-11
"RPL21"	3.20048711821812	5.4227673343702	141.710924257685	4.40777690915237e-14	1.13505116864824e-10
"ANKRD17"	1.78567507091048	5.17062173461329	141.435729280354	4.53395788816928e-14	1.13505116864824e-10
"SNORD3A"	3.12932718623129	10.6105136238281	137.918249237963	6.52924850910185e-14	1.47110498158574e-10
"SNORD88A"	-4.57393517502542	6.38889580001471	131.196569217156	1.33878015316315e-13	2.74218687553808e-10
"CXCL8"	4.82482943724091	7.60298692686289	127.03546235894	2.11911594617402e-13	3.74245788253605e-10
"RPS24"	2.62050678103096	5.78985851534116	126.867352423294	2.15933391651363e-13	3.74245788253605e-10
"MT-TL2"	-8.31359392689944	2.64952876425187	125.704662917636	2.46051011955072e-13	3.95983953597124e-10
"RPS6"	2.2702793439566	7.74289992159363	117.42118290629	6.41686226571173e-13	9.63855491391673e-10
"SNORA3B"	4.86091814542434	7.01407286995196	113.56616966424	1.02059825330443e-12	1.43719370282513e-09
"EEF1A1"	1.60816393772421	10.1252648388658	106.657036053686	2.41840430379075e-12	3.2052392569829e-09
"PPBP"	7.31676412119302	4.38252090605963	104.487497579399	3.1986669259288e-12	3.85367044187436e-09
"RPS27A"	3.56077945556588	5.42185324637415	104.365611210356	3.24973318519431e-12	3.85367044187436e-09
"SNORA2C"	6.01047225023695	3.99855346090102	98.5658891955685	7.01988400960528e-12	7.90825033102083e-09
"RNU6ATAC"	5.06333615603977	7.62891064475899	94.0032354202843	1.3178740242126e-11	1.41395331616828e-08
