"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"SRGN"	6.04874399971071	7.87677492703448	328.781103571992	2.82471328628948e-27	3.8693280163956e-23
"PPIAP22"	6.63236259836459	2.98107407685397	327.798802873264	3.06663603439319e-27	3.8693280163956e-23
"B2M"	2.75098615276117	7.81121952731606	315.421172328641	8.79375865929944e-27	7.39701665891405e-23
"RPS3A"	4.41435842201208	6.38866154789512	303.315194480743	2.54861810187057e-26	1.6078594450176e-22
"TMSB4X"	2.97497366680258	7.90744390265013	296.178926179884	4.85183748740657e-26	2.4487223798941e-22
"RPS6"	2.29955797527588	7.65551864832452	293.330747946825	6.29574810950576e-26	2.64788672572296e-22
"SNORA84"	7.17932593613269	4.90028673992267	288.688767703945	9.66920447726691e-26	3.48574821405472e-22
"SNORD88A"	-4.72420546486049	6.21434827003267	281.970310267534	1.81750905656997e-25	5.73310513031789e-22
"SNORD3A"	3.06932144651488	10.5323377897328	262.385314962438	1.23000218961765e-24	3.44878947277795e-21
"RNU4-2"	-6.73429563881702	8.04359419752257	244.223415808515	8.04925964729252e-24	2.03123067199427e-20
"RPS24"	2.51797519576875	5.77852833691265	234.389632614683	2.33230898169403e-23	5.35052883209535e-20
"MT-TI"	-8.95394589852597	3.68192656143313	231.411634033558	3.24123074529086e-23	6.81603815478458e-20
"RPL21"	3.11499019649304	5.36284500195105	227.885224753331	4.80648706107528e-23	9.33013084509498e-20
"SNORA3B"	4.78420828101415	7.16656501341286	218.977172108269	1.32881025688853e-22	2.39518048804158e-19
"EEF1A1"	1.62437929844198	10.0664478710494	212.364717864838	2.88648909427949e-22	4.85603681960953e-19
"RPS27A"	3.43599490842523	5.33301378327213	208.714304151471	4.46507439735786e-22	7.04225952608284e-19
"CXCL8"	4.66853435195192	7.48441426225026	201.820562113029	1.0342740691906e-21	1.53528859623676e-18
"RNU5A-1"	-7.2607441722869	3.87276541005423	199.849108146115	1.32039071935373e-21	1.85111443349396e-18
"ENSG00000286171"	-5.926658115297	5.21173940294152	194.456992682695	2.59958158571723e-21	3.45265480608285e-18
"PRRG3"	-4.67764096421532	8.21783843322957	193.389057668373	2.97782351989154e-21	3.64468835005773e-18
"IGF2R"	-3.75305191051653	11.7173143655699	193.244989509305	3.0330277531687e-21	3.64468835005773e-18
"MT-TL2"	-7.70105194133121	3.13814685692388	187.096731457352	6.70736247943904e-21	7.69364964402929e-18
"RPL7"	2.83542598697024	5.7093279448557	181.09126291245	1.48411781822011e-20	1.62833535403411e-17
"MT-TF"	-7.53716135424833	2.82030991566247	179.151343197544	1.92616514274904e-20	2.02528239071966e-17
"SNORA74D"	6.41162336361451	5.57244425422853	176.377682271969	2.80646695578914e-20	2.83284774517355e-17
"SNORA2C"	5.99088122687087	4.01994428135541	175.670348142951	3.09135407292398e-20	3.00039692423987e-17
"SNORD17"	3.36095708454131	9.27726861499256	173.607316159219	4.10512384375312e-20	3.83677037767074e-17
"MT-TH"	-7.81546613127192	2.44229319264095	173.094123812604	4.40690410900766e-20	3.97172232824315e-17
"ANKRD17"	1.71611838930325	5.12875071997755	169.01856409326	7.78372469773327e-20	6.77318250852755e-17
"RNU6ATAC"	5.0181748905341	7.6076530700066	168.768968698926	8.06227657114866e-20	6.77726192337432e-17
"RNU5B-1"	-6.50188799668946	5.05648576386067	168.541105464891	8.32554466513192e-20	6.77726192337432e-17
"SNORD90"	-6.87337701836922	1.37257496548471	166.583462436615	1.09867871977368e-19	8.66411171671526e-17
"RNU4-1"	-5.64359306234416	4.80335382419929	164.929535068344	1.39136314954573e-19	1.06397118420565e-16
"SCARNA11"	6.25069584278843	6.40044537196037	157.996222289219	3.81628777788479e-19	2.83247123749772e-16
"MT-TM"	-8.01991380970542	2.55317376306012	156.88302677883	4.50060671961576e-19	3.24493744484297e-16
"SNORA37"	-3.14282520135544	8.27586854593899	153.533211389341	7.43051128425821e-19	5.08881495253165e-16
"CD53"	4.14434638459257	3.53071156540486	153.505788574347	7.4613098174627e-19	5.08881495253165e-16
"RPS15A"	2.60155185349848	5.73770381141876	147.279304683946	1.93497012587233e-18	1.28497292437864e-15
"MT-TL1"	-7.06713372855865	5.53168912574141	140.646064093677	5.51089971859978e-18	3.56583472817604e-15
"EIF4A2"	1.65981071069974	5.4672907352688	134.999335110374	1.38022290485634e-17	8.70748125101243e-15
"RPL23"	1.45534488086301	7.60199123206854	134.513855664124	1.49539968140107e-17	9.20400267320877e-15
"SNORA65"	5.11761172623046	6.66781682750339	130.82568677363	2.76701281338645e-17	1.66251353204302e-14
"HNRNPA1"	1.69792052790294	7.13407569144101	129.850734357584	3.26216430401345e-17	1.88872107645873e-14
"TXN"	4.68220242475902	2.651204186832	129.79481773347	3.29319307961895e-17	1.88872107645873e-14
"MT-ATP8"	-2.96440215208694	4.94257568246989	128.273359867806	4.26523988343249e-17	2.39185174352042e-14
"DANCR"	-2.42802090263572	9.87239466038079	125.5378758402	6.8258647840775e-17	3.74458038752599e-14
"SNORA11B"	6.3016858180298	3.2338896708668	125.293116372293	7.12153551029108e-17	3.76185057869188e-14
"RN7SL5P"	-2.4042169451516	6.64818360793407	125.265680050255	7.15549149107232e-17	3.76185057869188e-14
"MT-TP"	-7.36766270297635	2.50129545940367	118.49865646049	2.36350558143997e-16	1.21720537444158e-13
"RNY1"	-5.57816402615022	2.54637059577123	113.37064519825	6.02289471858043e-16	3.03975496446754e-13
"RPSA"	1.42156390456102	7.84600305108257	112.622843238064	6.91878171812951e-16	3.42344032660781e-13
"SNORA74C-2"	6.39634820573753	0.733169181576562	110.162871777762	1.09638878062032e-15	5.32064824595266e-13
"COX7A2"	3.55264472808378	3.66087444553212	108.926411439853	1.38525918025152e-15	6.59566328559379e-13
"RPN2"	1.35498149275015	6.23547534478348	108.453869378886	1.51544313812309e-15	7.08189029454374e-13
"CA1"	5.36267615734574	5.45850395867504	107.81072342209	1.71318566043903e-15	7.86040729839615e-13
"SNORA5C"	-2.70225322564105	8.4014402418908	106.708965230855	2.11601091266197e-15	9.53527417518302e-13
"PHC3"	1.95354831854946	4.57336687381617	105.685931239618	2.57757778544448e-15	1.14114342834546e-12
"ENSG00000281383"	-5.43480357202412	1.19236295003746	104.763679272991	3.08254535877959e-15	1.34117296773798e-12
"SNORA38B"	-6.30459793208297	0.567912539006941	104.518840916165	3.23301850065104e-15	1.38280037057507e-12
"PPBP"	6.40714078935627	4.17826987557325	103.870670532446	3.66902660710052e-15	1.54313144050303e-12
"ENSG00000283907"	-5.7448487213126	0.465672251018	103.1181376667	4.25214232060286e-15	1.75906248295759e-12
"CKAP5"	2.18711586878396	4.48481070461265	102.917413764736	4.42326246458162e-15	1.8003391660277e-12
"RPL35A"	1.78717484993457	6.90216770597399	100.897058101594	6.59740836771239e-15	2.64262857395591e-12
"MT-RNR1"	-2.54896523729034	10.4103717272948	100.29523029742	7.438889846492e-15	2.93313101994102e-12
"NBPF19"	6.21955887822844	1.6641335658964	100.2116907931	7.56414938094184e-15	2.9366355327395e-12
"SELL"	4.80425006385586	3.81451291373765	96.3346810903318	1.65753507540158e-14	6.33756024663012e-12
"SCARNA10"	2.95511523698618	4.80979561423706	95.8760563630678	1.82100947373361e-14	6.85868269696534e-12
"SNORD67"	4.20040591376959	3.59435668040131	94.3993059992777	2.46973698504342e-14	9.16526659081924e-12
"SNORA7B"	-1.91299622623385	8.99161852280167	93.7483039156314	2.82738237919004e-14	1.03404339621537e-11
"AP2B1"	1.2916184726483	5.44946896383281	92.84573867443	3.41365123839092e-14	1.23062127143993e-11
"DEFA3"	5.81381231511095	3.93090100988134	89.5339419102519	6.88032612871461e-14	2.44542295574807e-11
"SNORD71"	-6.77638189665723	0.981202016956721	89.1049445077439	7.54260045142996e-14	2.6435766998866e-11
"ENSG00000286076"	6.1620875048653	1.26043825114274	89.0137964579261	7.69158112799883e-14	2.65886369541165e-11
"EIF3L"	1.66286396519388	5.16986516287767	87.8377389746277	9.91008209795744e-14	3.37947191543184e-11
"ZMAT2"	2.94441992037553	3.26177054310758	87.6704287195767	1.02755416267798e-13	3.4305431406414e-11
"RPS27"	1.83049273362117	8.14933351601005	87.6452490703862	1.03317328586783e-13	3.4305431406414e-11
"MT-ND4L"	-2.71725070833617	4.51750708455215	87.4944507581887	1.06749496506696e-13	3.4984721355149e-11
"GALNT1"	2.61934893845594	3.10532271836321	87.2043397942265	1.13686848986537e-13	3.67806106945546e-11
"RMRP"	-3.11742266606413	10.8594987846968	86.7064727872518	1.26695160680401e-13	4.04702832882268e-11
"RNA5SP132"	-6.03955593834732	0.621780375131553	86.509757971783	1.32249267093013e-13	4.17163781886521e-11
"SNORA20"	-5.43104383420006	1.065713726861	86.1091072987287	1.44350978717919e-13	4.4971567258601e-11
"UBE2E1"	2.21061818260632	3.35278085302044	85.8952266845562	1.51272990523148e-13	4.65533404372151e-11
"KPNB1"	1.1900320172136	5.80550480987514	84.7596189868646	1.94204100303721e-13	5.90450659176432e-11
"SNORA11"	4.44459139626321	5.87368106361419	84.559025416931	2.03006514882499e-13	6.09865405126173e-11
"SNORA47"	-1.978289490656	6.92989710527594	84.3918098554473	2.10658115271184e-13	6.24925555457776e-11
"SNORD13"	-5.00068276390757	1.43004231610755	84.3424643890722	2.12972450047033e-13	6.24925555457776e-11
"SNORA11F"	5.09696161568329	1.97472028495246	82.7887831921187	3.00988640709345e-13	8.73040040034518e-11
"SNORD46"	-4.37901118093177	2.90007890041271	82.7373228313921	3.04476114123834e-13	8.73119856808518e-11
"SNORA14B"	-5.11321533185936	1.42087878014437	81.983444056472	3.60620921153534e-13	1.02250212868645e-10
"RPL26"	2.34063053455354	4.4167557844227	80.7783343144279	4.73520651367781e-13	1.32769929302955e-10
"OGT"	1.49733055817504	6.29101982191275	79.9799452157075	5.67875644347333e-13	1.57476284451703e-10
"DDX24"	1.09648031369815	6.32338465467036	79.7149595310099	6.03312794238408e-13	1.65484764810937e-10
"FCER1G"	3.56005156997319	3.12948579544443	79.4386597138835	6.42697241955591e-13	1.74392095706982e-10
"HERC1"	0.976882792678193	7.11915463047224	77.9603086269467	9.03370408107056e-13	2.42516513282782e-10
"7SK"	-2.0444760863059	5.46881884517046	77.3949847855187	1.02995607389818e-12	2.73588858156005e-10
"ILF2"	1.47328663142266	5.21581473845346	76.8040821967096	1.18193798767018e-12	3.10689636654761e-10
"LDHB"	3.85729735740441	2.87920534339135	76.0993826386675	1.39384502210087e-12	3.6261524879088e-10
"MGP"	4.02523775003527	6.97530145953035	74.3569832314016	2.10315556432118e-12	5.41145134797436e-10
"RNY4"	-8.16159900711199	1.93500422835196	99.8650227119406	2.12297873370105e-12	5.41145134797436e-10
"RNVU1-27"	3.13701344801732	3.53994937348592	74.0549374660626	2.25981406605583e-12	5.70264079569189e-10
"MIR1225"	-9.08599302267936	2.87460023266049	99.1247396932513	2.36183771809324e-12	5.90108661545376e-10
"COX6C"	2.54507970174308	3.29321922747609	73.8214498685705	2.38912722612938e-12	5.91074760307597e-10
"KDM5A"	1.25596121370058	5.53029192513306	73.5792170829652	2.53136499543243e-12	6.20184423880946e-10
"RN7SL600P"	4.64868647449435	2.30064227407362	73.3580024846559	2.66888651570719e-12	6.47589915614145e-10
"PSMB7"	1.45417584382628	4.6389349818765	73.2426149446696	2.74365246810365e-12	6.59391143167577e-10
"CYBB"	2.39644364266369	4.80718787829119	72.1104145860334	3.60254189386407e-12	8.57642874449621e-10
