"X108_Hip_sclerotic_adipocyte","X125_Hip_sclerotic_adipocyte","X126_Hip_sclerotic_adipocyte","X129_Hip_sclerotic_adipocyte","X143_Hip_sclerotic_adipocyte","X145_Hip_sclerotic_adipocyte","X146_Hip_sclerotic_adipocyte","X150_Hip_sclerotic_adipocyte","X152_Hip_sclerotic_adipocyte","X153_Hip_sclerotic_adipocyte","X154_Hip_sclerotic_adipocyte","X157_Hip_sclerotic_adipocyte","X158_Hip_sclerotic_adipocyte","X102_tibia_sclerotic_adipocyte","X105_tibia_sclerotic_adipocyte","X109_tibia_sclerotic_adipocyte","X128_tibia_sclerotic_adipocyte","X130_Tibia_sclerotic_adipocyte","X144_Tibia_sclerotic_adipocyte","X148_Tibia_sclerotic_adipocyte","X149_Tibia_sclerotic_adipocyte","X151_Tibia_sclerotic_adipocyte","X155_Tibia_sclerotic_adipocyte","X156_Tibia_sclerotic_adipocyte","X159_Tibia_sclerotic_adipocyte","X160_Tibia_sclerotic_adipocyte","X161_Tibia_sclerotic_adipocyte","X163_Tibia_sclerotic_adipocyte","genes","colSums_hip","colSums_tibia"
32,12,20,16,8,8,51,65,23,38,0,7,74,18,9,45,5,3,62,7,33,0,16,7,68,87,110,6,"TSPAN6",354,476
8,1,1,2,1,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,11,33,0,0,"TNMD",22,47
101,51,19,42,81,43,174,85,119,148,12,56,94,29,19,62,6,13,105,16,27,15,28,26,85,125,140,10,"DPM1",1025,706
2,20,11,8,8,1,50,27,89,54,10,31,56,26,6,13,5,0,31,2,21,0,1,5,3,33,38,12,"SCYL3",367,196
8,16,0,6,9,6,40,6,55,37,3,3,15,0,0,22,0,0,14,0,2,0,0,0,2,8,18,0,"C1orf112",204,66
525,5794,100,2356,242,58,3272,204,6492,1254,265,688,229,116,131,365,35,200,943,314,153,86,116,73,219,208,717,403,"FGR",21479,4079
40,21,0,0,6,25,22,17,9,45,0,0,17,4,13,23,0,4,22,0,13,5,13,3,16,38,26,4,"CFH",202,184
53,201,57,101,57,61,179,110,336,170,21,56,97,78,26,78,17,12,137,3,46,8,57,21,146,154,182,101,"FUCA2",1499,1066
270,587,37,335,88,47,1154,205,2162,601,140,234,254,76,18,157,39,26,256,84,49,13,21,74,326,335,439,62,"GCLC",6114,1975
283,510,122,214,165,120,824,204,1006,489,105,202,258,52,105,81,58,17,229,40,106,0,63,71,241,345,472,45,"NFYA",4502,1925
70,49,8,0,9,36,52,20,84,57,1,17,84,32,11,28,3,0,16,6,23,0,6,4,45,82,70,20,"STPG1",487,346
136,133,28,76,53,27,293,70,580,237,65,50,66,26,26,36,9,4,56,4,36,10,16,24,83,103,212,46,"NIPAL3",1814,691
344,468,140,314,117,150,619,265,1115,662,91,175,296,91,83,215,35,11,295,15,78,10,101,141,317,419,427,132,"LAS1L",4756,2370
17,16,8,12,4,2,61,50,105,60,0,36,2,0,1,8,4,4,29,3,14,0,14,10,31,30,68,8,"ENPP4",373,224
309,160,19,88,73,68,310,137,82,317,23,105,228,120,66,113,22,15,123,12,98,14,31,90,143,271,538,81,"SEMA3F",1919,1737
146,230,72,124,64,99,407,200,395,273,32,110,256,40,29,44,34,16,130,0,41,8,17,43,134,160,258,49,"ANKIB1",2408,1003
99,112,51,44,38,28,118,62,100,113,4,23,145,49,23,76,13,3,96,1,34,25,36,42,207,171,221,31,"CYP51A1",937,1028
58,162,48,82,27,22,112,116,206,68,20,48,78,18,25,41,10,7,93,0,39,11,27,63,116,177,191,33,"KRIT1",1047,851
70,56,38,111,59,19,131,99,145,130,8,18,53,40,0,42,2,7,38,2,37,19,29,42,48,109,168,32,"RAD52",937,615
0,0,0,0,8,2,0,6,0,3,0,0,7,0,0,6,3,0,2,0,0,0,0,0,10,0,14,0,"MYH16",26,35
184,386,168,195,169,131,448,415,427,454,47,129,107,184,127,246,45,31,418,9,173,21,62,183,381,455,665,126,"BAD",3260,3126
342,598,179,415,148,222,515,468,523,519,111,256,535,85,69,171,51,28,280,15,68,27,144,116,341,376,676,108,"LAP3",4831,2555
1317,1829,792,1527,950,705,1729,2212,1124,2213,323,655,1733,711,489,1312,235,256,1671,87,702,97,436,876,1920,2673,3132,838,"CD99",17109,15435
62,113,70,67,48,7,88,61,82,46,5,24,23,43,19,62,0,8,117,7,25,16,33,47,73,86,184,46,"HS3ST1",696,766
0,50,0,2,7,3,45,6,78,18,13,7,1,0,0,5,0,0,2,0,26,0,0,3,4,0,18,1,"AOC1",230,59
11,4,0,0,8,0,0,8,2,9,0,0,9,3,0,0,0,0,4,0,0,0,1,0,0,7,0,22,"WNT16",51,37
64,12,15,7,3,6,4,23,12,33,6,0,11,7,16,28,0,0,42,0,36,1,11,9,110,109,65,0,"HECW1",196,434
32,99,24,101,15,7,154,70,167,86,7,8,43,30,26,25,3,7,125,0,15,12,20,22,30,87,137,25,"MAD1L1",813,564
1331,3028,854,2306,943,754,4032,2309,5116,3254,561,1242,1456,880,426,1480,410,224,2987,138,1092,194,719,776,2781,3580,5338,958,"LASP1",27186,21983
81,140,35,121,91,54,208,152,421,109,51,72,65,35,7,37,10,14,107,8,14,12,37,34,68,52,105,75,"SNX11",1600,615
124,212,61,162,485,180,598,538,165,558,30,248,524,69,88,266,26,40,565,4,76,24,184,81,170,523,940,73,"TMEM176A",3885,3129
294,665,109,293,191,127,833,332,1108,723,94,242,281,62,58,206,21,20,404,12,94,9,86,49,150,231,412,85,"M6PR",5292,1899
0,10,3,9,0,0,11,18,8,34,0,5,4,6,0,8,1,1,13,0,6,0,2,0,4,25,20,0,"KLHL13",102,86
423,101,69,43,157,54,93,420,13,78,20,76,182,95,104,129,57,37,620,7,243,19,120,74,243,611,704,323,"CYP26B1",1729,3386
11,79,26,28,30,28,114,61,209,61,1,78,40,25,59,35,6,28,59,15,38,5,6,40,49,62,226,7,"ICA1",766,660
12,16,0,0,0,9,17,25,24,20,1,0,3,11,13,5,0,8,39,2,6,0,5,18,0,9,6,14,"DBNDD1",127,136
120,156,61,75,96,57,271,135,382,211,29,53,137,24,26,80,1,4,99,14,23,7,24,9,95,125,177,24,"ALS2",1783,732
51,125,12,42,61,33,377,139,537,376,66,73,73,30,7,24,17,6,53,7,33,4,7,27,46,44,261,21,"CASP10",1965,587
2486,5177,657,4028,841,507,4066,1781,4767,3273,757,1294,1619,746,646,985,336,427,1655,151,730,92,437,730,2120,2621,4078,578,"CFLAR",31253,16332
473,187,26,74,84,31,319,86,142,279,18,94,233,63,78,72,21,9,96,8,64,5,43,17,75,193,498,32,"TFPI",2046,1274
32,70,3,21,32,15,77,43,111,31,5,16,13,1,5,8,0,1,30,6,11,18,1,4,36,22,44,0,"NDUFAF7",469,187
599,932,170,577,221,298,1358,498,1830,942,278,285,431,88,136,231,54,62,429,22,135,23,97,120,464,509,779,171,"RBM5",8419,3320
418,113,77,57,155,181,360,215,88,327,19,176,283,183,92,106,28,45,257,5,161,15,59,74,140,350,1139,96,"SLC7A2",2469,2750
176,560,99,378,198,218,778,424,1174,597,94,218,282,181,108,387,74,75,586,19,180,45,138,225,591,583,735,255,"ARF5",5196,4182
91,147,89,97,143,63,255,171,533,291,42,104,104,92,16,149,25,27,291,5,64,7,55,111,203,241,384,50,"SARM1",2130,1720
250,517,167,230,218,155,620,411,835,445,76,175,285,151,123,266,43,31,393,32,182,7,154,120,485,684,602,124,"POLDIP2",4384,3397
3516,7977,2035,5954,3445,2381,8288,8644,4722,10122,1753,3761,5541,3392,2042,4814,1148,1036,8545,338,3269,455,2462,3813,7489,10391,25156,4185,"PLXND1",68139,78535
368,467,131,173,135,129,634,422,986,537,47,172,223,128,119,198,25,30,299,22,116,15,109,41,363,492,422,42,"AK2",4424,2421
38,97,4,75,13,18,508,34,689,177,49,63,40,17,7,26,0,21,30,23,13,0,3,0,17,20,99,19,"CD38",1805,295
509,743,144,304,192,160,923,294,1146,530,185,212,394,138,152,275,50,29,405,81,160,6,110,122,355,417,1043,101,"FKBP4",5736,3444
217,417,103,233,185,148,606,357,885,487,110,170,235,51,39,138,22,44,282,14,93,17,60,77,192,288,363,83,"KDM1A",4153,1763
379,636,149,358,227,206,984,406,1218,768,142,152,276,60,87,156,34,35,394,25,137,12,70,130,318,515,684,107,"RBM6",5901,2764
47,198,40,96,41,52,232,54,232,106,22,43,92,38,60,86,6,22,118,27,18,6,18,40,63,76,140,78,"CAMKK1",1255,796
46,75,13,52,33,78,104,63,131,169,3,39,38,16,1,73,24,0,71,1,22,1,22,22,83,130,185,27,"RECQL",844,678
4,0,3,17,0,22,35,13,78,61,4,19,15,0,0,0,0,0,7,1,0,0,0,0,7,0,10,11,"VPS50",271,36
491,406,135,49,80,88,187,382,34,568,72,212,167,149,138,129,131,6,162,25,753,9,61,138,274,585,394,121,"HSPB6",2871,3075
71,221,5,74,114,46,494,72,1103,366,57,75,68,65,67,71,32,13,223,35,59,16,20,60,195,247,635,47,"ARHGAP33",2766,1785
180,138,99,150,117,90,296,222,306,274,5,66,160,78,66,123,11,7,210,3,57,0,90,42,229,459,236,51,"NDUFAB1",2103,1662
757,2803,471,2128,565,298,537,1149,893,3084,379,634,1250,682,362,950,171,297,1626,68,697,78,499,629,1449,1599,4216,475,"PDK4",14948,13798
9,153,0,21,0,0,280,2,512,102,8,68,16,0,4,0,0,11,2,2,3,2,6,0,0,0,7,0,"SLC22A16",1171,37
2,0,0,0,0,11,14,9,9,0,2,0,12,0,0,1,0,0,6,3,0,0,4,0,16,14,25,0,"ZMYND10",59,69
103,154,23,70,47,39,159,115,173,122,7,68,78,11,4,21,0,3,114,7,17,1,22,0,77,49,146,3,"SLC25A13",1158,475
59,54,4,17,32,3,107,56,191,62,8,21,46,17,2,11,6,0,33,0,34,0,19,4,31,63,39,13,"ST7",660,272
78,129,42,9,32,7,415,40,519,231,4,91,70,24,44,44,6,7,58,31,18,15,13,17,110,125,166,7,"CDC27",1667,685
1855,18867,164,1375,216,126,39923,235,112802,15802,7842,6129,1339,290,74,78,25,586,256,1362,95,89,106,200,83,74,481,120,"SLC4A1",206675,3919
0,0,0,2,0,0,14,3,0,2,0,0,0,3,0,0,3,0,4,0,0,0,4,0,9,5,0,0,"CALCR",21,28
52,145,20,63,37,16,136,79,273,100,13,27,60,17,11,57,4,0,53,1,20,1,7,11,38,50,71,26,"HCCS",1021,367
191,466,143,227,227,183,654,423,671,491,53,199,314,168,84,222,79,45,539,30,191,24,93,121,565,794,1238,139,"DVL2",4242,4332
1190,1835,402,1071,574,517,2716,1336,3532,2262,423,645,1022,521,335,851,258,201,1583,131,667,79,427,659,1295,1864,2763,525,"UPF1",17525,12159
53,227,23,90,20,29,382,90,385,192,31,81,91,47,29,70,2,2,115,30,23,12,36,21,71,83,223,18,"SKAP2",1694,782
797,1280,437,928,309,287,1593,699,2348,1103,198,390,591,244,90,372,61,55,574,68,123,30,122,141,625,875,937,164,"SLC25A5",10960,4481
89,85,25,45,55,21,131,106,224,88,38,48,63,19,28,57,3,24,99,11,55,30,43,3,79,152,134,26,"MCUB",1018,763
16,23,45,89,19,28,46,122,14,63,3,13,57,18,12,25,6,0,54,0,25,3,20,37,96,99,99,38,"HOXA11",538,532
143,236,103,149,104,58,446,191,508,321,43,130,156,155,59,132,27,15,162,21,69,27,78,46,203,265,380,61,"POLR2J",2588,1700
220,84,29,139,97,70,295,129,487,187,21,83,164,29,36,103,42,3,145,4,72,3,43,33,165,142,290,47,"DHX33",2005,1157
26,35,7,8,1,10,41,52,7,24,6,16,56,16,8,10,2,17,24,2,20,14,8,49,14,41,180,13,"MEOX1",289,418
111,93,114,58,144,53,98,265,32,210,16,76,183,59,38,73,5,15,49,6,19,10,16,78,110,295,424,51,"THSD7A",1453,1248
141,335,45,97,66,97,683,201,997,393,76,130,193,87,37,127,16,11,140,29,72,17,24,80,119,214,351,65,"LIG3",3454,1389
35,13,0,11,1,0,38,5,63,8,0,3,17,2,0,7,3,0,24,5,8,6,7,8,25,38,36,5,"RPAP3",194,174
8,14,5,10,0,0,183,1,260,36,0,3,5,0,0,0,0,0,6,1,0,0,0,0,1,1,0,0,"ACSM3",525,9
19,54,1,14,5,15,50,20,232,60,0,13,12,4,2,6,0,0,32,1,3,0,0,2,14,10,58,2,"REXO5",495,134
39,94,51,69,11,35,97,100,207,56,15,26,36,28,20,35,0,0,56,0,18,9,11,33,57,103,116,25,"CIAPIN1",836,511
310,449,82,338,216,149,1018,390,1386,660,140,204,350,202,135,291,63,81,805,64,199,29,104,257,579,840,1426,318,"SPPL2B",5692,5393
143,945,118,305,161,92,1506,338,3112,725,274,296,272,66,44,152,49,48,329,85,104,26,36,69,291,384,524,180,"FAM214B",8287,2387
201,292,163,168,82,78,58,274,31,273,16,55,137,94,69,227,59,12,350,0,136,30,145,74,307,381,314,85,"COPZ2",1828,2283
614,658,253,383,288,195,663,621,497,1049,162,191,337,252,130,256,81,85,441,28,254,8,135,339,1129,1107,549,158,"PRKAR2B",5911,4952
115,175,24,70,47,39,306,96,675,192,45,89,112,17,18,44,14,2,111,1,21,2,28,45,77,31,164,23,"MSL3",1985,598
1670,4870,699,1871,878,761,5220,2064,7862,3662,760,1377,1904,996,559,1071,237,260,2328,267,866,123,461,884,2565,3061,6429,860,"CREBBP",33598,20967
147,320,43,224,102,161,760,176,1096,394,109,183,151,116,82,99,26,57,527,36,106,25,73,221,472,404,905,149,"TSPOAP1",3866,3298
1018,2889,141,552,293,109,22994,240,85575,9458,1165,6592,655,209,79,180,19,354,287,1853,143,184,159,90,98,152,267,174,"MPO",131681,4248
16,41,0,20,19,24,70,6,57,44,5,2,14,17,1,7,10,0,12,0,11,7,6,14,72,79,52,21,"GCFC2",318,309
20,27,1,14,42,6,79,31,141,56,6,3,29,5,12,27,2,9,45,7,13,12,15,31,46,46,131,20,"WDR54",455,421
13,15,14,23,5,4,18,48,13,58,0,14,27,17,13,25,0,0,13,0,20,0,7,8,13,26,98,6,"CROT",252,246
29,3,0,57,6,5,82,11,5,26,4,8,9,19,0,1,0,0,34,0,0,6,0,1,4,9,25,3,"ABCB4",245,102
564,875,98,347,216,125,955,354,1431,700,87,260,402,81,82,145,33,50,435,38,94,20,108,118,248,433,788,83,"KMT2E",6414,2756
290,345,157,198,241,177,379,493,657,585,51,220,265,155,154,343,74,41,529,17,275,22,168,167,463,641,859,295,"RHBDD2",4058,4203
27,14,41,0,2,15,64,22,9,15,0,0,11,26,29,9,0,13,18,0,6,2,3,1,50,31,103,22,"SOX8",220,313
75,102,6,21,21,16,171,51,125,103,8,17,27,20,36,42,0,0,66,23,12,7,11,0,76,105,114,12,"IBTK",743,524
83,43,2,18,33,13,124,59,202,164,15,34,54,0,49,49,12,7,49,18,18,0,3,15,42,128,85,4,"ZNF195",844,479
1038,1661,413,1095,506,553,1867,2052,1763,1835,265,699,1017,272,216,314,94,84,770,30,218,28,160,315,1154,1120,1206,237,"MYCBP2",14764,6218
74,115,28,62,31,30,143,85,242,113,8,35,48,35,23,53,22,15,119,6,34,7,24,47,66,128,220,52,"FBXL3",1014,851
47,807,72,678,106,160,2000,328,3097,779,250,225,182,44,28,135,12,89,1344,41,161,68,127,253,100,82,534,404,"ITGAL",8731,3422
439,523,253,263,259,187,573,506,453,867,221,299,360,250,125,338,108,49,519,40,331,54,186,183,990,951,1001,243,"PDK2",5203,5368
80,463,25,249,79,56,142,189,79,211,20,64,83,109,60,183,22,0,1324,8,76,43,45,86,221,207,500,533,"ITGA3",1740,3417
136,535,105,223,114,83,463,154,511,256,61,129,99,66,31,42,10,15,197,16,41,7,55,64,132,273,338,55,"ZFX",2869,1342
252,511,97,112,107,101,680,200,920,467,49,147,221,94,60,260,26,26,334,32,68,28,50,51,191,285,495,96,"LAMP2",3864,2096
274,144,12,39,59,9,2878,16,2536,1662,92,279,119,15,6,26,0,35,19,99,12,14,16,8,14,41,178,16,"ITGA2B",8119,499
225,374,76,258,171,75,795,313,1025,669,76,172,273,133,71,190,39,9,294,20,100,20,74,135,370,601,357,108,"GDE1",4502,2521
168,536,128,275,124,120,496,250,720,564,69,177,274,159,118,256,41,96,569,23,116,58,71,248,395,394,747,216,"REX1BD",3901,3507
32,45,105,68,48,142,27,67,104,95,29,6,31,98,137,324,10,167,125,20,124,39,52,55,163,56,94,498,"CRLF1",799,1962
47,174,30,141,47,52,319,131,368,236,49,63,117,48,21,70,9,27,254,10,43,25,43,42,165,100,398,71,"OSBPL7",1774,1326
