"X108_Hip_sclerotic_pellet","X125_Hip_sclerotic_pellet","X126_Hip_sclerotic_pellet","X129_Hip_sclerotic_pellet","X143_Hip_sclerotic_pellet","X145_Hip_sclerotic_pellet","X146_Hip_sclerotic_pellet","X150_Hip_sclerotic_pellet","X152_Hip_sclerotic_pellet","X153_Hip_sclerotic_pellet","X154_Hip_sclerotic_pellet","X157_Hip_sclerotic_pellet","X158_Hip_sclerotic_pellet","X79_Hip_sclerotic_pellet","X102_tibia_sclerotic_pellet","X109_tibia_sclerotic_pellet","X128_tibia_sclerotic_pellet","X130_Tibia_sclerotic_pellet","X144_Tibia_sclerotic_pellet","X149_Tibia_sclerotic_pellet","X151_Tibia_sclerotic_pellet","X155_Tibia_sclerotic_pellet","X156_Tibia_sclerotic_pellet","X159_Tibia_sclerotic_pellet","X160_Tibia_sclerotic_pellet","X161_Tibia_sclerotic_pellet","X164_tibia_sclerotic_pellet","X99_Tibia_sclerotic_pellet","genes","colSums_hip","colSums_tibia"
11,6,0,3,3,0,15,3,3,12,0,0,25,32,28,33,6,9,22,7,30,5,16,27,33,75,25,7,"TSPAN6",113,323
73,127,12,196,18,2,81,12,35,142,8,42,29,76,42,33,23,19,45,0,3,16,22,40,100,48,40,30,"DPM1",853,461
1,38,12,47,52,16,16,15,22,50,0,15,15,4,10,30,6,7,19,1,4,1,1,15,40,12,21,1,"SCYL3",303,168
0,32,16,18,1,0,26,1,19,18,0,4,3,7,0,0,0,0,4,0,0,0,1,1,6,6,0,0,"C1orf112",145,18
750,3360,142,4530,219,51,2410,35,976,4174,156,1714,395,152,623,336,143,57,167,64,20,115,84,143,450,280,187,92,"FGR",19064,2761
1,8,6,3,34,7,0,30,7,28,10,8,27,30,11,12,7,4,16,20,10,14,1,12,53,1,13,10,"CFH",199,184
40,62,25,173,65,44,123,30,47,136,9,79,44,95,58,83,35,2,17,8,0,7,10,119,101,112,105,0,"FUCA2",972,657
69,481,29,469,150,34,498,33,213,845,13,158,84,60,60,50,9,19,25,23,8,19,19,78,277,84,78,14,"GCLC",3136,763
146,343,51,708,121,47,417,81,174,511,28,228,110,71,107,152,67,18,92,23,21,15,20,131,262,118,48,34,"NFYA",3036,1108
12,45,1,27,7,5,14,8,6,49,0,13,11,8,19,4,27,9,6,4,4,3,7,4,25,36,35,9,"STPG1",206,192
64,98,34,448,94,39,170,33,139,286,49,81,18,109,32,59,49,12,73,22,16,40,5,35,110,91,65,15,"NIPAL3",1662,624
174,322,87,639,166,43,230,57,173,839,59,169,122,128,115,107,40,26,140,31,26,33,58,102,357,131,144,20,"LAS1L",3208,1330
33,32,2,84,0,0,21,4,20,15,0,15,7,3,14,16,6,3,12,0,3,2,1,17,19,24,9,2,"ENPP4",236,128
120,101,106,100,123,86,58,36,29,50,25,87,103,90,69,250,55,13,122,21,11,47,22,205,740,191,169,23,"SEMA3F",1114,1938
45,109,65,192,105,29,134,39,45,255,2,41,69,56,42,51,17,8,82,14,9,13,10,44,120,70,36,6,"ANKIB1",1186,522
34,39,14,95,68,19,56,14,49,115,8,61,27,22,25,42,18,0,33,29,0,15,19,79,134,77,103,18,"CYP51A1",621,592
9,73,13,121,19,5,39,5,34,110,12,31,18,23,29,79,16,2,39,11,0,1,4,43,88,62,52,21,"KRIT1",512,447
30,57,25,151,33,8,46,16,31,209,17,32,26,78,6,66,7,9,18,4,0,3,22,54,90,59,21,4,"RAD52",759,363
0,0,0,0,0,5,5,0,0,0,0,0,11,4,0,0,0,0,9,0,4,0,0,0,6,0,0,4,"MYH16",25,23
40,119,42,243,156,107,242,75,93,253,16,123,82,133,167,187,64,16,169,58,21,21,70,210,540,185,240,24,"BAD",1724,1972
86,298,121,466,93,59,309,110,90,348,22,156,128,118,46,114,82,14,71,7,14,54,61,125,452,117,181,43,"LAP3",2404,1381
493,752,539,2122,1089,611,789,421,249,1142,194,695,525,1759,597,1704,492,90,840,203,133,278,322,1773,2260,1219,1119,149,"CD99",11380,11179
55,41,37,87,92,31,12,26,8,33,30,15,31,10,58,187,64,11,32,28,22,36,18,90,300,80,169,18,"HS3ST1",508,1113
0,15,0,6,5,6,12,0,0,14,0,14,6,4,14,2,1,0,0,0,0,2,8,4,0,0,0,0,"AOC1",82,31
95,135,0,11,25,35,33,56,7,21,4,37,153,16,41,2,51,12,5,0,7,11,3,27,12,57,212,30,"WNT16",628,470
16,0,16,5,6,4,4,5,3,11,0,0,6,14,8,20,8,1,9,0,5,4,6,30,16,26,31,6,"HECW1",90,170
40,88,19,164,41,12,64,41,51,181,8,62,31,43,59,45,10,10,38,0,0,19,16,18,53,22,43,15,"MAD1L1",845,348
539,1378,400,2916,1107,375,1575,265,698,2504,94,1012,526,953,652,1463,256,96,1007,143,169,360,221,1299,2672,1180,997,173,"LASP1",14342,10688
25,99,15,234,76,46,140,13,58,180,0,80,26,31,11,34,13,2,34,2,1,4,13,32,48,38,18,0,"SNX11",1023,250
25,70,81,359,330,55,199,95,92,65,3,383,229,51,21,209,28,6,139,7,23,58,74,53,877,194,91,18,"TMEM176A",2037,1798
89,266,70,541,123,37,452,83,138,616,41,333,112,64,69,116,43,8,80,10,9,28,13,86,257,122,121,30,"M6PR",2965,992
4,11,3,6,5,1,19,0,2,8,0,11,1,3,27,2,2,5,4,0,0,0,3,0,12,19,15,0,"KLHL13",74,89
161,73,132,121,220,138,62,43,33,88,65,38,70,144,135,220,79,35,312,33,23,83,25,217,483,443,417,56,"CYP26B1",1388,2561
12,55,29,113,19,1,53,0,33,193,12,11,18,9,27,24,19,4,32,20,2,8,13,26,124,39,17,2,"ICA1",558,357
0,17,0,25,14,13,14,6,8,86,0,2,12,4,40,0,5,13,2,0,5,0,4,2,15,12,32,6,"DBNDD1",201,136
14,76,48,221,113,30,79,52,66,288,12,73,43,99,26,52,18,7,28,6,4,31,12,21,110,61,51,8,"ALS2",1214,435
34,180,68,344,110,14,262,11,106,637,28,91,33,31,18,22,12,5,49,0,6,3,5,29,129,31,39,7,"CASP10",1949,355
1033,2939,683,6584,1051,293,2449,110,938,5080,145,2356,745,403,616,843,345,114,477,204,182,326,222,541,2028,626,789,232,"CFLAR",24809,7545
141,94,28,202,83,9,28,25,9,70,0,51,38,41,20,83,20,16,59,1,18,32,18,43,282,80,84,10,"TFPI",819,766
5,18,6,61,18,0,55,4,23,36,6,9,20,10,22,11,3,6,11,12,0,26,4,4,12,19,21,0,"NDUFAF7",271,151
251,785,122,1839,597,139,684,71,404,1685,94,409,189,254,153,202,52,35,181,15,12,69,42,183,490,243,152,37,"RBM5",7523,1866
0,1,0,4,0,0,0,0,8,2,0,0,1,0,1,3,4,0,0,0,0,0,0,0,0,19,10,6,"MTMR7",16,43
923,1343,130,243,437,101,127,142,129,424,414,116,321,363,255,358,424,154,228,86,18,54,86,158,730,506,699,269,"SLC7A2",5213,4025
130,282,100,622,197,96,488,57,338,599,11,267,187,272,137,353,94,33,250,36,36,61,67,300,525,347,254,52,"ARF5",3646,2545
30,113,39,506,230,53,111,36,173,358,47,74,57,91,68,159,80,8,178,9,19,31,53,132,247,153,157,29,"SARM1",1918,1323
70,322,57,352,170,96,309,117,154,603,37,251,151,168,71,267,57,2,158,34,36,62,23,133,349,158,192,15,"POLDIP2",2857,1557
1261,1600,2013,7744,4255,1719,2781,645,784,3332,136,2372,1668,1866,1639,5548,1730,169,3034,490,603,945,578,4193,13265,4592,4349,683,"PLXND1",32176,41818
101,322,87,453,78,27,458,103,178,588,48,307,49,107,123,131,44,38,72,11,14,56,29,151,274,195,52,20,"AK2",2906,1210
21,339,1,271,33,0,207,0,121,518,15,231,63,30,40,8,26,16,59,0,5,4,13,14,35,37,55,5,"CD38",1850,317
251,848,114,671,278,98,415,68,313,873,30,229,207,285,170,370,97,31,126,23,28,85,70,248,628,325,159,26,"FKBP4",4680,2386
76,294,89,490,115,122,238,78,181,628,67,273,167,175,109,184,62,11,86,7,15,28,51,143,275,180,138,38,"KDM1A",2993,1327
150,556,124,1600,332,72,341,53,217,951,21,218,94,217,151,217,65,8,118,46,11,21,38,163,480,162,192,44,"RBM6",4946,1716
46,272,32,192,66,46,170,36,85,342,61,84,69,94,120,99,49,18,57,11,0,32,5,70,202,127,136,10,"CAMKK1",1595,936
21,75,33,139,47,13,55,36,80,143,5,40,33,56,21,33,13,2,19,0,5,3,1,42,52,53,57,11,"RECQL",776,312
6,26,0,64,0,7,9,0,21,63,4,7,15,8,0,2,1,0,0,4,1,0,0,0,4,0,0,0,"VPS50",230,12
38,19,21,63,82,48,19,15,6,49,11,16,25,90,105,156,20,7,79,18,16,32,57,87,206,62,132,11,"HSPB6",502,988
90,394,1,484,158,29,403,9,235,1025,20,139,112,85,141,127,60,22,99,17,36,62,8,164,279,176,80,58,"ARHGAP33",3184,1329
77,232,14,127,37,4,127,4,85,150,2,74,46,87,36,103,32,6,47,6,9,25,15,126,158,80,44,9,"NDUFAB1",1066,696
297,341,125,1180,431,104,74,27,124,452,19,183,325,181,330,374,263,90,249,111,74,211,208,226,1135,573,260,130,"PDK4",3863,4234
38,143,3,106,0,4,139,0,124,283,0,33,35,2,22,0,1,2,0,3,0,0,0,0,0,9,1,0,"SLC22A16",910,38
4,5,0,5,0,0,21,0,8,29,0,35,4,1,0,20,0,11,3,0,1,5,0,18,24,22,12,1,"ZMYND10",112,117
0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,1,13,0,0,0,0,0,2,3,0,7,0,"ARX",4,29
62,134,23,140,10,1,67,10,46,110,5,42,59,42,33,17,24,4,12,5,2,9,6,83,74,42,27,10,"SLC25A13",751,348
20,63,4,61,20,0,23,13,28,72,4,45,1,22,16,2,3,0,2,0,0,2,1,29,17,14,18,2,"ST7",376,106
17,188,15,179,17,6,121,1,92,171,5,61,45,53,41,15,35,2,18,2,3,15,4,22,125,57,26,5,"CDC27",971,370
1661,17303,90,15390,709,105,18725,49,10450,39779,666,3069,3060,373,1994,142,46,165,158,126,63,84,138,127,105,91,129,64,"SLC4A1",111429,3432
0,15,0,2,4,0,0,0,0,0,0,1,0,0,2,1,0,4,3,0,0,0,0,0,0,0,0,0,"CALCR",22,10
8,94,8,103,14,0,43,12,24,71,9,51,27,13,10,6,7,2,8,0,0,14,19,30,53,16,10,5,"HCCS",477,180
112,339,69,455,197,103,237,32,186,559,14,199,151,214,161,313,49,36,236,31,17,59,41,238,847,400,246,34,"DVL2",2867,2708
494,1353,398,2567,963,365,1483,144,833,3085,146,774,462,579,522,1001,289,71,629,191,127,178,168,779,1724,781,594,116,"UPF1",13646,7170
36,120,16,192,54,13,92,1,101,226,14,79,30,31,25,60,22,3,33,5,8,25,16,36,76,31,37,7,"SKAP2",1005,384
