"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"CRLF1"	-4.08646663677128	7.56039751958161	31.1130595367178	3.29653414431784e-06	0.0403070853129705
"CTHRC1"	-3.7287926415753	3.71787110120588	29.2043059187543	5.51565873173971e-06	0.0403070853129705
"PTGES"	-2.50771138565846	5.7863155199846	29.0417500689277	5.76724602750198e-06	0.0403070853129705
"TREM2"	-4.58885869161112	2.433359586508	27.3963117933045	9.12284656154136e-06	0.0403070853129705
"BCAT1"	-1.83129485489299	4.59991205782879	27.3474356827816	9.24983599067617e-06	0.0403070853129705
"DSTN"	-1.82902480116035	4.37099207342158	25.6114853778028	1.52333365265135e-05	0.0499134065530615
"FAM114A1"	-2.34205347036562	5.0156930811164	24.973364392679	1.83724112379716e-05	0.0499134065530615
"SEMA3D"	-3.89304777856487	2.9447799519572	24.5452459571085	2.08592395955879e-05	0.0499134065530615
"COL7A1"	-2.50243623751075	5.94879227905951	24.2831553907517	2.25562987094949e-05	0.0499134065530615
"ANK3"	-1.80272812578049	4.81031970404263	24.2313671243739	2.29086683280069e-05	0.0499134065530615
"ADAMTS14"	-2.34245024757563	4.58675065974527	23.7781661326121	2.62538568056339e-05	0.0520017301891956
"SCX"	-2.6891573339566	3.37348890530019	22.3822687763567	4.02503311424839e-05	0.0675336517004316
"PFKP"	-1.44198251797535	6.80028472642714	22.3787308028222	4.02945415873697e-05	0.0675336517004316
"ENSG00000255301"	5.3227120792241	-0.324196672336873	26.7532518946924	4.51677375015639e-05	0.0691390732754908
"ROBO1"	-1.95298121507839	4.81612671156751	21.4937979253548	5.31553705153782e-05	0.0691390732754908
"AMTN"	-5.62300711161739	4.89888660438953	21.4293064719887	5.42497021268017e-05	0.0691390732754908
"KIAA1549L"	-4.81955164139128	1.71844429014215	21.2392943747064	5.76155236923063e-05	0.0691390732754908
"PRG4"	-4.26575423659439	7.5735978048588	21.2214939202633	5.79420220685774e-05	0.0691390732754908
"MAGED1"	-1.41908912756187	6.95990489101279	20.9035652431749	6.41172794132025e-05	0.0691390732754908
"CALU"	-1.71471793384495	5.12234568746213	20.8628428823618	6.49574548580284e-05	0.0691390732754908
