"X108_Hip_non.sclerotic_pellet","X125_Hip_non.sclerotic_pellet","X126_Hip_non.sclerotic_pellet","X129_Hip_non.sclerotic_pellet","X143_Hip_non.sclerotic_pellet","X145_Hip_non.sclerotic_pellet","X146_Hip_non.sclerotic_pellet","X150_Hip_non.sclerotic_pellet","X152_Hip_non.sclerotic_pellet","X153_Hip_non.sclerotic_pellet","X157_Hip_non.sclerotic_pellet","X158_Hip_non.sclerotic_pellet","X79_Hip_non.sclerotic_pellet","X108_Hip_sclerotic_pellet","X125_Hip_sclerotic_pellet","X126_Hip_sclerotic_pellet","X129_Hip_sclerotic_pellet","X143_Hip_sclerotic_pellet","X145_Hip_sclerotic_pellet","X146_Hip_sclerotic_pellet","X150_Hip_sclerotic_pellet","X152_Hip_sclerotic_pellet","X153_Hip_sclerotic_pellet","X154_Hip_sclerotic_pellet","X157_Hip_sclerotic_pellet","X158_Hip_sclerotic_pellet","X79_Hip_sclerotic_pellet","genes","colSums_HNSP","colSums_HSP"
4,14,0,0,11,0,7,0,11,5,0,17,25,11,6,0,3,3,0,15,3,3,12,0,0,25,32,"TSPAN6",94,113
18,87,1,7,284,16,53,26,247,215,76,58,110,73,127,12,196,18,2,81,12,35,142,8,42,29,76,"DPM1",1198,853
10,40,14,0,45,6,8,0,70,52,13,27,17,1,38,12,47,52,16,16,15,22,50,0,15,15,4,"SCYL3",302,303
7,40,0,14,53,0,36,0,65,29,26,3,3,0,32,16,18,1,0,26,1,19,18,0,4,3,7,"C1orf112",276,145
240,3629,147,989,5275,4,1219,142,3946,4738,2688,827,6258,750,3360,142,4530,219,51,2410,35,976,4174,156,1714,395,152,"FGR",30102,19064
6,3,0,1,5,18,7,0,1,21,0,21,4,1,8,6,3,34,7,0,30,7,28,10,8,27,30,"CFH",87,199
3,100,3,9,214,19,69,10,219,199,132,55,72,40,62,25,173,65,44,123,30,47,136,9,79,44,95,"FUCA2",1104,972
24,696,11,84,927,4,447,13,1788,1253,418,420,286,69,481,29,469,150,34,498,33,213,845,13,158,84,60,"GCLC",6371,3136
39,625,25,58,817,28,241,44,841,708,232,225,369,146,343,51,708,121,47,417,81,174,511,28,228,110,71,"NFYA",4252,3036
3,48,5,19,31,6,38,5,103,64,21,40,32,12,45,1,27,7,5,14,8,6,49,0,13,11,8,"STPG1",415,206
10,146,34,20,358,27,163,2,475,420,154,107,135,64,98,34,448,94,39,170,33,139,286,49,81,18,109,"NIPAL3",2051,1662
63,547,54,83,646,9,279,57,1185,818,401,178,344,174,322,87,639,166,43,230,57,173,839,59,169,122,128,"LAS1L",4664,3208
8,26,0,2,74,0,11,7,47,23,19,8,25,33,32,2,84,0,0,21,4,20,15,0,15,7,3,"ENPP4",250,236
40,16,41,3,54,31,97,45,65,62,15,129,95,120,101,106,100,123,86,58,36,29,50,25,87,103,90,"SEMA3F",693,1114
9,155,26,11,197,30,98,5,318,231,110,99,62,45,109,65,192,105,29,134,39,45,255,2,41,69,56,"ANKIB1",1351,1186
9,50,8,10,155,8,41,5,112,60,68,104,67,34,39,14,95,68,19,56,14,49,115,8,61,27,22,"CYP51A1",697,621
4,143,9,27,221,5,57,22,253,136,50,54,36,9,73,13,121,19,5,39,5,34,110,12,31,18,23,"KRIT1",1017,512
12,147,1,9,167,22,66,9,248,262,65,60,74,30,57,25,151,33,8,46,16,31,209,17,32,26,78,"RAD52",1142,759
0,2,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,5,5,0,0,0,0,0,11,4,"MYH16",21,25
18,140,12,23,272,37,270,25,311,278,87,111,161,40,119,42,243,156,107,242,75,93,253,16,123,82,133,"BAD",1745,1724
25,328,108,30,357,37,208,25,474,246,148,146,142,86,298,121,466,93,59,309,110,90,348,22,156,128,118,"LAP3",2274,2404
133,554,271,57,1240,304,612,323,1239,1098,752,910,587,493,752,539,2122,1089,611,789,421,249,1142,194,695,525,1759,"CD99",8080,11380
9,0,14,6,62,17,67,6,32,57,9,76,37,55,41,37,87,92,31,12,26,8,33,30,15,31,10,"HS3ST1",392,508
0,20,0,0,14,0,9,0,10,24,58,0,0,0,15,0,6,5,6,12,0,0,14,0,14,6,4,"AOC1",135,82
0,0,0,0,8,0,0,0,0,0,0,94,41,95,135,0,11,25,35,33,56,7,21,4,37,153,16,"WNT16",143,628
0,9,10,15,3,13,7,2,4,8,0,0,14,16,0,16,5,6,4,4,5,3,11,0,0,6,14,"HECW1",85,90
7,94,22,8,214,0,78,11,321,169,103,66,62,40,88,19,164,41,12,64,41,51,181,8,62,31,43,"MAD1L1",1155,845
195,1230,256,155,2523,215,1524,268,3173,2576,1170,959,1898,539,1378,400,2916,1107,375,1575,265,698,2504,94,1012,526,953,"LASP1",16142,14342
16,118,19,18,262,9,129,2,270,221,99,68,99,25,99,15,234,76,46,140,13,58,180,0,80,26,31,"SNX11",1330,1023
15,88,37,0,99,3,140,45,86,31,235,52,26,25,70,81,359,330,55,199,95,92,65,3,383,229,51,"TMEM176A",857,2037
32,532,32,21,638,26,275,53,831,748,353,259,299,89,266,70,541,123,37,452,83,138,616,41,333,112,64,"M6PR",4099,2965
0,20,1,11,8,0,11,3,12,11,0,0,5,4,11,3,6,5,1,19,0,2,8,0,11,1,3,"KLHL13",82,74
71,11,29,0,26,60,23,15,21,2,40,116,15,161,73,132,121,220,138,62,43,33,88,65,38,70,144,"CYP26B1",429,1388
15,84,0,16,224,19,52,10,155,188,54,60,83,12,55,29,113,19,1,53,0,33,193,12,11,18,9,"ICA1",960,558
0,14,0,8,16,1,2,1,29,75,0,27,9,0,17,0,25,14,13,14,6,8,86,0,2,12,4,"DBNDD1",182,201
22,163,40,18,207,33,99,9,288,381,108,63,92,14,76,48,221,113,30,79,52,66,288,12,73,43,99,"ALS2",1523,1214
11,235,27,27,810,27,266,8,490,621,165,135,448,34,180,68,344,110,14,262,11,106,637,28,91,33,31,"CASP10",3270,1949
319,3461,495,413,5635,161,1683,363,4900,6001,4069,1431,4507,1033,2939,683,6584,1051,293,2449,110,938,5080,145,2356,745,403,"CFLAR",33438,24809
93,95,25,9,99,1,68,9,108,63,20,92,73,141,94,28,202,83,9,28,25,9,70,0,51,38,41,"TFPI",755,819
1,56,0,6,143,13,37,9,56,84,8,37,38,5,18,6,61,18,0,55,4,23,36,6,9,20,10,"NDUFAF7",488,271
58,1060,115,199,1840,55,512,105,1550,1883,756,577,1307,251,785,122,1839,597,139,684,71,404,1685,94,409,189,254,"RBM5",10017,7523
290,186,10,0,166,56,69,21,70,17,47,449,159,923,1343,130,243,437,101,127,142,129,424,414,116,321,363,"SLC7A2",1540,5213
37,367,26,74,732,40,483,76,955,870,394,213,315,130,282,100,622,197,96,488,57,338,599,11,267,187,272,"ARF5",4582,3646
15,153,24,29,258,31,165,39,560,340,137,165,102,30,113,39,506,230,53,111,36,173,358,47,74,57,91,"SARM1",2018,1918
43,490,41,46,707,40,412,31,777,746,249,178,298,70,322,57,352,170,96,309,117,154,603,37,251,151,168,"POLDIP2",4058,2857
511,1625,949,138,3112,988,3183,989,4429,3164,2816,2557,1454,1261,1600,2013,7744,4255,1719,2781,645,784,3332,136,2372,1668,1866,"PLXND1",25915,32176
30,356,24,64,786,8,330,36,880,762,325,243,336,101,322,87,453,78,27,458,103,178,588,48,307,49,107,"AK2",4180,2906
12,471,20,11,651,2,131,15,584,766,426,86,193,21,339,1,271,33,0,207,0,121,518,15,231,63,30,"CD38",3368,1850
80,1203,22,84,1032,43,636,44,1454,1083,394,524,1098,251,848,114,671,278,98,415,68,313,873,30,229,207,285,"FKBP4",7697,4680
21,502,79,57,657,34,236,76,1057,863,318,309,268,76,294,89,490,115,122,238,78,181,628,67,273,167,175,"KDM1A",4477,2993
40,703,18,80,1222,24,375,78,1296,1312,441,484,810,150,556,124,1600,332,72,341,53,217,951,21,218,94,217,"RBM6",6883,4946
28,192,9,17,283,33,159,17,372,362,136,106,317,46,272,32,192,66,46,170,36,85,342,61,84,69,94,"CAMKK1",2031,1595
29,123,0,13,157,6,56,0,218,102,47,33,30,21,75,33,139,47,13,55,36,80,143,5,40,33,56,"RECQL",814,776
5,39,0,0,46,0,22,0,49,95,14,25,13,6,26,0,64,0,7,9,0,21,63,4,7,15,8,"VPS50",308,230
8,10,5,0,33,3,23,20,1,16,20,35,19,38,19,21,63,82,48,19,15,6,49,11,16,25,90,"HSPB6",193,502
16,589,0,77,1061,19,238,23,1546,1021,358,215,651,90,394,1,484,158,29,403,9,235,1025,20,139,112,85,"ARHGAP33",5814,3184
16,149,12,13,150,17,82,0,265,91,73,38,118,77,232,14,127,37,4,127,4,85,150,2,74,46,87,"NDUFAB1",1024,1066
185,217,96,69,582,112,103,170,685,531,155,276,261,297,341,125,1180,431,104,74,27,124,452,19,183,325,181,"PDK4",3442,3863
3,169,0,30,346,0,136,7,477,465,89,74,148,38,143,3,106,0,4,139,0,124,283,0,33,35,2,"SLC22A16",1944,910
0,31,0,0,10,21,2,0,4,32,24,3,19,4,5,0,5,0,0,21,0,8,29,0,35,4,1,"ZMYND10",146,112
6,166,20,31,157,6,77,13,173,181,99,74,170,62,134,23,140,10,1,67,10,46,110,5,42,59,42,"SLC25A13",1173,751
0,57,0,4,117,0,42,4,143,164,24,47,74,20,63,4,61,20,0,23,13,28,72,4,45,1,22,"ST7",676,376
11,255,11,36,278,19,156,4,376,330,37,78,122,17,188,15,179,17,6,121,1,92,171,5,61,45,53,"CDC27",1713,971
702,23282,212,3583,24108,38,21845,1188,74921,46617,14684,12117,8671,1661,17303,90,15390,709,105,18725,49,10450,39779,666,3069,3060,373,"SLC4A1",231968,111429
0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,4,0,0,0,0,0,0,1,0,0,"CALCR",11,22
9,130,3,9,93,0,59,0,183,115,25,28,49,8,94,8,103,14,0,43,12,24,71,9,51,27,13,"HCCS",703,477
25,384,21,44,579,70,250,17,868,619,261,199,319,112,339,69,455,197,103,237,32,186,559,14,199,151,214,"DVL2",3656,2867
127,1486,293,230,2932,258,1243,204,4264,3098,1464,1088,2241,494,1353,398,2567,963,365,1483,144,833,3085,146,774,462,579,"UPF1",18928,13646
9,177,0,15,154,8,88,3,291,247,124,84,144,36,120,16,192,54,13,92,1,101,226,14,79,30,31,"SKAP2",1344,1005
138,1245,80,93,1542,57,886,84,2079,1633,798,554,637,227,956,199,1288,300,56,1103,112,464,1298,81,996,273,327,"SLC25A5",9826,7680
8,124,1,26,141,5,79,1,253,197,54,45,96,11,96,20,155,65,38,89,19,57,198,9,55,31,66,"MCUB",1030,909
13,4,15,2,0,0,11,9,0,0,0,6,3,8,2,11,15,41,1,0,13,0,32,7,18,9,18,"HOXA11",63,175
27,219,22,13,320,23,170,7,563,389,145,113,147,53,208,38,224,61,23,147,38,91,334,0,88,103,192,"POLR2J",2158,1600
