"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TREM2"	-3.69909102952587	2.52235475664472	38.6240673721826	6.10005397021777e-08	0.00147548105431627
"IRX4"	5.0821425107555	-0.786564919822681	32.8822901151069	3.76355729746269e-07	0.00344961188603299
"DMBT1L1"	4.94483157994816	-0.568744183351094	31.7839554508634	5.40561717894547e-07	0.00344961188603299
"RN7SL555P"	3.74195252795376	-1.02175050913114	31.6218412481938	5.7046665884455e-07	0.00344961188603299
"CRLF1"	-4.01469389228391	6.62138734954543	30.0425538932161	9.69310891410007e-07	0.00392874179480039
"PTGES"	-1.97986390864511	5.13300982485537	29.9582248774419	9.97429792044607e-07	0.00392874179480039
"AMTN"	-5.58602815765263	3.89481763230196	29.3563394019555	1.22433447717555e-06	0.00392874179480039
"COL6A3"	-2.49787983886125	10.4521343080063	29.1824412712251	1.29940194966112e-06	0.00392874179480039
"MAGED1"	-1.10271237287726	6.72362226926532	28.1230915217053	1.87240610592881e-06	0.00422299752666253
"OR7E122P"	4.20131173013183	-1.01673999873854	27.69306150885	2.17477501507232e-06	0.00422299752666253
"KRT8P8"	4.32814272518318	-0.846283191393029	27.5764612062163	2.2651878082418e-06	0.00422299752666253
"PRG4"	-4.07537177299758	6.61429924857608	27.5285656452978	2.3034473772255e-06	0.00422299752666253
"ENSG00000280073"	-4.41115833699797	0.184254785390049	27.4956959997085	2.33009119257741e-06	0.00422299752666253
"ENSG00000236501"	-3.35598231515282	-1.21503844481492	27.1071886342142	2.67034743523916e-06	0.00422299752666253
"CPXM1"	-1.62354744846511	5.11962944777794	26.9871606564678	2.78558146152254e-06	0.00422299752666253
"ADAMTS14"	-2.06514916587802	3.97306470153147	26.7269860046412	3.05341308304683e-06	0.00422299752666253
"HTRA1"	-3.01586046782326	9.07967195932761	26.6816123275155	3.10279098027303e-06	0.00422299752666253
"MGP"	-2.13522075853345	7.45843900611643	26.5213485265208	3.28392621580707e-06	0.00422299752666253
"MRGPRG"	4.30949232104437	-0.936717534413077	26.4051414258281	3.42210000952291e-06	0.00422299752666253
"HTRA3"	-1.28332045873046	5.28548257727761	26.2760748337407	3.58265212606193e-06	0.00422299752666253
"FBXO40"	3.24664304380575	-1.1226657203287	25.8089641832998	4.2320566256632e-06	0.00422299752666253
"TMEM213"	-3.62165007036038	-1.08948810893786	25.6878714850294	4.41956287231939e-06	0.00422299752666253
"STMN2"	-4.52427046618627	2.04399687943695	25.6175067500734	4.53245705115434e-06	0.00422299752666253
"CTHRC1"	-2.74036098045068	3.10802415554555	25.6086633657553	4.54685555702129e-06	0.00422299752666253
"CYP4F8"	-3.98742045417822	-0.877298071462239	25.6002303544857	4.56063009033478e-06	0.00422299752666253
"ZNF723"	4.31863896643648	-0.94367255178804	25.5208526381826	4.69242644444349e-06	0.00422299752666253
"CREB3L1"	-2.29505035871653	4.7065531441449	25.5081116345803	4.71394630477461e-06	0.00422299752666253
"PAPOLB"	-3.59060505939043	-1.10567699641402	25.3535677803252	4.98327622864745e-06	0.00423494446939274
"BMP1"	-1.40379560588966	6.20329275109125	25.2122258422211	5.24357482040895e-06	0.00423494446939274
"IGLJCOR18"	3.45536659083996	-1.14022946407732	25.2074905388271	5.25253572357294e-06	0.00423494446939274
"ENSG00000205236"	-3.27053201615163	-1.21263654221893	24.7795876846445	6.13158448866172e-06	0.00478421824554031
"KAZALD1"	-1.41572917194418	3.15343646303793	24.5416140382926	6.68520786928463e-06	0.00505318149819552
"FMO1"	-4.16835511758127	-0.923720521375563	24.3781846131519	7.09524127549814e-06	0.00506027196869252
"FBLIM1P2"	3.9732019658217	-1.01343004674511	24.37132941281	7.11300012136372e-06	0.00506027196869252
