"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"COMP"	-1.85212289409841	7.0560175678045	55.9285120478817	4.09243865080487e-08	0.000802507869302829
"FN1"	-1.79276338823932	10.7068943022705	52.3290395110752	7.60274614469072e-08	0.000802507869302829
"CHI3L2"	-2.02234747881725	7.64501214771033	38.8232648202994	1.03446414947936e-06	0.00727952421988627
"CRLF1"	-2.98099651977145	2.91934360926743	36.8353814774512	1.59028262285254e-06	0.00839311411275999
"FMOD"	-1.08749414792596	7.24875888822904	27.3014027027442	1.54783105864186e-05	0.0653525229579767
"PLA2G2A"	-2.81353550143624	4.03922676899536	25.4613953178066	2.51874543193177e-05	0.0886220580225195
"ACAN"	-1.54164654471241	6.15450106724534	22.8898902884546	5.13071977300583e-05	0.15473517875418
"GLIS3"	-1.19180566626289	5.60708328805565	20.9597265453478	8.98308898378723e-05	0.237052489420915
"CD5L"	1.55757852149536	5.81073884436238	20.154628111302	0.000114287472168336	0.268080313882861
"GEM"	-0.829699194135054	6.55135812058852	19.6076391712403	0.000134942092819462	0.284876252151167
"HP"	-1.67104328648627	7.33943503577043	18.9680790024071	0.00016431407372393	0.309917656768938
"STMN2"	-4.40344135529503	2.0334541855186	19.1914607892897	0.000176164647872069	0.309917656768938
"MGP"	-1.2165240467001	6.50511407818545	17.8446787813602	0.000233925561860227	0.342815013973608
"THY1"	-1.02083226539923	6.38294031698776	17.7150493320658	0.000243807945513909	0.342815013973608
"KIF26A"	0.9675729074833	6.33037071219212	17.3424007793155	0.000274805997038764	0.342815013973608
"HTRA1"	-0.897238967887031	6.22829712299168	17.222220643134	0.00028568766904111	0.342815013973608
"SMOC2"	-1.32559185757259	3.97464952801124	17.1676673990072	0.000290779471773896	0.342815013973608
"EPOR"	1.04933142818385	6.35082772271331	17.1516133309173	0.000292296445053524	0.342815013973608
"SFRP2"	-2.07955577227463	4.42429069016043	16.7006907279413	0.000338584954168514	0.354537769435467
"CLCF1"	-1.03125254562584	4.32230648414513	16.4781537795425	0.000364287014686427	0.354537769435467
"PRSS23"	-0.973460052359038	5.51433552638647	16.4519518505841	0.000367448833977156	0.354537769435467
"CNTNAP2"	-1.54310259521633	4.33459259207645	16.4353489235101	0.000369467620083382	0.354537769435467
"MYL4"	1.57948389182853	5.27626673055221	15.9916534289388	0.000428096581023133	0.392936822694754
"PF4"	1.4170992970251	6.54706839248676	15.2554473853647	0.000548671237543656	0.452447223488272
"COL5A2"	-0.972715648569979	8.07146435641243	15.2500745942561	0.000549675495100232	0.452447223488272
"DHCR24"	-0.900209938979016	6.37573559035928	15.1392107196827	0.000570846113491114	0.452447223488272
"FKBP10"	-0.940522202992972	5.8692892276598	15.0671807429875	0.000585070966578367	0.452447223488272
"ABI3BP"	-1.56185912735451	3.18111090973753	14.8937075249734	0.000620921964762498	0.452447223488272
"CRTAC1"	-1.41181161983079	4.97986416064125	14.8000629679047	0.000641253482848624	0.452447223488272
"GPC6"	-1.05236490895119	4.45595257231791	14.7824836886794	0.000645149588988976	0.452447223488272
"H2BC15"	1.07510839921751	6.56310067388562	14.6973317062763	0.000664386524946068	0.452447223488272
"C6"	-2.05938212750817	3.14001567990616	14.4792762675927	0.000750175648310776	0.470074866999803
"HAGH"	0.686937186039823	6.31036903731225	14.2714044205149	0.000770356666655461	0.470074866999803
"RHAG"	1.17163625988306	4.64153802940912	14.1851030159161	0.00079397305138596	0.470074866999803
"COL27A1"	-0.889230546948302	4.96882276759968	14.1686301394033	0.000798568973337013	0.470074866999803
"SAMD5"	-4.07589334143476	0.469985032722401	14.2079573762536	0.000823640661848067	0.470074866999803
"COL3A1"	-1.34202293213805	11.4462313013697	14.0739131800769	0.000825557959778765	0.470074866999803
"CILP"	-1.18472169539157	5.8297428434438	13.9956148272048	0.000848611678930869	0.470074866999803
"KIF22"	0.756676515849107	6.51617134360929	13.6781349505062	0.000949461099608207	0.470074866999803
"NID2"	-0.838662833802618	5.66246808188424	13.6618572233556	0.000954969009197344	0.470074866999803
"KIAA1755"	-1.25217442288028	3.72428927649979	13.5380898819641	0.000997993294321526	0.470074866999803
"TLCD4"	0.824910799168417	5.06461059529691	13.4591738593714	0.00102651531786475	0.470074866999803
"ACSS1"	0.68921513299132	5.95284459428826	13.4495710739444	0.00103004557026773	0.470074866999803
"EDIL3"	-1.25096778659814	3.745906309241	13.4224473560323	0.00104008796521087	0.470074866999803
"GNAZ"	1.3086271218889	4.15465582750732	13.4162103988068	0.00104241207090104	0.470074866999803
