"X108_Hip_non.sclerotic_adipocyte","X125_Hip_non.sclerotic_adipocyte","X126_Hip_non.sclerotic_adipocyte","X129_Hip_non.sclerotic_adipocyte","X143_Hip_non.sclerotic_adipocyte","X145_Hip_non.sclerotic_adipocyte","X146_Hip_non.sclerotic_adipocyte","X152_Hip_non.sclerotic_adipocyte","X153_Hip_non.sclerotic_adipocyte","X154_Hip_non.sclerotic_adipocyte","X157_Hip_non.sclerotic_adipocyte","X158_Hip_non.sclerotic_adipocyte","X108_Hip_sclerotic_adipocyte","X125_Hip_sclerotic_adipocyte","X126_Hip_sclerotic_adipocyte","X129_Hip_sclerotic_adipocyte","X143_Hip_sclerotic_adipocyte","X145_Hip_sclerotic_adipocyte","X146_Hip_sclerotic_adipocyte","X150_Hip_sclerotic_adipocyte","X152_Hip_sclerotic_adipocyte","X153_Hip_sclerotic_adipocyte","X154_Hip_sclerotic_adipocyte","X157_Hip_sclerotic_adipocyte","X158_Hip_sclerotic_adipocyte","genes","colSums_HNSA","colSums_HSA"
30,35,0,0,10,30,38,1,33,19,67,11,32,12,20,16,8,8,51,65,23,38,0,7,74,"TSPAN6",274,354
5,0,2,0,0,4,4,0,2,0,1,0,8,1,1,2,1,0,0,0,0,0,0,9,0,"TNMD",18,22
67,91,52,18,18,112,119,115,124,40,160,3,101,51,19,42,81,43,174,85,119,148,12,56,94,"DPM1",919,1025
30,13,22,8,9,86,35,26,49,20,71,10,2,20,11,8,8,1,50,27,89,54,10,31,56,"SCYL3",379,367
6,25,0,14,0,4,41,19,24,9,67,0,8,16,0,6,9,6,40,6,55,37,3,3,15,"C1orf112",209,204
461,1005,454,1322,312,91,1490,3955,1754,746,3384,54,525,5794,100,2356,242,58,3272,204,6492,1254,265,688,229,"FGR",15028,21479
30,10,9,0,0,13,12,0,18,4,67,0,40,21,0,0,6,25,22,17,9,45,0,0,17,"CFH",163,202
79,114,105,28,37,122,223,159,257,47,324,1,53,201,57,101,57,61,179,110,336,170,21,56,97,"FUCA2",1496,1499
196,428,109,162,73,315,624,948,881,342,1917,96,270,587,37,335,88,47,1154,205,2162,601,140,234,254,"GCLC",6091,6114
163,269,192,87,39,287,506,696,498,207,693,8,283,510,122,214,165,120,824,204,1006,489,105,202,258,"NFYA",3645,4502
59,27,11,14,14,115,47,41,96,4,81,0,70,49,8,0,9,36,52,20,84,57,1,17,84,"STPG1",509,487
39,130,60,59,27,186,238,367,375,163,376,16,136,133,28,76,53,27,293,70,580,237,65,50,66,"NIPAL3",2036,1814
316,445,194,183,53,481,425,533,579,304,812,80,344,468,140,314,117,150,619,265,1115,662,91,175,296,"LAS1L",4405,4756
16,6,28,0,23,36,48,42,60,13,52,0,17,16,8,12,4,2,61,50,105,60,0,36,2,"ENPP4",324,373
280,184,54,30,28,258,204,71,284,198,303,92,309,160,19,88,73,68,310,137,82,317,23,105,228,"SEMA3F",1986,1919
140,209,111,67,31,331,242,112,308,153,366,22,146,230,72,124,64,99,407,200,395,273,32,110,256,"ANKIB1",2092,2408
51,82,33,21,0,50,68,37,130,11,85,18,99,112,51,44,38,28,118,62,100,113,4,23,145,"CYP51A1",586,937
53,64,50,33,9,110,130,107,91,54,169,13,58,162,48,82,27,22,112,116,206,68,20,48,78,"KRIT1",883,1047
37,100,38,71,15,89,135,112,103,41,208,17,70,56,38,111,59,19,131,99,145,130,8,18,53,"RAD52",966,937
0,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,8,2,0,6,0,3,0,0,7,"MYH16",10,26
176,178,177,78,35,448,241,338,654,194,501,41,184,386,168,195,169,131,448,415,427,454,47,129,107,"BAD",3061,3260
286,379,440,145,60,402,422,298,628,314,677,28,342,598,179,415,148,222,515,468,523,519,111,256,535,"LAP3",4079,4831
1194,1410,1228,236,173,2117,1509,600,2310,841,2110,486,1317,1829,792,1527,950,705,1729,2212,1124,2213,323,655,1733,"CD99",14214,17109
40,50,102,19,6,50,66,39,79,13,18,0,62,113,70,67,48,7,88,61,82,46,5,24,23,"HS3ST1",482,696
0,0,3,0,27,5,0,25,84,41,51,0,0,50,0,2,7,3,45,6,78,18,13,7,1,"AOC1",236,230
0,0,0,2,0,0,20,10,0,1,0,0,11,4,0,0,8,0,0,8,2,9,0,0,9,"WNT16",33,51
58,1,7,11,0,27,23,0,12,6,18,0,64,12,15,7,3,6,4,23,12,33,6,0,11,"HECW1",163,196
32,42,25,21,5,50,50,131,64,81,134,47,32,99,24,101,15,7,154,70,167,86,7,8,43,"MAD1L1",682,813
985,1604,1470,939,313,2671,2715,3284,3375,1693,3849,258,1331,3028,854,2306,943,754,4032,2309,5116,3254,561,1242,1456,"LASP1",23156,27186
40,97,136,39,29,118,159,290,280,151,280,9,81,140,35,121,91,54,208,152,421,109,51,72,65,"SNX11",1628,1600
79,195,489,52,30,116,462,79,753,147,833,26,124,212,61,162,485,180,598,538,165,558,30,248,524,"TMEM176A",3261,3885
192,310,358,98,33,364,459,745,754,218,1085,23,294,665,109,293,191,127,833,332,1108,723,94,242,281,"M6PR",4639,5292
0,12,2,0,0,12,7,5,28,16,43,0,0,10,3,9,0,0,11,18,8,34,0,5,4,"KLHL13",125,102
222,72,66,58,14,249,34,14,50,49,219,58,423,101,69,43,157,54,93,420,13,78,20,76,182,"CYP26B1",1105,1729
59,55,34,11,17,147,112,121,149,45,161,4,11,79,26,28,30,28,114,61,209,61,1,78,40,"ICA1",915,766
9,4,0,21,0,29,54,15,11,2,10,0,12,16,0,0,0,9,17,25,24,20,1,0,3,"DBNDD1",155,127
60,202,92,69,39,207,188,203,213,80,382,8,120,156,61,75,96,57,271,135,382,211,29,53,137,"ALS2",1743,1783
54,110,95,69,63,132,359,434,298,151,405,6,51,125,12,42,61,33,377,139,537,376,66,73,73,"CASP10",2176,1965
1926,2055,2494,1440,282,2164,2482,2631,2592,1758,4876,484,2486,5177,657,4028,841,507,4066,1781,4767,3273,757,1294,1619,"CFLAR",25184,31253
373,167,100,24,15,130,311,73,210,91,393,2,473,187,26,74,84,31,319,86,142,279,18,94,233,"TFPI",1889,2046
9,61,21,9,8,72,48,45,40,61,70,0,32,70,3,21,32,15,77,43,111,31,5,16,13,"NDUFAF7",444,469
406,616,364,237,121,592,961,1081,850,513,1818,118,599,932,170,577,221,298,1358,498,1830,942,278,285,431,"RBM5",7677,8419
355,82,52,12,17,306,292,44,225,135,404,28,418,113,77,57,155,181,360,215,88,327,19,176,283,"SLC7A2",1952,2469
212,288,216,141,64,490,512,798,700,250,959,46,176,560,99,378,198,218,778,424,1174,597,94,218,282,"ARF5",4676,5196
82,137,67,81,44,265,279,248,258,105,302,69,91,147,89,97,143,63,255,171,533,291,42,104,104,"SARM1",1937,2130
243,370,244,125,33,695,515,642,717,306,786,79,250,517,167,230,218,155,620,411,835,445,76,175,285,"POLDIP2",4755,4384
3376,4477,6280,1733,920,8151,8038,3246,7727,5375,9998,1698,3516,7977,2035,5954,3445,2381,8288,8644,4722,10122,1753,3761,5541,"PLXND1",61019,68139
250,183,193,69,86,412,346,561,771,164,702,18,368,467,131,173,135,129,634,422,986,537,47,172,223,"AK2",3755,4424
5,44,74,44,9,17,183,483,309,67,330,21,38,97,4,75,13,18,508,34,689,177,49,63,40,"CD38",1586,1805
416,700,334,172,106,364,363,758,492,268,938,40,509,743,144,304,192,160,923,294,1146,530,185,212,394,"FKBP4",4951,5736
211,313,195,105,19,344,327,506,562,188,729,29,217,417,103,233,185,148,606,357,885,487,110,170,235,"KDM1A",3528,4153
333,528,178,270,69,577,628,725,627,329,989,31,379,636,149,358,227,206,984,406,1218,768,142,152,276,"RBM6",5284,5901
49,99,24,70,24,70,134,221,147,106,222,35,47,198,40,96,41,52,232,54,232,106,22,43,92,"CAMKK1",1201,1255
52,111,45,40,27,108,122,91,96,17,126,12,46,75,13,52,33,78,104,63,131,169,3,39,38,"RECQL",847,844
0,24,4,8,0,34,38,28,43,1,36,0,4,0,3,17,0,22,35,13,78,61,4,19,15,"VPS50",216,271
437,176,148,65,13,649,264,47,206,173,347,84,491,406,135,49,80,88,187,382,34,568,72,212,167,"HSPB6",2609,2871
50,245,35,196,62,101,321,632,226,178,795,65,71,221,5,74,114,46,494,72,1103,366,57,75,68,"ARHGAP33",2906,2766
94,135,67,39,64,328,208,215,304,63,219,1,180,138,99,150,117,90,296,222,306,274,5,66,160,"NDUFAB1",1737,2103
713,2374,1451,871,250,1981,452,746,4171,1653,1767,75,757,2803,471,2128,565,298,537,1149,893,3084,379,634,1250,"PDK4",16504,14948
38,136,14,44,13,0,130,293,250,49,429,22,9,153,0,21,0,0,280,2,512,102,8,68,16,"SLC22A16",1418,1171
12,9,0,17,0,36,17,5,6,12,31,0,2,0,0,0,0,11,14,9,9,0,2,0,12,"ZMYND10",145,59
83,88,74,21,32,115,134,157,130,32,211,0,103,154,23,70,47,39,159,115,173,122,7,68,78,"SLC25A13",1077,1158
22,49,46,6,7,43,56,124,75,47,129,3,59,54,4,17,32,3,107,56,191,62,8,21,46,"ST7",607,660
38,222,8,41,43,54,179,217,260,63,468,9,78,129,42,9,32,7,415,40,519,231,4,91,70,"CDC27",1602,1667
1249,21550,463,6905,2115,309,17977,71962,28798,14622,62424,2264,1855,18867,164,1375,216,126,39923,235,112802,15802,7842,6129,1339,"SLC4A1",230638,206675
6,0,2,0,0,0,19,0,6,0,4,0,0,0,0,2,0,0,14,3,0,2,0,0,0,"CALCR",37,21
56,130,54,24,23,90,80,135,192,40,218,24,52,145,20,63,37,16,136,79,273,100,13,27,60,"HCCS",1066,1021
223,255,191,165,20,406,539,545,494,171,723,63,191,466,143,227,227,183,654,423,671,491,53,199,314,"DVL2",3795,4242
986,1474,845,556,293,1651,1764,2183,2249,1201,3495,411,1190,1835,402,1071,574,517,2716,1336,3532,2262,423,645,1022,"UPF1",17108,17525
42,148,72,31,39,93,186,206,253,59,290,9,53,227,23,90,20,29,382,90,385,192,31,81,91,"SKAP2",1428,1694
545,798,466,259,115,930,765,1739,1628,475,2210,55,797,1280,437,928,309,287,1593,699,2348,1103,198,390,591,"SLC25A5",9985,10960
43,49,88,16,7,10,128,112,238,53,223,4,89,85,25,45,55,21,131,106,224,88,38,48,63,"MCUB",971,1018
34,13,29,2,15,51,57,0,94,15,34,19,16,23,45,89,19,28,46,122,14,63,3,13,57,"HOXA11",363,538
131,171,111,54,32,301,198,282,518,94,443,10,143,236,103,149,104,58,446,191,508,321,43,130,156,"POLR2J",2345,2588
173,128,75,43,10,152,159,252,284,93,301,18,220,84,29,139,97,70,295,129,487,187,21,83,164,"DHX33",1688,2005
37,12,27,3,0,117,46,0,37,59,58,3,26,35,7,8,1,10,41,52,7,24,6,16,56,"MEOX1",399,289
