"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"COL3A1"	-2.10466412798683	12.1518821026615	67.8920846014193	2.9419342889715e-10	6.44930834828333e-06
"COL6A3"	-1.60635639758858	9.67278171759974	40.5307092581709	1.26317008562947e-07	0.00138456073085846
"COL5A1"	-1.27629790786475	9.66584019308219	36.6325568057488	3.5450018816166e-07	0.00195126075125711
"AEBP1"	-1.32457837835388	8.46706458363531	35.9846945496849	4.23028221364508e-07	0.00195126075125711
"IGFBP4"	-1.27358544269254	9.5464172198226	35.7997399744796	4.45046243786404e-07	0.00195126075125711
"COL11A1"	-1.86416572556703	6.24668218991438	35.0103906614822	5.53450185766165e-07	0.00202212249539431
"COL6A1"	-0.97470695687185	10.2953313370889	31.7192171951646	1.41016398308075e-06	0.00441623069101373
"SMOC2"	-1.31367136748627	4.83987686337414	30.4150381494978	2.06834412182009e-06	0.00546814263154864
"ATP8B2"	-0.874679996638148	5.61169484603971	29.9655865210223	2.36428005899449e-06	0.00546814263154864
"COL5A2"	-1.06776647320862	8.83327443091719	29.7612309821231	2.51324054250674e-06	0.00546814263154864
"COL10A1"	-2.37333208895839	3.97901524158758	29.4687632822917	2.74379933158631e-06	0.00546814263154864
"COL16A1"	-1.26905811092803	7.51209568832784	28.5994858315665	3.56984676687299e-06	0.00604848371940551
"SCUBE3"	-1.93101764373042	4.90539889381112	28.5839229606257	3.58682092657018e-06	0.00604848371940551
"CERCAM"	-0.931326003398007	6.2132195644348	28.0401582214056	4.23643294885621e-06	0.00663364879320184
"APCDD1L"	-2.28558864887512	2.72806185488912	27.723216437846	4.67107792323641e-06	0.00682662468221258
"COL6A2"	-0.930401565902835	10.7125988361775	27.3242419263501	5.28580199082089e-06	0.00724220945267347
"FNDC1"	-1.77683820979102	6.49254353057844	27.0757880620211	5.71107140464815e-06	0.00736459454898217
"COL1A2"	-1.42087742175041	12.6077096577385	26.8848433291383	6.0622645527976e-06	0.00738316464035716
"MMP2"	-1.13725379815165	8.33287268072563	26.518969757164	6.8000933216211e-06	0.00784587609455672
"BGN"	-0.904515073336946	9.31264352568175	26.295955932678	7.2956038507059e-06	0.00799671138075874
"DKK3"	-1.36093952956013	4.14867958458975	25.0793582290153	1.07557886559935e-05	0.0107305814691339
"MAP3K12"	-0.838807835547108	4.76566445922173	25.052243034964	1.08501966141848e-05	0.0107305814691339
"DCN"	-0.875016425417374	5.86504376081729	24.9378285718629	1.1258250788709e-05	0.0107305814691339
"ADAMTS14"	-1.51987453249812	3.31508444889351	23.7587482900711	1.65377904136721e-05	0.0142324237809712
"KLF14"	4.72664275900879	-0.0237823962924644	23.7298466368667	1.66960031101599e-05	0.0142324237809712
"THY1"	-1.2930635382489	6.60222586854602	23.6965975042213	1.68799844131581e-05	0.0142324237809712
"ITGA11"	-1.17034431651871	5.00570148489686	22.9465866949988	2.16495123488676e-05	0.0175778003596991
"FN1"	-1.21055803691816	11.5452254997751	22.5965994015316	2.43419744250589e-05	0.0190580272623622
"CCDC177"	4.92973129264512	0.204658922469218	22.4073556836008	2.59424108549075e-05	0.019610673474527
"CILP2"	-1.62089730099389	5.74283167807189	22.1711520921525	2.80966446580806e-05	0.0205311548064814
"SUGCT-AS1"	-4.45700152251162	-0.478082134316439	21.8962895227928	3.08424064769859e-05	0.0218105559609189
"ENSG00000234405"	-4.06234426469858	-0.602220561541564	21.080225133609	4.07879686732541e-05	0.0279423077892212
"BPIFB4"	-3.2036655486599	1.15525622259616	20.7989191206161	4.49555618672303e-05	0.0288126632838291
