"X102_tibia_non.sclerotic_pellet","X104_tibia_non.sclerotic_pellet","X109_tibia_non.sclerotic_pellet","X128_tibia_non.sclerotic_pellet","X130_Tibia_non.sclerotic_pellet","X144_Tibia_non.sclerotic_pellet","X148_Tibia_non.sclerotic_pellet","X149_Tibia_non.sclerotic_pellet","X151_Tibia_non.sclerotic_pellet","X155_Tibia_non.sclerotic_pellet","X156_Tibia_non.sclerotic_pellet","X159_Tibia_non.sclerotic_pellet","X160_Tibia_non.sclerotic_pellet","X161_Tibia_non.sclerotic_pellet","X163_Tibia_non.sclerotic_pellet","X164_tibia_non.sclerotic_pellet","X99_Tibia_non.sclerotic_pellet","X102_tibia_sclerotic_pellet","X109_tibia_sclerotic_pellet","X128_tibia_sclerotic_pellet","X130_Tibia_sclerotic_pellet","X144_Tibia_sclerotic_pellet","X149_Tibia_sclerotic_pellet","X151_Tibia_sclerotic_pellet","X155_Tibia_sclerotic_pellet","X156_Tibia_sclerotic_pellet","X159_Tibia_sclerotic_pellet","X160_Tibia_sclerotic_pellet","X161_Tibia_sclerotic_pellet","X164_tibia_sclerotic_pellet","X99_Tibia_sclerotic_pellet","genes","colSums_TNSP","colSums_TSP"
3,17,0,75,4,26,17,15,42,29,26,66,11,24,3,65,31,28,33,6,9,22,7,30,5,16,27,33,75,25,7,"TSPAN6",454,323
177,57,0,153,159,218,356,20,48,45,12,150,49,10,25,54,84,42,33,23,19,45,0,3,16,22,40,100,48,40,30,"DPM1",1617,461
61,7,12,24,16,38,37,4,23,0,4,26,14,12,4,16,6,10,30,6,7,19,1,4,1,1,15,40,12,21,1,"SCYL3",304,168
71,9,0,6,23,37,75,0,4,3,1,6,11,0,0,6,0,0,0,0,0,4,0,0,0,1,1,6,6,0,0,"C1orf112",252,18
13362,379,65,1662,3327,3506,13368,244,182,473,49,743,88,103,135,210,385,623,336,143,57,167,64,20,115,84,143,450,280,187,92,"FGR",38281,2761
9,5,6,7,6,4,6,14,10,4,7,39,18,1,19,24,40,11,12,7,4,16,20,10,14,1,12,53,1,13,10,"CFH",219,184
138,19,6,113,98,184,200,12,53,25,25,206,38,36,10,62,60,58,83,35,2,17,8,0,7,10,119,101,112,105,0,"FUCA2",1285,657
578,53,14,288,505,486,2105,28,48,54,18,305,66,36,16,82,42,60,50,9,19,25,23,8,19,19,78,277,84,78,14,"GCLC",4724,763
681,124,2,349,305,381,1074,11,147,61,38,353,83,27,31,136,53,107,152,67,18,92,23,21,15,20,131,262,118,48,34,"NFYA",3856,1108
26,11,3,52,31,45,98,4,38,30,0,51,15,23,6,25,0,19,4,27,9,6,4,4,3,7,4,25,36,35,9,"STPG1",458,192
210,16,7,177,144,182,394,16,28,79,17,158,12,19,62,69,47,32,59,49,12,73,22,16,40,5,35,110,91,65,15,"NIPAL3",1637,624
595,231,5,517,320,475,1214,59,97,153,19,430,65,47,56,197,117,115,107,40,26,140,31,26,33,58,102,357,131,144,20,"LAS1L",4597,1330
155,10,0,85,48,79,63,4,28,2,0,61,32,0,11,9,11,14,16,6,3,12,0,3,2,1,17,19,24,9,2,"ENPP4",598,128
17,241,34,612,239,94,208,59,155,151,49,533,118,52,60,199,125,69,250,55,13,122,21,11,47,22,205,740,191,169,23,"SEMA3F",2946,1938
91,40,15,177,83,72,172,12,34,55,4,215,39,22,21,63,26,42,51,17,8,82,14,9,13,10,44,120,70,36,6,"ANKIB1",1141,522
77,41,0,74,62,51,164,15,22,41,6,198,50,23,27,54,68,25,42,18,0,33,29,0,15,19,79,134,77,103,18,"CYP51A1",973,592
129,53,4,176,81,135,369,27,30,39,10,129,32,6,12,44,5,29,79,16,2,39,11,0,1,4,43,88,62,52,21,"KRIT1",1281,447
146,24,4,113,90,131,290,19,34,22,0,127,23,13,17,18,14,6,66,7,9,18,4,0,3,22,54,90,59,21,4,"RAD52",1085,363
0,0,0,2,0,0,2,0,0,0,0,1,0,1,9,2,0,0,0,0,0,9,0,4,0,0,0,6,0,0,4,"MYH16",17,23
275,72,6,299,254,236,457,105,170,220,29,449,182,26,120,206,170,167,187,64,16,169,58,21,21,70,210,540,185,240,24,"BAD",3276,1972
192,108,6,397,268,276,451,38,177,81,8,607,81,23,84,241,66,46,114,82,14,71,7,14,54,61,125,452,117,181,43,"LAP3",3104,1381
926,480,72,2175,856,1299,1835,534,550,630,167,2781,515,147,677,886,598,597,1704,492,90,840,203,133,278,322,1773,2260,1219,1119,149,"CD99",15128,11179
18,47,9,306,67,47,110,14,57,57,1,278,104,12,23,70,25,58,187,64,11,32,28,22,36,18,90,300,80,169,18,"HS3ST1",1245,1113
55,2,0,18,16,9,12,3,0,0,9,15,9,0,1,6,0,14,2,1,0,0,0,0,2,8,4,0,0,0,0,"AOC1",155,31
1,0,0,15,13,3,0,11,0,0,6,52,7,5,63,161,44,41,2,51,12,5,0,7,11,3,27,12,57,212,30,"WNT16",381,470
8,16,3,16,5,13,2,26,8,16,0,17,25,4,3,5,12,8,20,8,1,9,0,5,4,6,30,16,26,31,6,"HECW1",179,170
256,19,11,132,131,179,376,11,43,46,1,124,28,1,15,10,50,59,45,10,10,38,0,0,19,16,18,53,22,43,15,"MAD1L1",1433,348
3770,551,87,2604,1744,2409,5811,345,803,782,168,3532,559,248,554,998,586,652,1463,256,96,1007,143,169,360,221,1299,2672,1180,997,173,"LASP1",25551,10688
79,13,0,93,51,144,178,12,34,13,1,96,7,9,17,37,22,11,34,13,2,34,2,1,4,13,32,48,38,18,0,"SNX11",806,250
39,43,13,198,51,235,96,62,94,55,19,297,139,44,70,91,61,21,209,28,6,139,7,23,58,74,53,877,194,91,18,"TMEM176A",1607,1798
512,85,4,259,310,399,738,15,113,83,17,263,52,28,50,117,55,69,116,43,8,80,10,9,28,13,86,257,122,121,30,"M6PR",3100,992
10,3,0,11,6,13,18,0,7,2,0,12,1,0,1,7,0,27,2,2,5,4,0,0,0,3,0,12,19,15,0,"KLHL13",91,89
32,351,14,196,97,157,154,139,124,102,23,445,89,45,137,299,186,135,220,79,35,312,33,23,83,25,217,483,443,417,56,"CYP26B1",2590,2561
159,25,11,141,104,99,235,48,46,30,11,103,22,11,0,37,21,27,24,19,4,32,20,2,8,13,26,124,39,17,2,"ICA1",1103,357
11,4,0,31,4,2,10,0,8,11,0,7,5,1,0,15,15,40,0,5,13,2,0,5,0,4,2,15,12,32,6,"DBNDD1",124,136
106,26,4,161,58,80,233,15,54,54,0,136,22,30,8,68,16,26,52,18,7,28,6,4,31,12,21,110,61,51,8,"ALS2",1071,435
291,17,24,266,194,244,628,18,36,53,4,170,19,4,12,89,19,18,22,12,5,49,0,6,3,5,29,129,31,39,7,"CASP10",2088,355
6163,1342,134,3824,3198,2840,8972,481,604,955,134,3109,495,229,253,748,744,616,843,345,114,477,204,182,326,222,541,2028,626,789,232,"CFLAR",34225,7545
37,279,1,286,111,69,108,27,124,46,20,241,50,38,21,124,61,20,83,20,16,59,1,18,32,18,43,282,80,84,10,"TFPI",1643,766
45,18,0,44,34,27,101,13,12,0,0,62,0,0,7,8,14,22,11,3,6,11,12,0,26,4,4,12,19,21,0,"NDUFAF7",385,151
1186,225,28,744,623,495,1829,91,126,178,36,611,100,37,53,164,155,153,202,52,35,181,15,12,69,42,183,490,243,152,37,"RBM5",6681,1866
0,1,0,1,3,0,2,0,0,3,1,0,2,0,0,0,3,1,3,4,0,0,0,0,0,0,0,0,19,10,6,"MTMR7",16,43
24,795,59,404,136,167,161,117,204,191,107,581,238,34,191,755,413,255,358,424,154,228,86,18,54,86,158,730,506,699,269,"SLC7A2",4577,4025
752,104,22,610,450,683,1228,115,226,215,26,696,177,44,82,300,134,137,353,94,33,250,36,36,61,67,300,525,347,254,52,"ARF5",5864,2545
270,64,39,300,181,255,491,103,81,108,18,406,55,26,76,230,94,68,159,80,8,178,9,19,31,53,132,247,153,157,29,"SARM1",2797,1323
546,102,4,268,347,408,1013,45,130,89,23,413,106,20,130,209,119,71,267,57,2,158,34,36,62,23,133,349,158,192,15,"POLDIP2",3972,1557
2274,1409,405,16442,3879,5068,7658,1695,4768,3840,675,14342,2620,1122,2278,6333,2359,1639,5548,1730,169,3034,490,603,945,578,4193,13265,4592,4349,683,"PLXND1",77167,41818
574,214,3,281,290,387,882,28,160,37,8,365,39,21,36,138,100,123,131,44,38,72,11,14,56,29,151,274,195,52,20,"AK2",3563,1210
565,18,0,200,604,276,914,6,21,13,1,104,18,7,24,15,15,40,8,26,16,59,0,5,4,13,14,35,37,55,5,"CD38",2801,317
936,372,21,901,777,465,3311,48,128,214,30,544,185,69,105,123,157,170,370,97,31,126,23,28,85,70,248,628,325,159,26,"FKBP4",8386,2386
