"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000249691"	-4.479778851364	-0.740603214590701	54.1870519356294	2.27753480356436e-10	5.76922341090887e-06
"SCUBE3"	-2.12031741178634	4.81411922398236	48.7666445042024	1.1451945708908e-09	1.45044618376174e-05
"ENSG00000286951"	-3.50079993614574	-0.870570593326645	46.7836513413692	2.10711665111618e-09	1.7791790629808e-05
"DUSP26"	4.20448480464274	-0.415161755119738	42.4930965833988	8.18106306298512e-09	4.6097534228682e-05
"ENSG00000260702"	-4.73549397562353	-0.625232896003676	42.1636673347112	9.09903561420434e-09	4.6097534228682e-05
"LHFPL3-AS1"	-4.18154330530283	-0.516523656500507	34.711028632773	1.10467667213922e-07	0.000458240080131227
"COL3A1"	-1.89780453665776	13.0161024143281	33.7733857791775	1.53225060231898e-07	0.000458240080131227
"BPIFB4"	-3.33508223863462	1.3089549352792	33.2075786053194	1.86952184559028e-07	0.000458240080131227
"THY1"	-1.42863951061406	7.02363005148536	33.1599256022146	1.9012101790718e-07	0.000458240080131227
"VCAN"	-1.24226964003059	7.53818511534942	33.0193381504977	1.99795810146995e-07	0.000458240080131227
"ENSG00000285672"	-4.17904052813802	-0.668254746915728	32.8451271987991	2.12491352997842e-07	0.000458240080131227
"SUGCT-AS1"	-3.89108342742352	-0.652596554113411	32.7847697446873	2.17081084898927e-07	0.000458240080131227
"MAP3K12"	-0.795719028012074	4.87585719125238	32.2266712888149	2.64673695284245e-07	0.000515726875018863
"KBTBD3"	3.47556372885962	-0.710733289463404	31.2266645003916	3.78633442131972e-07	0.000685083123046069
"RDH12"	-4.29446833236108	-0.786007837115451	36.6265035528463	4.55673306031763e-07	0.000769510701006039
"ENSG00000261482"	-5.13921057272677	-0.537458004086648	34.6192843986695	7.78255016775748e-07	0.00123212361437165
"RNF14P1"	-3.37474137629475	-0.841516848984708	28.5626155195184	1.00143976488717e-06	0.00149220415790334
"SNAP25-AS1"	-4.22613965364461	0.281634489585255	27.897372299749	1.28237915476349e-06	0.00165172469241435
"ENSG00000244062"	-3.62165962478932	-0.728377432960635	27.5870006107183	1.44009163382442e-06	0.00165172469241435
"KRT13"	4.17172933385017	0.381479046511278	27.5187358334935	1.47738204057469e-06	0.00165172469241435
"KCNIP1"	4.36794027672503	-0.444608184813268	30.7955056232767	1.48599635330795e-06	0.00165172469241435
"ENSG00000231977"	3.36400205623379	-0.733979554529812	27.3758660611671	1.55867876550442e-06	0.00165172469241435
"ENSG00000255741"	-2.939415126089	-0.887834401428503	27.0715235041616	1.74757932610393e-06	0.00165172469241435
"STMN2"	-3.17932606418149	1.01072784269805	27.0542094573348	1.75900990082455e-06	0.00165172469241435
"COL10A1"	-2.15050173921178	5.27877381301	26.9370455324031	1.83841115639229e-06	0.00165172469241435
"ENSG00000258736"	3.62878442236073	-0.583511339482679	26.8578021559378	1.89419820546855e-06	0.00165172469241435
"COL6A1"	-1.19202231325108	10.7718724050063	26.79854248358	1.93705397289591e-06	0.00165172469241435
"ENSG00000273058"	3.05849944351465	-0.322489065291409	26.7391777609823	1.98098747054904e-06	0.00165172469241435
"COL16A1"	-1.35638557356365	8.00507970906379	26.7305188648967	1.98748080031053e-06	0.00165172469241435
"MYO1A"	3.97213710784623	-0.546388074199467	29.8131494726449	2.00833341340018e-06	0.00165172469241435
"EMILIN1"	-0.925018726969774	7.969908862398	26.685787691516	2.02137560557597e-06	0.00165172469241435
"MIR5189"	3.53062456972115	-0.755476676857368	29.6521271094276	2.11083753547097e-06	0.00166811895099663
"APCDD1L"	-2.12867649864087	3.76717399031992	26.4945379212302	2.17314458106229e-06	0.00166811895099663
"ENSG00000229721"	3.25159211400779	-0.722572647968517	25.6904828320507	2.95136500293077e-06	0.00218917386727466
"FNDC1"	-1.62216376126243	7.17919894747519	25.5906225116662	3.06632330991267e-06	0.00218917386727466
"IGFBP2"	-1.17739399162854	5.94749411705202	25.494175690743	3.18173296738968e-06	0.00218917386727466
"ENSG00000250538"	-3.56649036150709	-0.94948430873431	29.5868400916852	3.19764056251875e-06	0.00218917386727466
"SAMD11"	-1.22584555481575	4.09669993904476	25.2137093950694	3.54344578154629e-06	0.0023620796076934
"FAM246C"	-4.03969281730066	-0.586412753835575	25.1113214131764	3.68582383231809e-06	0.00239242832309507
"COL11A1"	-1.79805023430389	7.55612455591403	25.0472765984729	3.77786636626279e-06	0.00239242832309507
"ENSG00000234471"	3.03503754196744	-0.883171016838175	24.9539713487506	3.91621799534501e-06	0.00241955409853864
"LRRC8D-DT"	3.32782071371034	-0.815456905500444	27.3436833371042	4.36555630622603e-06	0.00263295016173837
"LINC02465"	-3.55467748803814	-0.493399246738457	24.346338706051	4.95457016883282e-06	0.00291870271969079
"CNTNAP2"	-1.74577891648133	3.88156608395066	24.2325388876864	5.17863926614895e-06	0.00298136616479134
"COL5A1"	-1.34939000878247	10.4999742241598	24.1601190229735	5.32664382226391e-06	0.00299842699248371
"ENSG00000273855"	3.34641861838295	-0.477384978753738	24.1024793497305	5.44755270231496e-06	0.00299982516309435
"LINC01586"	-2.86510737677637	-0.866915753231747	24.0172345909377	5.63157403732217e-06	0.00303517876466825
"PRSS23"	-1.12695858901415	6.11283748787563	23.8547784656961	6.00021693621838e-06	0.00304631722533677
"ADAMTS14"	-1.42626527762769	4.11469430422782	23.8531704073743	6.00398765503532e-06	0.00304631722533677
"IGFBP4"	-1.01978893569642	9.62235309089924	23.8493218387521	6.01302203887878e-06	0.00304631722533677
"LINC01736"	3.20635536198026	-0.678508784904471	23.4631243933622	6.9947518831363e-06	0.00342444401650523
"COL6A3"	-1.50816774569127	10.6419811310228	23.3857703543597	7.21047620273326e-06	0.00342444401650523
"COL7A1"	-1.60735608591032	5.67816208169538	23.3264745463004	7.38047378635936e-06	0.00342444401650523
"ENSG00000283258"	-4.00635223302559	-0.376101659475614	23.3158237158013	7.41144393536222e-06	0.00342444401650523
"ACSM3"	3.56138223979918	0.959604981639826	23.1815891214748	7.8134470432459e-06	0.00342444401650523
"MDK"	-0.873544004399514	6.35140878785039	23.1251778295024	7.98902904803118e-06	0.00342444401650523
"SHISA5P2"	2.99035102859904	-0.866470916794116	23.1046280514741	8.05399679741079e-06	0.00342444401650523
"ENSG00000284952"	3.18056757622622	-0.841268344185835	25.2787749195197	8.54545360646911e-06	0.00342444401650523
"ENSG00000227698"	-3.26051927953091	-0.827112810644434	22.9294565110661	8.63038813291274e-06	0.00342444401650523
"ALPL"	-1.14715932474332	7.51349711053477	22.914349073542	8.68204884702176e-06	0.00342444401650523
"RN7SL20P"	3.20999322603425	-0.862589779890533	25.1970514946138	8.77953549997285e-06	0.00342444401650523
"OLFM2"	-1.05050043184081	4.67829289047189	22.8758918225038	8.81499850472059e-06	0.00342444401650523
"CSF3"	3.04441545272404	6.99431116235176	22.8582156607055	8.87680834682482e-06	0.00342444401650523
"ENSG00000286864"	5.04495906946015	-0.381123733300403	25.1472975070311	8.92532662126385e-06	0.00342444401650523
"DAPK1"	0.616931903472608	6.19491537073111	22.8128938834235	9.03733804483097e-06	0.00342444401650523
"TUBBP5"	3.45612566855589	-0.58359853386296	22.7997825016952	9.08433422642782e-06	0.00342444401650523
"NUTM2B"	-3.45215428386426	-0.329824544401961	22.7795024861845	9.15752211046072e-06	0.00342444401650523
"ENSG00000265477"	-3.32422765556745	-0.685438168083945	22.7697934952646	9.19277537887787e-06	0.00342444401650523
"ENSG00000273162"	3.06270571671147	-0.379089884289124	22.6227185402431	9.74424457836036e-06	0.0035772675277456
"ENSG00000231863"	-3.57820848179761	-0.310575958262621	22.4419679379951	1.04689879016915e-05	0.00378842760768211
"COL12A1"	-1.31940471693281	7.72352401121808	22.2691868354384	1.12137652813626e-05	0.00395786040533147
"PROM1"	3.77410523936651	-0.608296753962725	24.4401114430898	1.12952210676013e-05	0.00395786040533147
"ENSG00000287326"	-3.06447807182908	-0.688254210572633	22.2265231094953	1.14059377675259e-05	0.00395786040533147
"RPS10P21"	4.03341954845019	-0.677410939851019	24.3376587186415	1.16897702970976e-05	0.0039642779757711
"ENSG00000287913"	3.52677250842813	-0.720616648365148	24.3172576833006	1.17700442165775e-05	0.0039642779757711
"COL6A2"	-1.08661846972536	11.2081461582536	22.0983098611817	1.20041425726794e-05	0.0039642779757711
"ENSG00000286415"	-3.54133886536512	-0.559850742050731	22.0716048823242	1.21327568304907e-05	0.0039642779757711
"LINC01150"	3.30117806621364	-0.211361844355979	22.0563366764505	1.22069275634656e-05	0.0039642779757711
"CXCL1"	1.93305679969738	5.0359452492426	21.8941569131087	1.30242338546519e-05	0.00412970121511084
"ENSG00000227158"	3.21401764369853	-0.763828137792095	21.8906795565969	1.30423630022055e-05	0.00412970121511084
"ENSG00000235725"	-3.73261488940347	-0.591957756696026	21.8190159604516	1.34218280328065e-05	0.00419738673949411
"ENSG00000274977"	-3.64374182715063	-0.625164909737187	21.6694177163249	1.42510801833701e-05	0.00440236722103596
"ENSG00000226669"	-3.44692694929195	-0.749172630542541	21.5492900643895	1.4955110338853e-05	0.00456419156618657
"CKB"	-0.897531111886798	6.74223153500529	21.514501694714	1.51656168742218e-05	0.004573336202868
"ENSG00000226329"	-2.40516850138299	-0.944149354468095	21.42867651363	1.56981141266602e-05	0.00460559831320259
"SCG2"	-3.3190939066923	-0.444453094839455	21.3976826935538	1.58951181745995e-05	0.00460559831320259
"ENSG00000204876"	-3.30820701628849	-0.593982129931077	21.3859954170691	1.59700653884642e-05	0.00460559831320259
"FAM155A"	-1.71264332656345	2.1680929001946	21.3813637271625	1.59998678126338e-05	0.00460559831320259
"MATN3"	-1.83420371610583	3.57629227821192	21.3410529918306	1.62616788856351e-05	0.00462836615564071
"NR0B1"	-3.6015498214249	-0.593678772198046	21.2461766435085	1.6895458774126e-05	0.00475532073563763
"STC1"	1.87983091025547	4.1993625637909	21.1721131843579	1.74078725253372e-05	0.00477416617758663
"ATP6V1B1"	-3.27261943378518	-0.561563610601677	21.1622174641779	1.74775400856345e-05	0.00477416617758663
"ENSG00000283399"	3.42341640502063	-0.503554168999515	21.1280785045709	1.77200983476443e-05	0.00477416617758663
"HTRA3"	-1.07621639601612	5.63351011949084	21.1250590853336	1.77417177715738e-05	0.00477416617758663
"KMT5AP3"	3.1319387014627	-0.66224154881907	21.102407961601	1.79047722897134e-05	0.00477416617758663
"MIR593"	-2.46360075434106	-0.897372546302576	21.0547425741679	1.82529579209238e-05	0.00478164373013217
"COL5A2"	-1.22015462438351	9.58675991229073	21.0469760563729	1.83103486566982e-05	0.00478164373013217
"ZNF157"	2.85102043000915	-0.889488540724422	22.3908125922353	1.88928147701722e-05	0.00487709790066714
"ENSG00000254684"	3.32069706425108	-0.810837644367317	22.8498074997689	1.93702299060219e-05	0.00487709790066714
"ENSG00000261448"	3.17353461779608	-0.701624912506387	20.8983077774941	1.94455357269546e-05	0.00487709790066714
"CPXM1"	-1.69161266677635	5.29316256941732	20.8982475095691	1.94460103417702e-05	0.00487709790066714
"ENSG00000253174"	3.98418869933619	-0.74570399930568	22.6886260346813	2.04745520104907e-05	0.00508471448017392
