"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TMSB4X"	-3.3966350245526	8.21277832656482	509.413439951273	4.39600785852589e-34	1.01947818247074e-29
"B2M"	-3.2503145226809	8.10097111334383	372.608150682874	6.16829727423477e-30	7.15244910433892e-26
"RPS6"	-2.29984695290746	7.55918000113842	323.543130161485	3.97800116645675e-28	3.07512750170995e-24
"RPS24"	-2.79023499898797	5.77881889000983	296.320329664371	5.05557804161697e-27	2.69991258635856e-23
"RPS27A"	-3.52575557379788	5.27052037908042	293.468558873732	6.67046666314031e-27	2.69991258635856e-23
"RPS3A"	-4.92024133316497	6.40296924027796	361.824282769751	6.98524234321564e-27	2.69991258635856e-23
"SNORD3A"	-2.91879606495094	10.0241716981858	278.762745433256	2.88647806053563e-26	9.22210440264597e-23
"EEF1A1"	-1.76992312784668	10.0868187968915	277.80792732704	3.18127011431882e-26	9.22210440264597e-23
"RPL21"	-3.22539993123	5.28434730878279	250.972819974485	5.49058645862051e-25	1.41480211735409e-21
"SNORD17"	-3.68102688414498	8.71379676485381	262.513277855477	1.17630663248217e-23	2.7279727113894e-20
"RNU4-2"	6.87145985490043	7.5128095308198	283.980912776474	4.23528943762008e-23	8.33126011416724e-20
"HNRNPA1"	-1.86119925169419	6.98253940843019	213.832492463367	4.31094482212957e-23	8.33126011416724e-20
"SNORA3B"	-5.0674850332536	6.8425844900119	266.621546088036	9.50459636974416e-23	1.69554688008259e-19
"RPS15A"	-3.00919315817741	5.65346153097056	208.504308641034	3.52060646088482e-22	5.8318846024557e-19
"SRGN"	-6.54390488549697	7.91117903535757	240.966604208689	1.79142597480405e-21	2.76966398544537e-18
"RPL23"	-1.58106577817955	7.65850121502822	183.768050406625	2.29330701217448e-21	3.32400518245865e-18
"TXN"	-4.91604439608901	2.99366324400732	182.073038814569	2.90930521290982e-21	3.96880571721127e-18
"RNU5B-1"	6.58665940579049	4.55565897516194	221.983824632357	5.29529045769906e-21	6.82239338913883e-18
"RNU4-1"	6.03560552566758	4.17069012801489	204.879070654283	1.17237059046238e-20	1.43097086123227e-17
"SNORA84"	-6.76702144526398	4.54374267086574	211.222488287494	1.39261060158846e-20	1.6148016230719e-17
"PRRG3"	4.96831765806764	8.15809008274211	209.389073623727	3.13855205976082e-20	3.46600765799587e-17
"RPL7"	-3.06469318969694	5.79443132594502	181.842832529097	4.1355851476902e-20	4.3594706890947e-17
"CD53"	-4.65689095388251	3.38969500281742	158.918602235451	8.90525371284511e-20	8.97920603715613e-17
"IGF2R"	3.75247308198522	11.6202532704846	191.147868130542	9.38827454973e-20	8.98998542425842e-17
"SCARNA11"	-6.35756455825518	6.22355524432758	200.382147932001	9.6912438276254e-20	8.98998542425842e-17
"SNORD88A"	5.06282684257199	5.60290100271644	188.086181808709	3.09638631132306e-19	2.76185749791896e-16
"SNORA74D"	-6.30287937900606	5.16124205553984	183.180926941986	5.74025442687877e-19	4.93045334865724e-16
"SNORA37"	3.14177838345016	7.86483447950784	170.352053494824	6.59240813358958e-19	5.46016203664557e-16
"RPN2"	-1.35342051468934	6.34020761007106	146.093605943773	6.90338473295566e-19	5.52056535661981e-16
"ENSG00000286171"	6.11109531143292	4.85628223145384	178.973582794956	8.97380020962687e-19	6.93704668871522e-16
"CNOT1"	-1.643593601439	5.59345183268057	143.769563791609	1.01367909348192e-18	7.58330059901265e-16
"SNORA65"	-5.27053820632953	6.24867921215486	178.043081980309	1.10407804939635e-18	8.00146063860961e-16
"TXNIP"	-1.67166783050047	8.01061579078318	140.911591357511	1.63526308892161e-18	1.12878259092563e-15
"RN7SL5P"	2.15030818228874	6.35280274647095	140.840774160562	1.65489233286497e-18	1.12878259092563e-15
