"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"SRPX2"	2.92944492886758	5.44026112101723	99.2712684445366	3.54691772170973e-11	7.99688069536676e-07
"PMP22"	1.99452163707954	6.07215167701091	67.8392848566745	1.43716531858896e-09	1.13876305312893e-05
"TIMP1"	1.58220444721842	8.2041145292827	67.5244504939366	1.51525288715816e-09	1.13876305312893e-05
"CSMD2"	3.14407050833866	4.07637776822019	61.0405328857656	4.68472629199855e-09	2.64054597448498e-05
"SMOC1"	2.53622241424355	6.78703970370123	78.6622069114217	1.05737849636028e-08	4.76793111578777e-05
"HMCN1"	4.06762463283402	4.52086131693498	72.9141796492221	1.66183596589155e-08	6.24462561449847e-05
"SLC39A14"	2.12834189992024	7.74667690485749	67.7774981762205	2.47369071160056e-08	7.96740439767802e-05
"ADAM12"	3.04187284592037	5.03162041565177	61.8708095547121	6.67240747914556e-08	0.00018804512378102
"GOLM1"	1.70445456492883	5.80685709422986	45.2908210872118	1.18357816647081e-07	0.00028502143282054
"FAM114A1"	2.19671133693298	4.99503944988836	47.4480774838763	1.26417738321893e-07	0.00028502143282054
"TRPV4"	2.35232520573376	5.57327834994726	52.66064506863	1.98160086500699e-07	0.000374039788574018
"ERRFI1"	1.75824890047085	5.81173716387126	44.9642128848938	1.99080877445588e-07	0.000374039788574018
"ANKH"	1.31329969050197	8.18989168628627	42.0477396831955	2.15695491406253e-07	0.000374082349941953
"NT5E"	2.26277927432294	4.99535469586589	46.2117065046571	2.78275134759379e-07	0.00044814222773464
"FXYD6"	1.38417077084071	5.95857136127747	40.1170004335486	3.36181032000179e-07	0.000478565335844953
"ANOS1"	2.91982719407449	3.64780306685083	40.4577568410936	3.54587585019425e-07	0.000478565335844953
"GDF6"	5.49728224229802	2.57410256666394	40.9957286139827	3.60844970698315e-07	0.000478565335844953
"RBP4"	2.08028345898521	4.61119277999466	39.4846203705991	3.89799486011209e-07	0.00048824551175604
"ADGRG2"	3.61797066645903	3.11544145597422	39.0958407423794	4.27208853932242e-07	0.000506939516881913
"TPPP3"	2.53997033101112	5.12928249188782	49.2868698718972	4.9147416575247e-07	0.000554038827052759
"SEMA3D"	3.99555308354712	2.92752511898009	37.0518931469397	6.97576663900386e-07	0.000748931593538005
"CD276"	2.1999488658436	6.09906386814916	49.5049354351806	7.68862273411138e-07	0.000787944037105796
"LRRC8E"	5.64253975807953	1.81286719153355	36.3814056064985	9.23783927008447e-07	0.00085226341058702
"ROBO1"	1.91784844943008	4.79873569613254	36.4562652825715	9.38044477515209e-07	0.00085226341058702
"PRRX1"	2.54318339060498	5.1135790180964	46.7235464288036	9.45027289305221e-07	0.00085226341058702
"CRLF1"	4.21029159846544	7.5993301208803	77.7684876214745	9.97848852523673e-07	0.000865288470346105
"SLC38A3"	3.43445833977981	3.19691165540403	34.8692088686148	1.19734588376682e-06	0.00099982815908914
"DSTN"	1.91915138308891	4.37103913290294	34.4478487838929	1.33172495812906e-06	0.00107232396092778
"IGFBP1"	5.36912454542438	1.94060407060418	34.8885807561713	1.6851851768374e-06	0.00127783056103277
"PTGES"	1.87285331323349	5.82540083758973	40.0041696653678	1.71460684149752e-06	0.00127783056103277
"MSMP"	4.53876069731385	3.00442563055116	34.6998058932473	1.76325810265207e-06	0.00127783056103277
"SORBS2"	2.13225800495367	4.06384923692835	33.2396653005408	1.81365111119704e-06	0.00127783056103277
"DNM1"	1.54215504547702	5.6130560228584	33.9924159346533	1.87965169401164e-06	0.00128420082100565
"TM4SF1"	1.21778970330731	6.13858592258023	32.5328098484611	2.17880915767588e-06	0.00144480680202825
"EFEMP1"	2.28223093388492	4.85631495475957	37.7237935920263	2.40011922552693e-06	0.00152044635636537
"CEMIP"	1.4499099123976	5.51170296448128	32.1196139639612	2.42775076861321e-06	0.00152044635636537
"SDK2"	1.66173946071738	7.35346918332843	39.145043220238	2.52348633694693e-06	0.00152422552435237
"HHIPL1"	1.99835454198264	5.25080631193782	37.1040637175359	2.56899538389914e-06	0.00152422552435237
"MFGE8"	1.24154480008224	7.12660796697193	31.8950559798507	2.65996407094741e-06	0.00153773204983539
"KCNMA1"	1.44968075670098	5.32066106625004	31.4460872305791	2.90043244999543e-06	0.00163482875043993
"MT1M"	2.0338069155428	4.33264121961802	30.8858735885347	3.36797803992167e-06	0.00185205933873351
"TNFRSF12A"	1.54912782181729	5.01529176175101	30.7913306780014	3.45447238815327e-06	0.00185439367769771
"PFKP"	1.07603019760087	6.80150359550216	30.6410327520988	3.59686249664104e-06	0.00185508052178857
"MT2A"	1.41554182248263	8.91621567143341	35.3588720851381	3.62031149466412e-06	0.00185508052178857
"MYO10"	1.4372235632352	6.57220337054498	32.7630861984993	4.89537788529598e-06	0.00243342876303272
"CTHRC1"	3.17650116959017	3.75632563946427	33.5191046324926	4.96485953603766e-06	0.00243342876303272
"DLX4"	3.80361373884296	2.38501986066094	29.1746283696474	5.36279002817067e-06	0.00257254178670502
"MAGED1"	1.162636114047	6.96621367074445	28.845997410568	5.87293393346814e-06	0.0027585660096661
"FGFRL1"	1.17146612310663	6.52733125891466	28.404497859676	6.64082764904874e-06	0.00305559388113169
"DST"	1.43637284758539	6.71241991538688	31.6684406958456	7.3964281300584e-06	0.00327283932144858
"SNAI2"	1.84482705679886	4.23281661038276	28.0167582068177	7.40330015940201e-06	0.00327283932144858
"KLHL29"	1.87382341736493	4.76025202098269	29.5451783338515	7.60340135446992e-06	0.00329665936418998
"NEBL"	2.21813245343769	3.58566719276801	27.7735126771613	7.92865652434892e-06	0.00337282056599945
"ALAD"	-1.06740359661593	7.14375974083394	27.6772478858087	8.14737205577701e-06	0.00340167871054719
"MXRA7"	1.262954799943	5.35697037853071	27.4971409459253	8.57396335794179e-06	0.00351470141578465
"GPRC5A"	1.3194829191995	5.68690106047722	27.3104257796967	9.04611462038389e-06	0.00357650038203456
"RHD"	-1.52192575767313	5.08215977004469	27.5971987043877	9.05194122736413e-06	0.00357650038203456
"BCAT1"	1.61891061385479	4.61252982455808	27.2491264820411	9.2006130647567e-06	0.00357650038203456
"FN1"	3.59199111569704	14.6563710958392	54.9692736473086	9.58566316600134e-06	0.00362962501510573
"ADAMTS1"	1.10744327667443	7.81391093880905	27.1392028446793	9.65925223571115e-06	0.00362962501510573
"TRPS1"	1.22847336303416	6.05361996576521	26.7573395910405	1.07023867054032e-05	0.00395567230590196
"PRICKLE2"	1.69279888832311	5.36638851915373	30.222797615881	1.10390195099898e-05	0.00401428603019727
"CRISPLD2"	1.00019206085506	6.87466205082848	26.4711773184364	1.15022467728155e-05	0.00411634374190313
"PROCR"	1.85239815734646	3.9127296509277	26.3745122333288	1.18283733440254e-05	0.00416691414709994
"KIAA1755"	3.11175971791638	4.97484188569967	39.5338989783768	1.23312690358539e-05	0.00427724294895941
"OMD"	3.86216618752875	2.46054362908654	26.1485133086385	1.26297652202444e-05	0.00431440434326712
"ANK3"	1.44594278243461	4.83116082545713	25.9440726830051	1.34044592173169e-05	0.00447243956838218
"SULF2"	0.997197422449258	7.29078631749713	25.9130877265687	1.35262069579674e-05	0.00447243956838218
"PPP1R14C"	4.45389682076062	1.84839448384747	26.1248716840856	1.37335750171473e-05	0.00447243956838218
"SLC1A1"	4.72990911554098	1.85260561946084	25.823254499861	1.38858675501975e-05	0.00447243956838218
"ITPRIPL2"	1.18506883519441	6.04572723145445	25.7108483075069	1.43502631595735e-05	0.00455691596050344
"PTPRD"	1.38054678630832	4.96431057129073	25.5737289200082	1.49391938170038e-05	0.00467804255275234
"SGCD"	4.45923927937372	2.8120311549531	28.1407815523478	1.67798601334567e-05	0.00511764925910257
"TGFBI"	1.96242553010558	9.11861856402888	37.6817488413817	1.67970391720744e-05	0.00511764925910257
"MAGED2"	1.03872335547982	6.89174041992555	25.0848147173357	1.72569706781544e-05	0.00514554923463596
"SAMD4A"	1.37053597980597	6.47238849996604	27.9015311794184	1.74720808487379e-05	0.00514554923463596
"CRYAB"	1.29779572936988	5.59075889289688	25.1818668522123	1.77857768282405e-05	0.00514554923463596
"RCN3"	1.44046106737862	6.44283792449165	28.6938893063996	1.78015098155595e-05	0.00514554923463596
"DCHS1"	1.44355761969871	7.94050797462053	30.1668056065047	1.82702912945585e-05	0.0052125369687272
"EMP1"	1.14306223595359	7.83121271437858	25.9734152661999	1.84956514458519e-05	0.0052125369687272
"APCDD1L"	4.56319467897177	4.34468758680975	37.6608845532361	2.33187751185937e-05	0.00648520178608405
