"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"LRRC8E"	4.53829369950184	1.29816986211397	40.0411491473939	6.00292771229518e-08	0.00145486956035186
"COL6A3"	2.28312953235319	10.4465478221666	40.8913553276595	1.96487986528437e-07	0.0023810414207516
"CLCF1"	1.10774589854734	4.36984039390306	34.0967485523496	3.15493950581155e-07	0.00238610697685038
"IGFBP1"	5.42059294363047	0.966855707042588	34.7979405972954	3.93812011363323e-07	0.00238610697685038
"ALAD"	-0.791576753192543	7.16847109830515	31.8777361700184	6.39064189282739e-07	0.00285277551260183
"MAGED1"	0.906642646135275	6.73644350227756	31.5683704165881	7.06249095379229e-07	0.00285277551260183
"COL3A1"	2.4239403563705	12.7140705311638	34.3551315077554	1.03039754514887e-06	0.00337841823326277
"CEMIP"	1.08680078396212	5.31985238846272	29.8720066198052	1.23044114348374e-06	0.00337841823326277
"STMN2"	3.99758217570943	2.06906646132084	30.5876241900679	1.25457023020981e-06	0.00337841823326277
"TRPS1"	0.94941160866423	5.74032717584437	28.500661820357	1.94475236775243e-06	0.00398550727238605
"FN1"	3.3429365647112	13.7559597533956	31.5991065723123	2.16914161372223e-06	0.00398550727238605
"CRLF1"	4.27175380996991	6.66085960432802	31.4498500500698	2.2601402977256e-06	0.00398550727238605
"FGFRL1"	0.925904624547759	6.48588852186857	27.9663764087724	2.32967545875352e-06	0.00398550727238605
"COL6A2"	1.67374155409115	10.620354558797	31.0893080708218	2.41564492423872e-06	0.00398550727238605
"ECM1"	2.15046948816651	4.59870214860917	30.589274150086	2.56553920128391e-06	0.00398550727238605
"FKBP10"	1.85771218223192	6.83133302294084	30.7738348294908	2.63113204976798e-06	0.00398550727238605
"TIMP1"	1.31604538267116	7.77032371295504	29.5194929101681	3.2052893791795e-06	0.00414987441515649
"AEBP1"	1.65349685932277	8.76951374083163	29.9350679506734	3.30473786308574e-06	0.00414987441515649
"MGP"	2.22581636004706	7.46565249731375	30.0228369902868	3.35034277597794e-06	0.00414987441515649
"COL5A2"	1.91749617687854	9.13075922636658	29.8542874810324	3.47631445713765e-06	0.00414987441515649
"CERCAM"	1.2488816179236	6.42670638960841	28.5760874560637	3.65653456081686e-06	0.00414987441515649
"COL6A1"	1.6724981094201	10.2158578742434	29.5292623468404	3.76700928921615e-06	0.00414987441515649
"CSMD2"	2.76941751414609	3.23937609244585	28.4270221012437	4.04255620419263e-06	0.00425979965933967
"BLVRB"	-0.817795637740696	8.11510321872065	25.8636494054525	4.80286100533793e-06	0.00467580838584107
"COL5A1"	1.95478124711662	9.97039280674213	28.727309869145	4.82320554736866e-06	0.00467580838584107
"CHI3L2"	2.42041245445042	7.23310772958448	28.4692693264223	5.23383062057085e-06	0.00487873534308289
"AOC2"	1.25163746900199	4.10324386929544	25.4643113698663	5.52332221498341e-06	0.00493365149722695
"COL15A1"	1.47834910284818	8.18256155626094	27.9517704390467	5.69987794695307e-06	0.00493365149722695
"TNFRSF12A"	1.27800991848645	4.63861141990991	25.54949118725	6.35009305571222e-06	0.00530692604476695
"COL27A1"	1.82682324819163	5.82602421336017	27.2945201584883	7.07588975230369e-06	0.00571637546789441
"GDF6"	5.38849796348415	1.57246860175703	26.8320838270221	7.69426375799876e-06	0.00601542504641477
"GFPT2"	1.82643610176011	5.18632989178546	26.0991499277062	9.96972906295476e-06	0.00739041526507977
"RASL12"	1.54763046084066	3.19431609494177	23.7714328964697	1.00770475977339e-05	0.00739041526507977
"GLIS3"	1.42507993015146	5.7920039037839	25.6578738593306	1.04117503925117e-05	0.00739041526507977
"KIAA1755"	2.02684065580165	4.48709104677639	25.7863612275156	1.06727403151424e-05	0.00739041526507977
"FMOD"	2.46891067384952	9.38685391593553	25.6424366038578	1.20997722212099e-05	0.00805915080456036
"MXRA5"	1.48552033015685	7.64200699803582	25.4173334751173	1.23035393533889e-05	0.00805915080456036
"PLOD1"	0.776147353706542	6.71042503757085	23.1018221752125	1.28344760667469e-05	0.00818569373562308
"HAGH"	-0.674235542358403	6.17776933258708	22.8894370559866	1.38646796184596e-05	0.00861600962135861
"HTRA1"	2.6164482244092	9.11071142703241	24.987541607317	1.47779881426518e-05	0.00883444762760855
"HMCN1"	2.212654884985	3.9873198977519	24.5651697408553	1.5123911743689e-05	0.00883444762760855
"ENSG00000280073"	4.40488229204378	0.156774852208957	23.3758823321063	1.55282199597813e-05	0.00883444762760855
"HTRA3"	1.09914329563882	5.29235722568596	23.1678107888236	1.56742551570873e-05	0.00883444762760855
"RCN3"	0.967871968013564	6.12745043438864	22.9641624752833	1.63679827122487e-05	0.00901578247759228
"SLC38A3"	2.57628992876353	2.50527623226074	22.5528788207253	1.8817848712283e-05	0.0101348751420198
"PRRX1"	1.79137688465882	4.85280214569726	23.7505093280739	2.00769984222861e-05	0.0105779594296201
"PRELP"	2.2792765165834	9.34367683738737	23.600831651079	2.27254956203327e-05	0.0115045633038754
"CPXM1"	1.18879877393371	5.1358944106638	22.27929550718	2.27850733861206e-05	0.0115045633038754
"GEM"	1.16415564318931	6.49616100476275	22.8804153516865	2.37508267566035e-05	0.0116096186306751
"TOX3"	3.92976298884342	0.54000949212072	21.7700089178659	2.44161307453753e-05	0.0116096186306751
"MCM7"	-0.603900716008465	7.62637140983058	21.3512312073143	2.44302091997207e-05	0.0116096186306751
"PRDX2"	-0.701810855264311	8.34022283357818	21.2431401260299	2.54348253710113e-05	0.0117073324443973
"PAM"	0.82720648246803	6.05354449003769	21.2255913293627	2.56019400706823e-05	0.0117073324443973
"ENSG00000255301"	-3.65190843498902	-0.371425370525757	21.7325024004476	2.85532926929305e-05	0.0128151407723308
"UGDH"	1.03264833953398	4.59490446906151	20.8293219092664	2.96960124020572e-05	0.0129313935872592
"AHNAK2"	2.07155957311679	5.43161365859155	22.7100893556424	2.98794372374367e-05	0.0129313935872592
"TAL1"	-1.00446228979436	7.02810788051136	21.681862139947	3.15185854923049e-05	0.0131809507332271
"BMP1"	1.12434839394642	6.20648868143092	21.8677668302956	3.21855556462763e-05	0.0131809507332271
"SLC1A1"	3.01106983983249	1.45643475262395	20.6130602221864	3.22123581614386e-05	0.0131809507332271
"EDIL3"	1.87676933523155	4.5357435004256	22.2507693397028	3.26315004123463e-05	0.0131809507332271
"PRSS23"	1.70268460493561	5.8569474029727	21.8726292258331	3.87730937643381e-05	0.0152285953444988
"TNFRSF11B"	3.45784926565616	4.97921845135421	21.8328926751048	3.99946149888233e-05	0.0152285953444988
"APCDD1L"	3.10763875270008	3.76107988602212	21.72662573461	4.05098521216941e-05	0.0152285953444988
"SMOC2"	2.74275695991179	6.27368997492841	21.7752780953926	4.07561735929887e-05	0.0152285953444988
"FAM117A"	-0.734280899229131	7.20169073706858	19.9527539748998	4.13626943169642e-05	0.0152285953444988
"MYL4"	-1.45792886111605	5.24077282702277	21.3862782306789	4.14708405981566e-05	0.0152285953444988
"KIF26A"	-0.84969950585062	6.32290513356614	20.1625552383972	4.30878580331419e-05	0.0153940828830927
"H1-2"	-0.715497766862671	10.0522943504974	19.8864914261801	4.31918483268816e-05	0.0153940828830927
"TGFBI"	1.22933600019137	8.61160787990693	21.3569437957822	4.39728183433929e-05	0.0154452931213112
"SNED1"	1.14891215483629	7.43601331514987	21.1174481258663	4.52426956437198e-05	0.0155410787333272
"SLC39A14"	1.58181393453989	7.1421745790147	21.351688394225	4.62742656368096e-05	0.0155410787333272
"NDUFA4L2"	1.8676470974843	6.3336627986273	21.3241145254726	4.70124511469143e-05	0.0155410787333272
"MN1"	0.842672037765189	5.45696624972489	19.6025912634781	4.72766486710627e-05	0.0155410787333272
"ITGA11"	1.97878908023083	5.35180928710136	21.2767791560469	4.74517175386289e-05	0.0155410787333272
"CD109"	1.20488145885824	4.63902337461348	20.0351510405758	4.98004260463829e-05	0.0160928416754685
"ADAM12"	1.789759966206	4.8435843681426	20.8721147370639	5.24341421374026e-05	0.0167209719584485
"KAZALD1"	1.3465936441925	3.16053420440567	19.2816669656405	5.34711743939164e-05	0.0168302257481943
"CD276"	1.30647326704652	5.86658747781753	20.5959916871916	5.48196012664249e-05	0.016903586142796
"LRRC15"	1.66274086188075	6.24950528541637	20.8039869422868	5.5099162620931e-05	0.016903586142796
"BGN"	1.64982318450639	9.39248420116327	20.707509464997	5.75693106325253e-05	0.0174406226561236
"PKLR"	-1.48281616335016	5.2253136722088	20.3512511902755	5.99161270786241e-05	0.0179274969861424
"ABI3BP"	2.49493236309582	5.10385097754247	20.4811002710899	6.22936879747451e-05	0.0182286234426493
"DCN"	1.89951877350221	7.16037048563836	20.474701895996	6.24267926118128e-05	0.0182286234426493
"SMOC1"	1.43832229744718	6.35302736828448	20.3441990126851	6.3483038308416e-05	0.0183163680528901
"TANGO2"	-0.707503123347841	7.17511062451532	18.7414511101424	6.58793267930042e-05	0.0185732751583497
"TREM2"	2.6671075540477	2.54895200791035	19.2705959387158	6.59061587563161e-05	0.0185732751583497
"SGCD"	2.26038854572632	2.42736271236416	18.8198369594352	6.72130209213049e-05	0.018723847989066
"CREB3L1"	1.59601651200039	4.69882865851864	19.4272053718787	8.06228057395211e-05	0.0222042536352617
"SURF4"	0.459640130259719	7.37856537639781	17.9681522683654	8.90965660010449e-05	0.0242622963325992
"PCOLCE"	1.16148354630384	7.84695587518393	19.1532969399055	9.20880351433903e-05	0.0242741570978671
"ANGPTL7"	3.86252360178294	0.230980565054271	18.3601936444017	9.34556085223829e-05	0.0242741570978671
"COL1A2"	1.7789734444321	12.6380624601737	19.2703284444876	9.38107593054121e-05	0.0242741570978671
"SULF1"	1.3711836259776	5.47745399163671	19.0562446906472	9.45900074461833e-05	0.0242741570978671
"IGFBP6"	1.64073621579797	4.89119803763877	19.1322280488715	9.50208313556207e-05	0.0242741570978671
"C1QTNF8"	3.94252454933185	1.40277193350359	18.5531751313633	9.51495677627239e-05	0.0242741570978671
"EPOR"	-0.868358987039596	6.46178845107265	18.3037533090223	9.65351326550431e-05	0.0243710986982044
"SULF2"	0.98750852192223	6.84031229120427	18.6042627269988	9.88795266362768e-05	0.0246607386752252
"MRGPRF"	1.55592602385558	4.01749316245765	18.4478285321983	9.99460382247651e-05	0.0246607386752252
"SSC5D"	2.02045207092306	5.43110583537366	19.0551699687245	0.00010073498633633	0.0246607386752252
"KIF22"	-0.784763404930122	6.79807269375441	17.8487454202322	0.000104316056667352	0.0247935638139884
"SLC7A2"	1.62229469659923	5.77940703015452	18.9179653209768	0.000104730520862204	0.0247935638139884
"COL11A1"	2.29538716249711	7.47029892007996	18.9401393364251	0.000105147826628539	0.0247935638139884
"GALNT2"	0.453432469808811	6.99299682386282	17.5426434772606	0.000105369577192639	0.0247935638139884
"NT5E"	1.52344814202688	4.40686564129125	18.5087589280357	0.000107679935873862	0.0250095746430398
"LINC01839"	-3.32644163305423	-0.319697335691766	18.2568457762843	0.000109812549669209	0.0250095746430398
"CHST6"	2.82678856334348	4.41351858450134	18.7978631594039	0.00011025290454163	0.0250095746430398
"PPP1R14C"	3.70146777540049	1.04847805337248	17.4245310171077	0.000110415270127301	0.0250095746430398
"CRISPLD2"	0.618100102853585	6.74483342417183	17.2186274341899	0.000119822316207484	0.0268890153296721
"NGEF"	3.44398947277262	3.97079534346187	18.3845230448075	0.000127224452800006	0.0282881820005592
"IL11"	3.84249813056536	4.62772614742613	18.3073171846042	0.000130903351609253	0.0288415784509259
"PLOD2"	1.58461113328499	4.98290471656688	18.1878703164371	0.00013248043428084	0.0289260883354095
"ARSI"	3.5103172518678	1.65596747860975	17.1750427347506	0.000136479512054004	0.0295331915548289
"THY1"	1.50095987901522	6.5760735631642	18.0581240687499	0.00014144586991182	0.0303370097626802
"EML1"	1.77428226761377	4.02550973346465	17.7154112163979	0.00014776978993748	0.0313269508398435
"PF4"	-1.57913840105121	6.59622470185946	17.8982451889658	0.000149809657428395	0.0313269508398435
"THBS2"	1.61964480313508	6.74807221352591	17.8984235390939	0.00014993919365497	0.0313269508398435
"DLX4"	2.71328919165688	1.64363022730511	16.6213126345214	0.00015214009679197	0.0315151058619674
"ROBO1"	1.12820954060314	4.84116605311795	17.18792577703	0.000154149693687046	0.0315799579869069
"BHLHE40"	0.599046083181746	7.74789301880526	16.5701782867863	0.000155299656072893	0.0315799579869069
"ENSG00000227959"	-3.30614858398613	-0.936927696101337	17.7703876518381	0.000156362228025616	0.0315799579869069
"CTNNB1"	0.442829194110714	7.82714050468498	16.5021740431971	0.000159607920141862	0.0319690706822988
"FNDC1"	1.53180486046093	6.69972644256148	17.6676866287805	0.00016212993367529	0.0320341278721402
"FOXC2"	1.369571639977	4.61303012564972	17.3174395781101	0.000162576238994605	0.0320341278721402
"ADGRG2"	2.7279010919029	2.23366467365524	16.9804130854395	0.000165740900788013	0.0323943263830507
"TPBG"	1.31215418938617	4.22405035551021	16.8046635321389	0.000171016385669113	0.0326690464468492
"UROD"	-0.670069436550511	7.36039187263628	16.3259950187059	0.000171358883452965	0.0326690464468492
"CALU"	0.886103621817239	4.96821971880063	16.2918408700197	0.000176954098631419	0.0326690464468492
"CDK2AP1"	0.923516045347712	4.98663448010357	16.4258538127896	0.000177017224778239	0.0326690464468492
"PCSK1"	2.95384610371227	0.12151980796249	16.7321101185707	0.00017770827814244	0.0326690464468492
"ETV4"	3.59202864706802	-0.216024811255703	16.4051991026765	0.000179589618328725	0.0326690464468492
"COL12A1"	1.59058213962159	7.72991101447742	17.3771749507607	0.000180561994915184	0.0326690464468492
"LMNB1"	-0.900013358241557	5.3739832863465	16.4999326779229	0.000180736631296354	0.0326690464468492
"MFGE8"	0.870937209454435	6.69263721860496	16.794549034686	0.000181164036885125	0.0326690464468492
"SPTB"	-1.33145913682257	9.19185600247887	17.3374938498719	0.000181696101589351	0.0326690464468492
"C14orf132"	1.37265935070465	3.78564848270258	16.4682350916787	0.0001819739755044	0.0326690464468492
"PRRX2"	1.54067776629612	3.12410014701731	16.156147567603	0.000183543309612595	0.0327084974394916
"SERPINE1"	1.46398525907081	7.44418097824025	17.2617217358666	0.000187762200415581	0.0330300357777228
"POSTN"	2.73250306511428	2.60799963414157	16.7533657246716	0.000189325501178948	0.0330300357777228
"TFRC"	-0.707805067421142	6.86420703575629	16.1188362593971	0.000189436168225098	0.0330300357777228
"SPARC"	1.29309873192718	10.7718983755131	17.1972850992267	0.000191560136273686	0.0331617961623504
"ZFYVE21"	-0.529365750343088	5.47063708121447	16.027060923315	0.000193405957641375	0.0332438779389813
"GOLM1"	1.19912478192575	5.30464818555967	16.9040514868047	0.000196326962512925	0.0332786011382014
"NSD2"	-0.598846572273136	7.49019371587408	15.9790205969495	0.000197216121102421	0.0332786011382014
"CPXM2"	1.3075805446528	3.65951061238545	15.9825535624006	0.000197727288492367	0.0332786011382014
"MAGED2"	0.684572928850925	6.74189659624332	15.9399819757688	0.000200369959694507	0.0333177115540447
"KCNQ1OT1"	0.598491985694244	8.47695732037004	15.935822190244	0.000200709105747257	0.0333177115540447
"PLA2G2A"	2.91251771357586	5.87118036063634	17.066693858586	0.000202809491150488	0.0333618556684209
"ITGA5"	0.769408414666525	8.19499022419105	16.3275449235392	0.000203728116806664	0.0333618556684209
"PAPSS2"	1.55644630561993	5.23225671910542	16.9789773772754	0.000205835265119113	0.0334806945330659
"GAS1"	1.80625565429227	6.42607596412459	16.9770256097691	0.000208949016273215	0.0336359789525287
"TLCD4"	-1.16598537894857	4.91969085911851	16.5886589823722	0.000209565638794843	0.0336359789525287
"CHAF1A"	-0.871341399920298	5.33950845332806	15.9922840638791	0.000215153464543069	0.0342337586772981
"PIGQ"	-0.770946446367333	7.47052964449197	16.1248863715036	0.000216115079948284	0.0342337586772981
"CHPF"	1.1022388766799	6.29995110491098	16.6385632071453	0.000221484632873647	0.0348565036514657
"FN3K"	-0.912022136783703	4.26653845543239	15.6549763278116	0.000225049238980671	0.0351199687688229
"THBS3"	0.943313152030838	5.64871264401582	16.1569023243071	0.000226056904106964	0.0351199687688229
"PPOX"	-0.702906770659085	5.81656381960464	15.5850093956276	0.000231579415502721	0.0354019211828783
"H1-4"	-0.648531638328787	9.4996250508759	15.6149653337324	0.000233172307745646	0.0354019211828783
"DKK3"	1.99849013229122	4.8891806213393	16.6586287370796	0.000233574505178899	0.0354019211828783
"MRC2"	1.12513068696138	8.87084549082123	16.5660934705877	0.000233714614179754	0.0354019211828783
"ITGAV"	0.704571047834026	5.95035156805116	15.5388040614297	0.000235999967351827	0.0355260571971359
"AHSP"	-1.13037011166146	6.84041511236851	16.4411184755104	0.000242185332566208	0.0360393656316006
"MCM5"	-0.590779438670475	7.08358178119175	15.4612181602228	0.000243621821703858	0.0360393656316006
"SLC43A1"	-0.55207329794305	5.65764454349565	15.4587252573356	0.000243870934295366	0.0360393656316006
"DNM1"	1.21972445830961	4.99726352993607	16.1852398780737	0.000252033548909572	0.0364616891001485
"COL1A1"	1.89630369828767	13.4337386233345	16.46122294515	0.000252127874232382	0.0364616891001485
"LOXL2"	1.54225649203586	6.52498019115025	16.4347264380044	0.000253349325403706	0.0364616891001485
"NIBAN2"	0.717505280809848	7.57978708315588	15.5519009383152	0.000254221627396182	0.0364616891001485
"PMP22"	1.03330573979282	6.06968645449575	16.1824519583328	0.000254250926634968	0.0364616891001485
"COMP"	3.30904910882343	11.1785795726586	16.3525586013133	0.000262320719584755	0.037173054513067
"VCAN"	0.927548789856503	8.75633470367515	16.0627189328823	0.000263015258731041	0.037173054513067
"PTPRD"	1.30591048518944	4.53188022898251	15.9616669205006	0.000264452777202217	0.037173054513067
"CRTAC1"	3.01022310709934	8.53053454208075	16.3209651268115	0.000265346527098556	0.037173054513067
"ABL2"	0.660296701305606	7.35340526132399	15.2374474214436	0.000267076809496781	0.0372004227296781
"DCHS1"	0.87095255080272	7.66393103936347	15.8839933503714	0.000270648186811596	0.0374824540318049
"CSPG4"	1.20868998091622	8.09572730676458	16.1957051121505	0.000272634305590048	0.0375429831265932
"CMPK2"	-0.766664551263332	4.46609894071734	15.1655544610991	0.000275103019865832	0.0376257216690818
"DHRS13"	-0.970854369773498	5.36256695495296	15.6703155073869	0.000276441889786781	0.0376257216690818
"MARCHF8"	-0.614082715706674	7.56786840530712	15.128930668372	0.000279288100173514	0.0376257216690818
"CHPT1"	-0.882930834309258	3.69924848349525	15.1259294973111	0.000279633982166772	0.0376257216690818
"H1-0"	-0.536162738524721	7.76506092326474	15.097336685369	0.000282951773517968	0.0376257216690818
"LRP2BP"	3.06940229512198	0.225031357815901	15.096023949062	0.00028310508054006	0.0376257216690818
"PTGES"	1.47527325973387	5.16258552264251	16.0651711041542	0.000284102453599685	0.0376257216690818
"HSD3B7"	0.723971031176039	4.79446255990503	15.0619469104786	0.000287115217950643	0.037756289581364
"C1R"	1.05093909769723	7.20269279172222	15.9388916464587	0.000289866649940865	0.037756289581364
"FHDC1"	-0.714217942894933	6.46872985762665	15.1245255714264	0.000290103961398414	0.037756289581364
"ENSG00000179342"	2.57054064226544	0.597445175358805	15.0152866363524	0.000292702504395788	0.037756289581364
"SLC5A3"	0.869070729157539	4.52585566183823	15.0138391277591	0.000292877638277621	0.037756289581364
"TNFRSF10B"	0.491604093678098	6.75451993426566	14.9910378714383	0.00029565083143842	0.0377940743354724
"DAP"	0.467744224473173	6.54285715949799	14.9858177322003	0.000296289574341466	0.0377940743354724
