"X102_tibia_sclerotic_pellet","X109_tibia_sclerotic_pellet","X128_tibia_sclerotic_pellet","X130_Tibia_sclerotic_pellet","X144_Tibia_sclerotic_pellet","X149_Tibia_sclerotic_pellet","X151_Tibia_sclerotic_pellet","X155_Tibia_sclerotic_pellet","X156_Tibia_sclerotic_pellet","X159_Tibia_sclerotic_pellet","X160_Tibia_sclerotic_pellet","X161_Tibia_sclerotic_pellet","X164_tibia_sclerotic_pellet","X99_Tibia_sclerotic_pellet","X102_tibia_non.sclerotic_pellet","X104_tibia_non.sclerotic_pellet","X128_tibia_non.sclerotic_pellet","X130_Tibia_non.sclerotic_pellet","X144_Tibia_non.sclerotic_pellet","X148_Tibia_non.sclerotic_pellet","X149_Tibia_non.sclerotic_pellet","X151_Tibia_non.sclerotic_pellet","X155_Tibia_non.sclerotic_pellet","X156_Tibia_non.sclerotic_pellet","X159_Tibia_non.sclerotic_pellet","X160_Tibia_non.sclerotic_pellet","X161_Tibia_non.sclerotic_pellet","X163_Tibia_non.sclerotic_pellet","X164_tibia_non.sclerotic_pellet","X99_Tibia_non.sclerotic_pellet","genes","colSums_TSP","colSums_TNSP"
28,33,6,9,22,7,30,5,16,27,33,75,25,7,3,17,75,4,26,17,15,42,29,26,66,11,24,3,65,31,"TSPAN6",323,454
42,33,23,19,45,0,3,16,22,40,100,48,40,30,177,57,153,159,218,356,20,48,45,12,150,49,10,25,54,84,"DPM1",461,1617
10,30,6,7,19,1,4,1,1,15,40,12,21,1,61,7,24,16,38,37,4,23,0,4,26,14,12,4,16,6,"SCYL3",168,292
0,0,0,0,4,0,0,0,1,1,6,6,0,0,71,9,6,23,37,75,0,4,3,1,6,11,0,0,6,0,"C1orf112",18,252
623,336,143,57,167,64,20,115,84,143,450,280,187,92,13362,379,1662,3327,3506,13368,244,182,473,49,743,88,103,135,210,385,"FGR",2761,38216
11,12,7,4,16,20,10,14,1,12,53,1,13,10,9,5,7,6,4,6,14,10,4,7,39,18,1,19,24,40,"CFH",184,213
58,83,35,2,17,8,0,7,10,119,101,112,105,0,138,19,113,98,184,200,12,53,25,25,206,38,36,10,62,60,"FUCA2",657,1279
60,50,9,19,25,23,8,19,19,78,277,84,78,14,578,53,288,505,486,2105,28,48,54,18,305,66,36,16,82,42,"GCLC",763,4710
107,152,67,18,92,23,21,15,20,131,262,118,48,34,681,124,349,305,381,1074,11,147,61,38,353,83,27,31,136,53,"NFYA",1108,3854
19,4,27,9,6,4,4,3,7,4,25,36,35,9,26,11,52,31,45,98,4,38,30,0,51,15,23,6,25,0,"STPG1",192,455
32,59,49,12,73,22,16,40,5,35,110,91,65,15,210,16,177,144,182,394,16,28,79,17,158,12,19,62,69,47,"NIPAL3",624,1630
115,107,40,26,140,31,26,33,58,102,357,131,144,20,595,231,517,320,475,1214,59,97,153,19,430,65,47,56,197,117,"LAS1L",1330,4592
14,16,6,3,12,0,3,2,1,17,19,24,9,2,155,10,85,48,79,63,4,28,2,0,61,32,0,11,9,11,"ENPP4",128,598
69,250,55,13,122,21,11,47,22,205,740,191,169,23,17,241,612,239,94,208,59,155,151,49,533,118,52,60,199,125,"SEMA3F",1938,2912
42,51,17,8,82,14,9,13,10,44,120,70,36,6,91,40,177,83,72,172,12,34,55,4,215,39,22,21,63,26,"ANKIB1",522,1126
25,42,18,0,33,29,0,15,19,79,134,77,103,18,77,41,74,62,51,164,15,22,41,6,198,50,23,27,54,68,"CYP51A1",592,973
29,79,16,2,39,11,0,1,4,43,88,62,52,21,129,53,176,81,135,369,27,30,39,10,129,32,6,12,44,5,"KRIT1",447,1277
6,66,7,9,18,4,0,3,22,54,90,59,21,4,146,24,113,90,131,290,19,34,22,0,127,23,13,17,18,14,"RAD52",363,1081
0,0,0,0,9,0,4,0,0,0,6,0,0,4,0,0,2,0,0,2,0,0,0,0,1,0,1,9,2,0,"MYH16",23,17
167,187,64,16,169,58,21,21,70,210,540,185,240,24,275,72,299,254,236,457,105,170,220,29,449,182,26,120,206,170,"BAD",1972,3270
46,114,82,14,71,7,14,54,61,125,452,117,181,43,192,108,397,268,276,451,38,177,81,8,607,81,23,84,241,66,"LAP3",1381,3098
597,1704,492,90,840,203,133,278,322,1773,2260,1219,1119,149,926,480,2175,856,1299,1835,534,550,630,167,2781,515,147,677,886,598,"CD99",11179,15056
58,187,64,11,32,28,22,36,18,90,300,80,169,18,18,47,306,67,47,110,14,57,57,1,278,104,12,23,70,25,"HS3ST1",1113,1236
14,2,1,0,0,0,0,2,8,4,0,0,0,0,55,2,18,16,9,12,3,0,0,9,15,9,0,1,6,0,"AOC1",31,155
41,2,51,12,5,0,7,11,3,27,12,57,212,30,1,0,15,13,3,0,11,0,0,6,52,7,5,63,161,44,"WNT16",470,381
8,20,8,1,9,0,5,4,6,30,16,26,31,6,8,16,16,5,13,2,26,8,16,0,17,25,4,3,5,12,"HECW1",170,176
59,45,10,10,38,0,0,19,16,18,53,22,43,15,256,19,132,131,179,376,11,43,46,1,124,28,1,15,10,50,"MAD1L1",348,1422
652,1463,256,96,1007,143,169,360,221,1299,2672,1180,997,173,3770,551,2604,1744,2409,5811,345,803,782,168,3532,559,248,554,998,586,"LASP1",10688,25464
11,34,13,2,34,2,1,4,13,32,48,38,18,0,79,13,93,51,144,178,12,34,13,1,96,7,9,17,37,22,"SNX11",250,806
21,209,28,6,139,7,23,58,74,53,877,194,91,18,39,43,198,51,235,96,62,94,55,19,297,139,44,70,91,61,"TMEM176A",1798,1594
69,116,43,8,80,10,9,28,13,86,257,122,121,30,512,85,259,310,399,738,15,113,83,17,263,52,28,50,117,55,"M6PR",992,3096
27,2,2,5,4,0,0,0,3,0,12,19,15,0,10,3,11,6,13,18,0,7,2,0,12,1,0,1,7,0,"KLHL13",89,91
135,220,79,35,312,33,23,83,25,217,483,443,417,56,32,351,196,97,157,154,139,124,102,23,445,89,45,137,299,186,"CYP26B1",2561,2576
27,24,19,4,32,20,2,8,13,26,124,39,17,2,159,25,141,104,99,235,48,46,30,11,103,22,11,0,37,21,"ICA1",357,1092
40,0,5,13,2,0,5,0,4,2,15,12,32,6,11,4,31,4,2,10,0,8,11,0,7,5,1,0,15,15,"DBNDD1",136,124
26,52,18,7,28,6,4,31,12,21,110,61,51,8,106,26,161,58,80,233,15,54,54,0,136,22,30,8,68,16,"ALS2",435,1067
18,22,12,5,49,0,6,3,5,29,129,31,39,7,291,17,266,194,244,628,18,36,53,4,170,19,4,12,89,19,"CASP10",355,2064
616,843,345,114,477,204,182,326,222,541,2028,626,789,232,6163,1342,3824,3198,2840,8972,481,604,955,134,3109,495,229,253,748,744,"CFLAR",7545,34091
20,83,20,16,59,1,18,32,18,43,282,80,84,10,37,279,286,111,69,108,27,124,46,20,241,50,38,21,124,61,"TFPI",766,1642
22,11,3,6,11,12,0,26,4,4,12,19,21,0,45,18,44,34,27,101,13,12,0,0,62,0,0,7,8,14,"NDUFAF7",151,385
153,202,52,35,181,15,12,69,42,183,490,243,152,37,1186,225,744,623,495,1829,91,126,178,36,611,100,37,53,164,155,"RBM5",1866,6653
1,3,4,0,0,0,0,0,0,0,0,19,10,6,0,1,1,3,0,2,0,0,3,1,0,2,0,0,0,3,"MTMR7",43,16
255,358,424,154,228,86,18,54,86,158,730,506,699,269,24,795,404,136,167,161,117,204,191,107,581,238,34,191,755,413,"SLC7A2",4025,4518
137,353,94,33,250,36,36,61,67,300,525,347,254,52,752,104,610,450,683,1228,115,226,215,26,696,177,44,82,300,134,"ARF5",2545,5842
68,159,80,8,178,9,19,31,53,132,247,153,157,29,270,64,300,181,255,491,103,81,108,18,406,55,26,76,230,94,"SARM1",1323,2758
71,267,57,2,158,34,36,62,23,133,349,158,192,15,546,102,268,347,408,1013,45,130,89,23,413,106,20,130,209,119,"POLDIP2",1557,3968
1639,5548,1730,169,3034,490,603,945,578,4193,13265,4592,4349,683,2274,1409,16442,3879,5068,7658,1695,4768,3840,675,14342,2620,1122,2278,6333,2359,"PLXND1",41818,76762
123,131,44,38,72,11,14,56,29,151,274,195,52,20,574,214,281,290,387,882,28,160,37,8,365,39,21,36,138,100,"AK2",1210,3560
40,8,26,16,59,0,5,4,13,14,35,37,55,5,565,18,200,604,276,914,6,21,13,1,104,18,7,24,15,15,"CD38",317,2801
170,370,97,31,126,23,28,85,70,248,628,325,159,26,936,372,901,777,465,3311,48,128,214,30,544,185,69,105,123,157,"FKBP4",2386,8365
109,184,62,11,86,7,15,28,51,143,275,180,138,38,495,90,310,268,318,758,45,89,59,8,264,65,37,93,100,112,"KDM1A",1327,3111
151,217,65,8,118,46,11,21,38,163,480,162,192,44,700,160,793,508,757,1714,77,115,125,22,538,68,77,64,200,164,"RBM6",1716,6082
120,99,49,18,57,11,0,32,5,70,202,127,136,10,843,57,282,204,218,482,62,32,117,9,161,86,18,61,107,114,"CAMKK1",936,2853
21,33,13,2,19,0,5,3,1,42,52,53,57,11,150,41,111,33,99,136,1,50,9,14,143,35,15,22,63,20,"RECQL",312,942
0,2,1,0,0,4,1,0,0,0,4,0,0,0,7,0,11,1,6,29,1,0,4,0,0,0,0,0,0,0,"VPS50",12,59
105,156,20,7,79,18,16,32,57,87,206,62,132,11,27,57,55,39,50,82,44,41,52,28,155,22,49,92,172,40,"HSPB6",988,1005
141,127,60,22,99,17,36,62,8,164,279,176,80,58,1563,87,423,596,748,2714,27,59,183,17,277,46,62,12,96,78,"ARHGAP33",1329,6988
36,103,32,6,47,6,9,25,15,126,158,80,44,9,196,97,98,134,216,405,7,46,25,3,153,44,22,50,52,38,"NDUFAB1",696,1586
330,374,263,90,249,111,74,211,208,226,1135,573,260,130,45,591,3320,816,704,629,200,660,408,123,1832,517,290,226,947,625,"PDK4",4234,11933
22,0,1,2,0,3,0,0,0,0,0,9,1,0,133,0,0,62,77,330,0,0,2,2,1,0,1,0,4,0,"SLC22A16",38,612
0,20,0,11,3,0,1,5,0,18,24,22,12,1,14,8,25,10,28,57,1,0,12,1,34,26,5,0,8,23,"ZMYND10",117,252
3,0,1,13,0,0,0,0,0,2,3,0,7,0,0,9,3,0,2,25,1,8,0,0,5,0,0,0,12,1,"ARX",29,66
33,17,24,4,12,5,2,9,6,83,74,42,27,10,188,35,100,100,113,212,3,36,9,5,154,27,15,20,44,45,"SLC25A13",348,1106
16,2,3,0,2,0,0,2,1,29,17,14,18,2,40,33,22,84,52,154,9,6,12,0,45,15,5,4,21,9,"ST7",106,511
41,15,35,2,18,2,3,15,4,22,125,57,26,5,445,56,112,202,230,668,16,13,47,1,137,31,10,13,40,15,"CDC27",370,2036
1994,142,46,165,158,126,63,84,138,127,105,91,129,64,21965,90,147,18924,15097,66956,114,112,1093,81,154,51,115,47,100,134,"SLC4A1",3432,125180
2,1,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,7,1,2,0,2,0,0,7,0,2,12,1,0,"CALCR",10,37
10,6,7,2,8,0,0,14,19,30,53,16,10,5,89,43,81,61,87,186,4,9,15,0,63,4,4,1,19,3,"HCCS",180,669
161,313,49,36,236,31,17,59,41,238,847,400,246,34,576,172,572,328,453,1290,125,169,198,43,851,193,47,102,256,249,"DVL2",2708,5624
0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,"PRSS22",7,7
522,1001,289,71,629,191,127,178,168,779,1724,781,594,116,4053,616,2391,1974,2257,6515,311,604,672,146,2065,313,137,461,610,490,"UPF1",7170,23615
25,60,22,3,33,5,8,25,16,36,76,31,37,7,175,9,129,105,209,400,13,43,16,10,169,45,11,2,58,39,"SKAP2",384,1433
136,297,46,24,222,6,12,72,58,265,626,259,296,69,1380,331,498,708,999,1788,58,160,208,42,807,180,60,164,243,158,"SLC25A5",2388,7784
59,114,41,3,33,14,4,25,2,59,211,41,84,12,235,22,118,127,200,262,8,30,41,12,182,58,17,16,82,62,"MCUB",702,1472
21,18,6,0,20,2,13,4,7,14,56,15,36,1,1,9,29,18,36,27,23,12,9,2,69,36,4,19,23,2,"HOXA11",213,319
103,142,35,27,53,6,5,34,28,77,256,70,125,0,458,56,129,258,313,487,58,84,60,51,260,91,16,29,78,68,"POLR2J",961,2496
50,76,24,5,78,12,7,9,3,57,302,74,41,24,193,218,186,157,150,454,10,35,28,2,247,39,26,49,76,59,"DHX33",762,1929
15,28,34,4,36,5,2,10,24,5,123,66,46,5,4,19,304,48,27,39,44,127,47,14,120,51,10,28,148,15,"MEOX1",403,1045
28,87,57,3,58,19,9,46,31,123,458,162,86,24,12,47,390,52,104,81,45,160,32,9,286,46,38,73,124,82,"THSD7A",1191,1581
76,172,42,14,81,12,19,21,32,89,227,104,85,7,469,73,199,210,337,952,34,82,58,21,198,46,45,52,121,53,"LIG3",981,2950
5,16,1,5,11,2,0,1,0,3,15,0,12,0,25,4,21,37,19,69,8,8,4,0,40,7,7,1,11,9,"RPAP3",71,270
2,0,0,0,0,1,2,0,0,0,3,0,0,0,253,0,4,72,62,229,0,1,5,0,4,0,3,0,0,0,"ACSM3",8,633
0,6,0,0,2,4,9,1,2,7,24,13,17,0,182,2,31,62,81,239,1,1,10,0,31,5,0,0,14,9,"REXO5",85,668
11,17,19,10,20,6,3,0,9,14,80,35,13,3,96,31,50,49,59,121,4,29,18,8,85,6,0,21,17,6,"CIAPIN1",240,600
289,489,99,73,244,51,43,86,37,293,1024,377,242,98,1885,225,908,960,1062,3441,189,174,359,60,801,156,62,79,221,214,"SPPL2B",3445,10796
108,374,78,29,158,21,9,53,46,250,356,246,173,36,1312,64,315,606,653,2668,91,88,92,29,537,135,40,74,155,161,"FAM214B",1937,7020
136,275,39,24,141,18,39,16,29,335,361,273,169,35,11,17,86,35,181,99,88,90,84,22,520,62,84,87,91,88,"COPZ2",1890,1645
26,27,5,15,15,23,15,37,16,32,72,45,12,23,288,24,101,201,105,693,24,73,62,8,151,17,20,33,101,26,"PRKAR2B",363,1927
41,51,22,5,73,1,4,25,28,13,77,44,65,16,450,55,165,84,232,522,20,46,40,13,121,21,18,14,67,59,"MSL3",465,1927
956,1436,418,125,981,211,148,326,197,1121,3454,1376,1342,388,7627,1154,4175,3328,3402,11894,462,1075,1140,203,4549,601,339,465,1666,1307,"CREBBP",12479,43387
437,124,169,62,229,58,20,90,32,236,602,280,154,53,3235,102,1066,1781,1136,4096,105,163,377,89,872,127,89,61,261,336,"TSPOAP1",2546,13896
3462,211,153,378,191,221,107,192,136,189,183,191,231,117,72607,171,143,46059,19626,111353,179,192,4040,148,219,89,141,63,142,208,"MPO",5962,255380
12,18,11,2,18,6,10,11,18,20,64,12,4,0,33,26,52,20,38,72,3,25,11,2,41,2,13,15,30,24,"GCFC2",206,407
23,34,9,1,33,9,12,0,20,73,77,54,24,16,61,6,69,51,116,105,2,44,27,10,122,35,2,16,78,19,"WDR54",385,763
5,26,11,0,15,4,1,0,22,12,34,16,14,0,11,0,45,17,23,42,25,3,6,3,52,13,6,2,9,12,"CROT",160,269
13,9,2,2,23,2,1,1,5,4,15,8,6,6,17,4,26,20,31,74,0,10,8,7,27,15,8,19,6,11,"ABCB4",97,283
82,182,73,73,194,23,25,75,26,226,681,242,192,79,1099,279,651,746,659,1601,58,201,115,41,626,217,43,66,252,167,"KMT2E",2173,6821
132,165,90,32,114,20,22,32,66,158,593,208,335,30,446,64,476,361,418,643,167,266,162,13,426,139,51,140,321,145,"RHBDD2",1997,4238
136,45,35,23,11,42,24,52,12,53,207,110,44,88,25,34,76,37,23,71,42,18,49,24,129,13,35,54,68,127,"SOX8",882,825
51,64,23,5,18,14,7,33,1,47,79,34,19,16,114,23,51,76,110,151,11,6,13,3,59,30,27,3,39,30,"IBTK",411,746
18,48,9,12,18,6,6,5,7,30,43,43,80,8,155,40,119,73,111,253,23,7,25,1,122,6,4,12,25,13,"ZNF195",333,989
120,150,97,23,188,47,22,96,49,195,371,129,177,38,854,120,716,415,704,1326,82,179,175,18,590,113,68,31,253,133,"MYCBP2",1702,5777
15,81,17,2,33,28,10,1,6,30,142,52,50,15,260,44,146,105,122,328,32,39,38,19,167,27,5,38,80,19,"FBXL3",482,1469
156,169,214,61,229,43,34,77,91,94,298,85,201,28,1384,38,3296,796,2105,3117,65,163,311,32,1209,75,85,153,267,173,"ITGAL",1780,13269
113,225,74,1,164,4,26,41,21,193,436,271,119,23,221,60,506,222,249,411,96,318,139,46,640,90,52,108,241,98,"PDK2",1711,3497
120,514,114,18,275,15,81,85,51,324,771,365,372,30,45,97,668,180,559,333,144,266,126,65,791,156,81,254,359,127,"ITGA3",3135,4251
15,93,19,2,85,8,13,21,36,73,167,57,84,7,195,80,132,204,216,527,39,47,100,8,201,49,17,29,103,58,"ZFX",680,2005
107,206,41,3,119,9,15,44,22,197,317,163,134,33,610,109,314,298,279,829,44,114,109,30,555,149,28,49,155,65,"LAMP2",1410,3737
41,23,9,7,23,22,11,8,6,16,24,40,11,11,663,11,44,847,863,6513,16,36,351,7,47,25,2,1,39,18,"ITGA2B",252,9483
46,128,29,14,56,17,5,47,32,130,162,60,122,10,230,54,141,196,269,554,56,80,55,15,207,47,27,61,154,104,"GDE1",858,2250
224,272,132,24,189,28,32,41,72,205,324,260,141,62,533,74,425,418,475,1135,92,141,220,47,597,155,57,79,204,182,"REX1BD",2006,4834
1709,1722,970,676,570,450,101,170,439,780,345,3141,1789,388,37,26,1012,81,214,215,1177,159,309,463,854,453,151,2029,1310,807,"CRLF1",13250,9297
84,146,19,20,76,15,22,19,13,124,264,130,100,21,262,40,649,152,324,734,46,95,106,40,267,41,52,68,47,58,"OSBPL7",1053,2981
60,195,24,7,162,4,31,30,23,302,303,174,94,37,9,58,120,18,167,64,37,98,45,17,380,87,59,67,143,74,"TMEM98",1446,1443
7,0,16,1,7,7,3,2,1,2,32,13,4,0,32,4,19,21,22,94,4,6,3,2,1,1,0,0,28,2,"YBX2",95,239
121,199,99,4,133,32,20,53,23,105,308,111,158,28,256,82,672,275,478,650,62,117,201,19,593,40,54,44,197,119,"MAP3K14",1394,3859
43,13,32,0,55,6,31,9,1,26,84,39,65,7,10,69,83,30,52,58,3,34,29,10,89,33,21,4,70,57,"ABCC8",411,652
52,141,20,5,83,0,7,11,7,231,148,101,120,16,2,146,171,41,73,16,30,42,28,4,207,47,35,28,77,33,"TMEM132A",942,980
67,135,63,7,92,8,6,29,29,100,223,115,118,10,540,71,363,284,291,945,42,83,98,16,257,47,28,62,135,75,"AP2B1",1002,3337
2,0,0,0,0,0,0,1,5,3,3,0,0,1,0,0,0,4,0,12,4,0,2,0,5,4,0,0,2,57,"TAC1",15,90
112,162,78,21,159,31,37,82,53,171,599,212,137,17,359,287,391,296,309,708,74,137,215,43,486,195,75,80,221,256,"ZNF263",1871,4132
231,301,149,6,226,79,47,145,85,245,1133,438,369,64,26,4250,1675,1006,208,357,287,604,524,40,1673,341,190,154,672,406,"CX3CL1",3518,12413
172,483,141,42,336,27,60,39,47,239,825,326,269,19,334,159,953,412,718,580,103,170,218,60,748,224,79,122,360,236,"SPATA20",3025,5476
36,91,10,5,42,3,7,17,4,74,379,116,20,13,16,136,69,91,27,37,3,14,23,2,212,36,20,21,28,75,"CACNA1G",817,810
362,533,171,29,124,84,13,34,32,286,466,429,397,170,228,347,177,213,103,405,108,56,169,76,314,115,63,95,137,265,"TNFRSF12A",3130,2871
25,28,6,0,24,5,4,12,2,29,109,29,39,4,3,44,74,9,15,57,0,34,12,5,141,26,4,21,32,29,"DLX6",316,506
22,10,2,8,30,2,0,5,20,3,68,6,44,6,84,21,81,280,83,133,0,23,26,9,31,6,12,18,8,8,"MAP3K9",226,823
9,45,37,10,77,6,2,15,5,35,101,50,96,21,142,22,88,100,64,215,11,35,69,0,118,8,25,7,39,27,"RALA",509,970
38,84,39,7,15,4,13,12,7,43,106,108,81,17,8,12,78,18,48,4,1,4,18,0,49,35,9,22,11,25,"BAIAP2L1",574,342
48,53,18,3,34,3,2,14,11,29,72,28,12,3,233,90,68,105,144,284,19,9,47,10,157,25,14,15,65,42,"KDM7A",330,1327
0,17,0,5,9,0,3,0,4,13,36,16,12,0,3,14,31,1,15,13,3,7,13,2,43,17,1,3,27,2,"ETV1",115,195
8,35,4,2,11,2,0,1,9,22,86,15,38,0,18,7,70,33,40,59,10,15,7,1,67,3,0,12,39,18,"AGK",233,399
163,351,104,24,232,40,48,50,66,355,729,258,323,43,1458,68,390,558,747,2184,342,188,237,58,652,125,73,166,257,190,"ALDH3B1",2786,7693
30,0,16,3,0,5,0,10,2,2,5,17,47,0,27,0,78,39,38,48,0,0,12,0,17,23,17,15,5,13,"TTC22",137,332
35,54,6,4,7,0,5,27,0,22,61,17,3,0,40,5,75,58,73,83,6,20,22,30,66,3,1,17,19,10,"PHTF2",241,528
5,0,0,0,0,0,0,2,0,5,0,6,0,2,3,3,0,0,0,1,0,1,3,0,29,0,0,0,11,0,"CCL26",20,51
140,268,47,21,134,2,28,39,15,224,638,276,136,55,233,228,412,358,379,814,78,106,129,26,751,154,79,76,185,255,"FARP2",2023,4263
15,0,1,0,0,0,0,0,0,0,20,2,20,0,0,6,0,5,2,0,13,0,0,2,0,5,0,0,6,1,"USH1C",58,40
14,26,2,0,10,3,0,8,0,34,87,28,20,0,101,29,22,59,71,95,0,18,6,0,64,1,6,7,16,12,"GGCT",232,507
27,14,7,6,7,1,0,8,0,47,61,34,25,2,212,8,84,96,136,400,1,9,14,8,81,29,10,4,15,33,"DBF4",239,1140
23,124,8,16,38,7,18,10,23,54,111,76,55,10,8,37,157,50,54,187,13,64,37,28,169,30,3,45,44,67,"TBXA2R",573,993
38,51,31,7,201,38,6,13,26,74,464,122,145,14,420,46,336,154,257,542,77,100,208,23,398,107,52,67,238,95,"IFRD1",1230,3120
24,54,28,3,20,0,4,2,10,29,60,24,14,10,141,54,98,107,111,195,15,36,24,1,93,21,18,9,31,20,"COX10",282,974
75,192,77,4,114,14,9,26,45,177,307,192,241,23,63,120,209,127,103,104,151,76,92,20,440,58,22,36,201,217,"GTF2IRD1",1496,2039
91,130,69,15,70,23,14,57,66,101,459,204,120,17,509,123,471,287,376,762,70,95,133,42,536,84,46,45,163,124,"PAF1",1436,3866
38,39,17,1,54,13,7,7,4,38,62,31,50,3,116,13,93,70,93,175,13,30,20,8,122,21,1,19,51,13,"VPS41",364,858
25,66,22,5,25,14,4,9,14,39,144,78,100,15,8,53,138,49,55,68,59,29,32,6,253,21,8,10,74,54,"ARHGAP44",560,917
121,300,69,31,123,21,35,45,27,193,546,213,230,44,793,189,629,539,606,1555,111,188,167,18,708,84,63,84,150,78,"ELAC2",1998,5962
97,20,60,15,52,4,21,25,17,61,57,57,84,22,5,30,81,24,50,48,5,61,57,15,174,51,23,23,61,49,"SCIN",592,757
74,185,57,16,111,28,11,59,32,182,326,152,83,23,275,53,299,207,264,765,30,86,63,21,406,81,16,29,135,53,"ARSD",1339,2783
0,11,0,0,5,0,3,3,2,20,31,11,2,0,24,0,7,5,21,59,0,4,7,1,41,5,0,0,42,2,"PNPLA4",88,218
73,82,28,20,47,24,20,20,25,95,173,92,80,31,473,103,285,266,241,536,17,97,67,31,311,33,12,49,79,84,"ADIPOR2",810,2684
0,0,0,1,1,0,0,0,0,6,5,12,3,0,0,6,3,0,1,13,2,1,1,0,6,0,0,2,1,0,"CDKL3",28,36
2,0,0,0,1,6,0,0,2,0,9,0,3,1,183,1,7,108,23,105,0,0,0,0,2,0,0,0,4,0,"PRSS21",24,433
123,238,53,15,170,44,61,82,21,288,559,222,217,48,417,127,622,241,338,546,66,173,178,29,687,108,70,94,233,94,"MARK4",2141,4023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,2,12,7,68,0,1,2,0,0,0,0,0,0,0,"PROM1",0,126
140,259,59,10,88,20,17,68,42,186,285,155,144,33,437,126,349,265,310,717,71,81,161,27,453,97,76,113,155,95,"CCDC124",1506,3533
33,3,6,1,0,0,1,1,5,1,9,1,2,0,479,0,44,42,132,387,2,6,6,0,32,0,1,0,7,0,"CEACAM21",63,1138
149,232,98,34,206,76,21,66,73,230,485,211,258,45,1120,129,714,504,625,1973,109,148,290,24,490,135,81,110,252,128,"PAFAH1B1",2184,6832
224,225,124,30,16,13,3,28,27,27,63,115,118,467,4,51,89,37,9,13,7,24,12,24,52,51,4,41,76,368,"NOS2",1480,862
