"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"B2M"	-3.21671491892337	7.93899382532894	396.479822505557	1.7728961823884e-29	4.1163103562694e-25
"RPS24"	-2.84735270607693	5.63211971797585	371.075996423948	1.13439490571115e-28	9.70041886190192e-25
"RPL7"	-3.26610781432061	5.62689597189142	369.751054399291	1.25339204865646e-28	9.70041886190192e-25
"TMSB4X"	-3.09014738263227	8.15546398818178	355.349922162359	3.78176693506435e-28	2.1951266174581e-24
"PPIAP22"	-6.34491875365633	2.98077925331108	345.157130446583	8.45684158970102e-28	3.92701896059357e-24
"RPS27A"	-3.62742816478472	5.26233598091077	319.999885681825	6.73829791065283e-27	2.36937302193098e-23
"RPS6"	-2.29819916807954	7.5407416388253	319.314988349522	7.14342800995645e-27	2.36937302193098e-23
"RPL21"	-2.95992839972592	5.27949023979589	302.263825697801	3.16391569302412e-26	9.18247432007925e-23
"RPS3A"	-5.18124143844943	6.38226538041697	352.308052321878	4.27911400951113e-26	1.10391632303144e-22
"SNORD3A"	-2.97127071039714	10.0702709413666	268.429145699749	7.53265368308475e-25	1.74893153213862e-21
"EEF1A1"	-1.65517044160944	10.0192583763152	265.08798765383	1.04815981140004e-24	2.21237950009875e-21
"SNORA84"	-6.89824758907623	4.36255356455333	269.935532353243	3.02578467304243e-23	5.8543890448916e-20
"SRGN"	-5.96545776393183	7.88438455998415	274.885257335193	5.98191093449549e-23	1.0683692929009e-19
"RPSA"	-1.63325604387728	7.61624176736554	199.008895451204	1.59986002676528e-21	2.65325357867402e-18
"COX7A2"	-3.88085169695364	3.78270271412268	191.011340834542	4.39267627162275e-21	6.79927717830247e-18
"SCARNA11"	-6.96383841911363	5.81255196181681	226.354187425705	6.102206467019e-21	8.85506435945294e-18
"EIF4A2"	-1.82449790972658	5.52484657870052	185.876133623811	8.54482503073029e-21	1.16702204449115e-17
"RPS15A"	-3.16347818661711	5.64781026483541	196.737715122419	1.05332855149869e-20	1.35867679492759e-17
"HNRNPA1"	-1.76468218382005	7.08836361775386	177.539689477692	2.59253361782679e-20	3.16807608098434e-17
"TXN"	-5.11187861489636	2.85579819152545	167.104835187189	1.09929069633499e-19	1.27616656937529e-16
"RNU5A-1"	7.11692353334898	3.43580412277226	167.774451641557	3.67247341511325e-19	4.06035655962379e-16
"ZMAT2"	-3.13442477014675	3.48459120194927	157.061477735451	4.70277316549306e-19	4.92980308244399e-16
"ANKRD17"	-1.59666042305298	5.17666026442096	156.806790018227	4.88351584530156e-19	4.92980308244399e-16
"PPBP"	-7.20759195922418	4.49787140034364	182.328581967056	5.47538164550594e-19	5.2969754602232e-16
"SNORD17"	-3.76533028404647	8.75739445981827	175.776754099296	6.55878458925562e-19	6.09127442373348e-16
"CXCL8"	-5.2440873863006	7.92775938048885	175.51608560079	1.35838842931126e-18	1.21304086737496e-15
"SNORD88A"	4.89939251083768	5.96220124574426	170.230134730786	1.79656539749563e-18	1.5449131629279e-15
"KMT2C"	-1.35221938265052	7.17749971560226	147.420078420176	2.02286578792525e-18	1.67738920943031e-15
"RPL26"	-2.92334531146099	4.33673658747586	144.568393655151	3.15450957509702e-18	2.52556563153802e-15
"SNORA3B"	-4.92706715577452	6.56389943008785	162.887985066828	6.27237359024864e-18	4.85439900061309e-15
"RN7SL600P"	-4.92007319089403	2.40024885702345	138.775549751664	7.92856305691595e-18	5.93823796953143e-15
"C6orf62"	-3.31427095469416	2.95658666930773	137.569236860691	9.6380064474401e-18	6.99297605302076e-15
"KPNB1"	-1.27273864259313	5.92950284644385	134.480663983929	1.59744768835005e-17	1.12276989189323e-14
"RNU4-2"	6.48081355837163	7.73436476912489	155.813377329019	1.65674487725636e-17	1.12276989189323e-14
"COX6C"	-2.78226863449835	3.62670745419521	134.130321962449	1.69252072599979e-17	1.12276989189323e-14
"CD53"	-4.43817031100987	3.42146635667562	137.900982170449	2.18588408347799e-17	1.40977379583866e-14
"IGF2R"	3.04322498516756	11.280441559567	139.330686659551	2.60151013760483e-17	1.63248276688943e-14
"RNU6ATAC"	-4.93475715844648	7.33877274067027	151.745840906291	2.73192529201397e-17	1.66920635342054e-14
"ENSG00000286171"	5.78274112991559	4.98710417741513	148.530586969701	3.35741621823543e-17	1.99878178858949e-14
"NAIP"	-5.67401894722781	0.79780738896573	126.463253613402	6.1580334570794e-17	3.57443052016174e-14
"SELL"	-5.46472817334552	3.9375951850236	139.825940330311	8.23787340579174e-17	4.62611510727151e-14
"FCER1G"	-4.03317107455891	3.44848752214192	128.107448673054	8.36843600752378e-17	4.62611510727151e-14
"MT-TL1"	7.15345764516276	5.99093744213496	143.701924569426	8.56761777985507e-17	4.62611510727151e-14
"PRRG3"	4.02486354182404	7.7243889154479	140.27129521954	8.78184381587454e-17	4.63401931174944e-14
"SNORA65"	-5.56480385491422	6.14218897058701	138.843223378379	1.70248278098676e-16	8.78405449087792e-14
"CKAP5"	-2.19029021471437	4.5898932044814	117.724577037413	2.86461333422837e-16	1.44588244335031e-13
"EIF3L"	-1.78202162575926	5.17540702447935	117.420531282624	3.0260151559042e-16	1.49485148701668e-13
"H2AC7"	-5.86490711121756	3.57104533789246	130.008068259914	3.26773642082101e-16	1.58063133788796e-13
"SNORA11F"	-5.42109924500125	1.5499117003178	115.444040674297	4.33114825930347e-16	2.0203669827183e-13
"RPL23"	-1.50948889185207	7.64018287535827	115.419146797037	4.35086351692286e-16	2.0203669827183e-13
"AP2B1"	-1.39513214845841	5.50649352116453	114.888543722809	4.79382404867617e-16	2.18241189729732e-13
"EPS15"	-2.86075729293238	3.61830134938615	114.575102612405	5.07708649691157e-16	2.23106911170909e-13
"SNORA2C"	-5.54268817979336	3.66102668517805	126.734741859642	5.09288754072623e-16	2.23106911170909e-13
"RNY1"	5.00506265772949	2.5470266175354	113.393788494716	6.30925610799042e-16	2.71274645028373e-13
"GMFG"	-2.18408989202441	5.00245345794534	112.961166795919	6.83430065168574e-16	2.88506895510617e-13
"RNU5B-1"	6.3960045786882	4.68189658270172	127.232058068851	7.60750490380007e-16	3.15412587243625e-13
"DDX24"	-1.05080505697249	6.32375356730216	111.465346413681	9.02375879866165e-16	3.67567775065485e-13
"XPO7"	-2.43871867927409	6.24497641032552	118.522303204946	9.4960386051579e-16	3.80136248852683e-13
"PHC3"	-1.90234118896452	4.58564199382617	108.147587020849	1.68585416969964e-15	6.54590904799352e-13
"DHX9"	-1.46454328688415	4.62094255353039	108.129714205882	1.69159506796284e-15	6.54590904799352e-13
"CNOT1"	-1.65722736650954	5.6931324215769	106.891558618597	2.14265737943575e-15	8.13527572916827e-13
"RNU4ATAC"	4.29350421855535	2.77087626605746	106.819632197339	2.17239682663637e-15	8.13527572916827e-13
"GALNT1"	-2.73474293015902	2.92413754292967	106.69383980332	2.22543514666659e-15	8.20161162465158e-13
"HERC1"	-1.12642026715839	7.18229790692654	105.585404369467	2.75461302771918e-15	9.99321957462249e-13
"OGT"	-1.58274774047057	6.16478349359782	104.707904134378	3.26465291478389e-15	1.16613402116081e-12
"SNORA37"	3.24112971128844	8.29905324262461	114.298488282346	3.81227490617585e-15	1.34111210259986e-12
"MT-TF"	5.77718880570444	3.37806881337838	111.035581058482	3.9582562572291e-15	1.37168348925888e-12
"MS4A6A"	-3.20133817535956	3.46649686888772	103.557851287588	4.08427518294129e-15	1.3945397234931e-12
"RNU4-1"	5.69157775635205	4.39368389187144	115.101326904885	4.43922947077798e-15	1.49376854858729e-12
