"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TMSB4X"	-3.38951905841278	8.31456130957542	517.448007515325	1.88913815558203e-32	4.35427453480102e-28
"RPS6"	-2.32797466250982	7.56871886118998	360.272863922277	4.80949680911101e-28	5.54270459765999e-24
"B2M"	-3.27168086385352	8.20340492568781	343.899048121058	1.70820611429961e-27	1.31241475761639e-23
"RPS27A"	-3.56930513711753	5.36684992298267	298.60677950962	7.56891889893155e-26	4.36140029253683e-22
"RPS24"	-2.68111441827908	5.76801278558449	293.835034404114	1.15978786979124e-25	5.34639012216365e-22
"RPS3A"	-4.9575249702606	6.51688080117825	323.924376128177	2.41410510482173e-24	9.27378476017269e-21
"EEF1A1"	-1.69481679888376	10.1186890125539	246.533941254056	1.11843012202994e-23	3.68267084038117e-20
"RPL21"	-3.21212953087804	5.31545393532611	243.537040865196	1.52886234583355e-23	4.40484352613968e-20
"SNORD3A"	-2.88415229378131	10.0475280949563	232.500585138183	4.96633818320858e-23	1.27187920871972e-19
"RPS15A"	-3.01908466935645	5.74953225633393	227.662446647585	8.44111248476985e-23	1.9455920166146e-19
"HNRNPA1"	-1.84312848840384	6.98936300819016	201.423299871024	1.76494684971727e-21	3.69820544901212e-18
"RNU4-2"	6.71707473784138	7.2803199496948	252.369980196538	6.69780805795276e-21	1.28648148273128e-17
"SNORD17"	-3.68954399460033	8.74413958770801	222.164384336055	7.69380285719756e-21	1.36411124658113e-17
"SNORA3B"	-5.04718907080693	6.93231566386494	225.900632168275	3.80375319490215e-20	6.26233624209283e-17
"COX7A2"	-4.28117562290393	4.14575681669642	180.907984424969	7.12242233595842e-20	1.09443141614337e-16
"SNORA84"	-7.1397677350913	4.65359268021186	211.377923597836	1.02786064686843e-19	1.4806975031044e-16
"TXN"	-4.88365764523475	3.07222115367747	165.240662549653	1.99819329048572e-19	2.70919747955325e-16
"RNU5B-1"	6.37282731352657	4.2818075164535	201.026026168574	2.51775038880153e-19	3.22397937286035e-16
"SRGN"	-6.52614344016133	8.00994951486097	207.968673707594	3.48182513777909e-19	4.22382040003528e-16
"RPL23"	-1.54136105464976	7.70788141189659	160.242715839705	4.07128766187825e-19	4.69195546593159e-16
"PRRG3"	4.90414388238553	7.99058993199836	189.39820102249	1.82647008573167e-18	2.00468138123949e-15
"RNU4-1"	5.96016684657253	4.01529525801114	177.368805358014	2.03662183815243e-18	2.13373167034433e-15
"IGF2R"	3.69932835233397	11.4845356805067	174.823807743328	3.3086588791499e-18	3.31570776110983e-15
"RPL7"	-3.01646013605435	5.81942966106794	158.811396669883	5.51318322380826e-18	5.29472333856486e-15
"SCARNA11"	-6.42521180077099	6.3352513519684	178.884116789043	6.62260330810319e-18	6.10577534593881e-15
"CD53"	-4.5350781888654	3.46292736683329	138.878384871982	1.03345273021045e-17	9.10692326038631e-15
"SNORA2C"	-6.06150583466086	3.71708920338702	155.100816020246	1.0668008504943e-17	9.10692326038631e-15
"SNORD88A"	4.90350106636327	5.40602577956931	170.852217531182	1.27457391973542e-17	1.04920193842792e-14
"MGP"	-4.32390639198206	7.0029432188096	167.478003160921	1.69178680362952e-17	1.34462048402955e-14
"SNORA37"	3.08590677300625	7.77635720669354	156.505935703506	2.08594162653459e-17	1.60262895166653e-14
"CNOT1"	-1.66565992808126	5.61892959624071	131.691206732025	3.31559205938809e-17	2.46519617344633e-14
"ENSG00000286171"	6.1125231775902	4.78763109772805	162.373470195855	3.70007050782115e-17	2.66509141046155e-14
"LDHB"	-4.21955016215738	3.48536944245231	130.542666093873	4.01051592276233e-17	2.80116307587118e-14
"RPN2"	-1.32063308738541	6.36112344313622	129.081373763827	5.11749057092251e-17	3.46920706379979e-14
"KPNB1"	-1.34227793339428	5.83771317491304	128.304068449761	5.83036095683552e-17	3.83954256268862e-14
"SNORA65"	-5.36494712439698	6.36110047963099	157.446875791157	7.1795484280343e-17	4.59670588104896e-14
"SNORA74D"	-6.28112372143656	5.26898940827777	156.198727941299	8.10793505412635e-17	5.05080527196103e-14
"PRRC2C"	-1.51826775266468	6.69442743201211	124.638486082335	1.08627952937857e-16	6.58885707174914e-14
"EIF3L"	-1.91906274423112	5.22002390022591	122.88926878386	1.46817552270944e-16	8.67691733921279e-14
"RNU5A-1"	6.4150006762533	3.20835288401762	136.877396791088	1.52050539114614e-16	8.76153219013187e-14
"CXCL8"	-5.67543755011436	8.2216872730681	149.906595441005	1.89616151650807e-16	1.0659665071706e-13
"RN7SL5P"	2.13583085062807	6.30826452836991	123.03606280769	2.52345224425364e-16	1.38483454232862e-13
"EIF4A2"	-1.98985454723356	5.50581585419582	119.254201924023	2.77123322597377e-16	1.48544545640627e-13
"ANKRD17"	-1.67184239883897	5.32484421821179	118.800666641998	3.00249977504645e-16	1.57283221170558e-13
"MT-TF"	6.65101565386808	3.44526242056919	136.231707833796	3.71466101537612e-16	1.90056023234687e-13
"PPIAP22"	-5.59488835188065	2.83535699293949	117.480794126019	3.7956411784859e-16	1.90056023234687e-13
"PHC3"	-1.9612749841062	4.65846194924225	117.36402735955	3.87549702461291e-16	1.90056023234687e-13
"TXNIP"	-1.61830158497977	8.07811110047439	116.165611449318	4.80255892700769e-16	2.3061287647625e-13
"RNU6ATAC"	-5.16988247843712	7.48326299183447	137.888180448101	8.69715121109689e-16	4.09103343397086e-13
"ZMAT2"	-3.58304606663325	3.44738439594614	109.642444540102	1.58389055531343e-15	7.29484062317396e-13
"MT-TL1"	7.0288355700663	6.20223334584629	133.501039520823	1.61411285427512e-15	7.29484062317396e-13
"FCER1G"	-4.3253791842382	3.68347837414757	115.946369736711	2.27899873094273e-15	1.01016618749037e-12
"SNORA11F"	-5.86760823962944	1.97323850908902	106.086241342496	3.09470263376077e-15	1.34584530199155e-12
"GMFG"	-2.24484589066402	4.90601326539417	104.712827247738	4.33053215479565e-15	1.84841547473861e-12
"SNORA11B"	-5.92515803312109	2.79940476097007	105.417620275483	4.98034847938673e-15	2.08712822002518e-12
"RPL35A"	-2.03304950981868	6.97350776496203	107.245133456039	5.189301123518e-15	2.13586074278511e-12
"RPSA"	-1.28668315144113	7.54074067110345	101.447442914697	7.57641845362084e-15	3.06366436732468e-12
"CKAP5"	-2.12535840993993	4.40224477593646	99.993941055993	1.00827427567157e-14	4.00684720344034e-12
"TBX5"	6.49923381761688	1.10839449020787	99.370350891316	1.14069432729908e-14	4.45624805930786e-12
"RNY1"	5.76230631003434	2.25775244620727	98.085694064126	1.47308507896922e-14	5.60372204964108e-12
"RPL6"	-1.37612439436142	6.28108305311171	98.0519809344064	1.48304501292076e-14	5.60372204964108e-12
"HERC1"	-1.12489258619462	7.06052198450187	95.8632341023159	2.30400793234129e-14	8.56533529557005e-12
"KMT2C"	-1.29307906125954	6.99723553501914	95.3539698959535	2.55494975560032e-14	9.34746617727489e-12
"CCT5"	-1.38146497418386	5.51264469446938	94.8901628395676	2.80801837918692e-14	1.01128149409186e-11
"NCOA4"	-1.62196723507263	6.86613508173348	93.0569079484585	4.09001513043321e-14	1.45031936525162e-11
"OGT"	-1.44636034335553	6.16322315699275	92.6901730704848	4.41193950328813e-14	1.54076960017103e-11
"UBE2E1"	-2.41289839084445	3.57264329240637	91.6835508356258	5.43688733153173e-14	1.87037038961903e-11
"GALNT1"	-2.86383707017695	3.52678658972896	91.5882265834817	5.54590187546276e-14	1.87981606364031e-11
"SDHC"	-2.56446681294699	3.56110579597417	90.6377690050841	6.76446298416422e-14	2.25962474379712e-11
"RNVU1-27"	-3.63439153278554	3.44781073494078	91.4281233535788	8.74660674320163e-14	2.88000769748649e-11
"CD44"	-1.68695817785892	6.90717095805286	89.2367609788293	9.08598894863985e-14	2.94961914474929e-11
"S100A8"	-6.33133503655347	7.81159524065187	105.304919729689	9.83263597241143e-14	3.14767259066821e-11
"COPA"	-1.00518134588078	6.83651013545171	88.1903615988277	1.13463656215742e-13	3.58249837276252e-11
"RC3H1"	-1.26377293849532	5.13356251311055	87.5312994500201	1.30608988012934e-13	4.06811697933799e-11
"PCBP2"	-1.14604495717761	6.72128012251219	87.3189582861783	1.36685198827917e-13	4.20060953037954e-11
"DANCR"	2.42620430340618	9.23596541473201	97.0140020103641	1.56326073061549e-13	4.74099954999428e-11
"PITPNA"	-1.18264044129976	5.32339353400934	86.5694646981912	1.60565689724573e-13	4.80307598135352e-11
"NACA"	-1.16948463524311	5.39930661951954	86.5127170739628	1.62540642346989e-13	4.80307598135352e-11
"DEFA3"	-9.94590644137343	4.96382746083138	100.290219999391	2.20797639016286e-13	6.44198073631186e-11
"DBET"	3.90976825621264	3.07007521090058	86.5560456639632	2.30712853789719e-13	6.61011034727681e-11
"H2AC7"	-6.55068635718871	3.02970293445072	93.8662829428697	2.32295951290477e-13	6.61011034727681e-11
"COX6C"	-3.35513368065812	3.92919449395967	89.4268776970465	2.70589141105209e-13	7.60586477235848e-11
"CA1"	-7.16590845084822	5.18988067025016	97.5219378986885	3.4913995387247e-13	9.6955744539838e-11
"ILF2"	-1.69379194296135	5.16745075573081	82.5855192517049	3.83193990572275e-13	1.051456939131e-10
"AP2B1"	-1.34312033376661	5.43212417116263	81.2638675890509	5.14105493038665e-13	1.39407264812332e-10
"RPS27"	-2.12388423416487	8.13984542850638	88.2574758010105	5.38860581649484e-13	1.44420901702779e-10
"CLC"	-7.18549474293621	2.96971228454439	87.3679170487073	7.68789594557998e-13	2.03676222585831e-10
"RPS29"	-1.79573441704006	8.12652498769194	82.2325695548644	7.86198062819806e-13	2.0592135397652e-10
"SNORD46"	4.56713782884423	2.26398961490064	79.0886225758665	8.38910726728985e-13	2.17259026296364e-10
"DDX24"	-1.2424322747185	6.31968358342906	78.9733666471124	8.61143419355877e-13	2.2053882969704e-10
"C6orf62"	-2.74440658519971	3.13919396053951	77.5848552640502	1.18213439295053e-12	2.99417754100185e-10
"PRDX1"	-1.50212921189029	4.46950963401087	75.4024212334617	1.95765370698583e-12	4.90456090133873e-10
"SNORA11"	-4.33783628480022	5.21672050593679	87.1481357856793	2.02683691388757e-12	5.02328645464458e-10
"HADHA"	-0.991761055812838	6.36717064941853	74.2621669547393	2.55616331909196e-12	6.26776684486709e-10
"SNORA5C"	2.46333633783713	7.68047799294274	83.7225747920479	2.65774878615404e-12	6.44825808126994e-10
"IST1"	-1.03088232258006	5.57993197201861	73.8501773985553	2.81635768779468e-12	6.76189878603953e-10
"UBA52"	-1.15237887118195	8.01308543606167	73.0028454771362	3.44094631520456e-12	8.17632697104637e-10
"RPL26"	-2.41817650722767	4.40573903308815	75.8078220347181	3.82284670416544e-12	8.99110139635808e-10
"ASH1L"	-1.03971087945646	5.53072595938147	71.2538622453372	5.22379542584852e-12	1.21619455323619e-09
