"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TMSB4X"	-3.16738064040494	8.21278393571861	838.983361453912	2.41850981960345e-55	5.68180511919439e-51
"B2M"	-3.19955090188688	8.0512224158095	754.498687721133	5.57995032495659e-53	6.55448864921025e-49
"RPS6"	-2.24694463130085	7.53342735188175	704.89306612898	1.75167456446165e-51	1.37173635142992e-47
"RPS24"	-2.72327772812348	5.68126119139264	668.373765100744	2.53732886985689e-50	1.4902366784887e-46
"RPS3A"	-5.01816139206577	6.41896760041049	668.09705278483	3.15494240303679e-48	1.48238123749087e-44
"RPS27A"	-3.53986868797478	5.28831323631334	599.635717890078	5.54679599463154e-48	2.17184797169798e-44
"EEF1A1"	-1.62651145993481	10.0553779992545	586.667960424867	1.62382504911422e-47	5.44978883983435e-44
"RPL21"	-2.983921477664	5.27484597796283	496.228945183235	5.31153166318454e-44	1.55979766703993e-40
"SNORD3A"	-2.86676267440298	10.039606183404	465.853089899077	1.05524229063305e-42	2.75453412598246e-39
"RPL7"	-3.08171098608834	5.70298619917729	453.640168456582	4.17764827850836e-42	9.8145491006997e-39
"SNORA84"	-6.91908507344394	4.48195017900658	475.553578811459	3.56390696314301e-41	7.61153329864716e-38
"SRGN"	-6.07869986714722	7.90630202626409	472.731456398585	1.15449912857484e-40	2.2602206689674e-37
"RPS15A"	-3.03834274016344	5.67293724456461	402.845687523114	2.31808956070257e-39	4.18914446535274e-36
"PPIAP22"	-5.97008454480766	2.88635862990566	390.44136559641	3.66697792717613e-39	6.15345088879635e-36
"HNRNPA1"	-1.72688788412175	7.0230282650031	360.171169986563	1.36933919590855e-37	2.14465904863197e-34
"RNU4-2"	6.66964333543851	7.54354153596624	396.301391871989	2.2556489423926e-37	3.11877251601878e-34
"SCARNA11"	-6.69272375098414	6.07073082695474	396.396735656111	2.25680554941128e-37	3.11877251601878e-34
"COX7A2"	-4.00728496410249	3.95115651777966	353.049071936861	3.31855565284916e-37	4.33126821957697e-34
"SNORD17"	-3.65797028358826	8.72994534315652	367.886541513952	1.47912343772363e-36	1.82889720644428e-33
"TXN"	-4.95922642328898	2.9400246664037	327.996776743118	8.3411282433203e-36	9.65176691714752e-33
"SNORA3B"	-4.9186196311648	6.73122471113158	361.43725601891	8.62755311199497e-36	9.65176691714752e-33
"SNORD88A"	4.98548602100349	5.727191644376	355.900857092564	1.39662032106809e-35	1.49140005467512e-32
"CXCL8"	-5.37149433324526	8.05626745273873	328.447415410382	4.66281235239266e-34	4.73121224911064e-31
"RPSA"	-1.41018189950434	7.5619020394204	298.349668753934	4.83331605068128e-34	4.73121224911064e-31
"RNU5B-1"	6.43490418693175	4.51136277762618	321.119853764978	8.68939304324428e-34	8.14136786162326e-31
"PRRG3"	4.49545905689561	7.87620687092077	320.975279869138	9.01015470149426e-34	8.14136786162326e-31
"ENSG00000286171"	5.98927262732462	4.90861919171789	319.78416979142	1.17461719196357e-33	1.00300295015596e-30
"IGF2R"	3.40625605108405	11.3973395104312	308.240488788309	1.19542342844111e-33	1.00300295015596e-30
"RNU5A-1"	6.70940714850599	3.3431878027299	292.975680411706	7.55454466996519e-33	6.11996268729283e-30
"EIF4A2"	-1.83229426733791	5.50150641585021	271.560516925057	2.45175687235425e-32	1.91997080674061e-29
"ANKRD17"	-1.59470302915624	5.24236273922205	269.74015855864	3.23293503427601e-32	2.45004331484666e-29
"SNORA65"	-5.42266736671967	6.23360114902994	291.340991068588	5.31405326890134e-32	3.90134542019685e-29
"RPL23"	-1.47489985149942	7.66167160792298	266.246020923209	5.51775493496436e-32	3.92813989960963e-29
"CD53"	-4.38537076377051	3.40449946550745	265.919273689418	8.50938117870952e-32	5.87973211857126e-29
"RNU4-1"	5.86328983782685	4.23508689478371	283.327400683347	9.97565509494876e-32	6.6959447184466e-29
"RNU6ATAC"	-4.9641858042294	7.39227250023537	284.945445012145	1.23196208529011e-31	8.03957924158903e-29
"KPNB1"	-1.23947137786045	5.87446918085355	258.024041486552	1.97950981957115e-31	1.2568817348969e-28
