"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Prehypertrophic Chondrocyte Articular Cartilage Human","15/34",4.89578272832079e-19,3.20673768705012e-16,0,0,54.1325875664772,2282.27009066475,"COL15A1;AOC2;GALNT16;TNC;DPT;SLC7A2;ADAMTS5;NT5E;TPPP3;SRPX2;AMTN;TGFBI;MXRA5;CRLF1;PTGES"
"Leydig Precursor Cell Fetal Gonad Human","28/221",5.25285648570882e-18,1.72031049906964e-15,0,0,10.3275216519799,410.908949297423,"COL15A1;SERPINE2;FAM114A1;C1S;LRRC17;FSTL1;ISLR;EFEMP2;ADAMTS1;TIMP3;CPXM1;PHLDA1;POSTN;CRTAP;INHBA;DCN;SMOC2;RCAN1;CRISPLD2;COL6A2;PXDN;ITGA11;COL6A1;CALU;CERCAM;PMP22;SNAI2;FXYD6"
"Fibroblast Skin Mouse","17/90",2.43594730565474e-14,5.31848495067952e-12,0,0,16.0358086998318,502.656143674492,"PRRX1;GFPT2;DPT;PCOLCE;LTBP2;PRELP;DCN;PAPSS2;ISLR;CRISPLD2;COL6A2;COL6A1;COL6A3;SPOCK1;CPXM1;CCN2;IGFBP6"
"Schwalie Et al.Nature.G1 Adipose Tissue Mouse","22/189",1.26076445830292e-13,2.06450180047103e-11,0,0,9.18909324208725,272.933417921245,"ECM1;GALNT16;PCOLCE2;PRRX1;GFPT2;FHL1;AHNAK2;FN1;DPT;PRKCA;PRELP;FSTL1;PROCR;ADAMTS5;UGDH;ISLR;EFEMP1;ITGA11;TIMP2;PMP22;NBL1;PAM"
"Matrix Fibroblast Lung Mouse","20/156",2.67875891813899e-13,3.02068920217534e-11,0,0,10.2012932832708,295.309614932261,"PID1;LRP1;NEBL;GPX3;FHL1;FN1;NDUFA4L2;DPT;PCOLCE;TIAM2;RCAN1;SRPX2;COL6A2;COL6A1;PMP22;SNAI2;COL6A3;ANGPTL4;CDO1;PTGES"
"Podocyte Kidney Mouse","25/263",2.76704354397741e-13,3.02068920217534e-11,0,0,7.37948609046507,213.383941453479,"FOXC2;CD151;ITGB5;HTRA1;AEBP1;TIMP2;PXDC1;IGFBP7;CCN2;SYNPO;FOXD1;TSC22D1;NEBL;PARVA;PCOLCE;PTPN14;PTPRD;MYO1D;AOPEP;ANGPTL2;FXYD6;MXRA7;MFGE8;NBL1;CRYAB"
"Astrocyte Embryonic Prefrontal Cortex Human","28/343",4.34076477503435e-13,4.061715610925e-11,0,0,6.28807785888078,178.993630291973,"CD63;RAMP3;SERPINE2;LRRC17;TNC;HTRA1;CLU;HAPLN1;MT2A;NT5E;EFEMP2;DNER;TIMP3;SOX9;TIMP1;SLC38A3;MYO10;GPX3;SHISA4;RHOC;AGT;DCN;DKK3;RCAN1;ID1;ANOS1;PMP22;MFGE8"
"Mesangial Cell Kidney Mouse","20/198",2.35915112427773e-11,1.93155498300239e-09,0,0,7.77751215236274,190.316765812605,"JAG1;CD151;SERPINE2;FHL1;FN1;NDUFA4L2;DSTN;SORBS2;TM4SF1;ROBO1;ALAD;ANO1;ADAMTS5;NT5E;TPPP3;IGFBP7;CSPG4;CCN2;SYNPO;MFGE8"
"Medullary Cell Kidney Mouse","18/166",7.39739214927419e-11,5.36428956476371e-09,0,0,8.37219261515036,195.300719930725,"POSTN;COL15A1;TNC;FN1;PCOLCE;RRBP1;FSTL1;DCN;SMOC2;EFEMP2;TRPS1;COL6A1;PMP22;TIMP3;RARB;KDELR3;PAM;TEAD1"
"Schwalie Et al.Nature.G2 Adipose Tissue Mouse","19/189",8.18975506070795e-11,5.36428956476371e-09,0,0,7.71215963417169,179.119164867436,"FKBP10;CD63;LRRC15;POSTN;CRTAP;COL15A1;SERPINE1;RRBP1;P3H3;RCAN1;EVA1B;COL6A2;ADAM12;ANGPTL2;HMCN1;KDELR3;TIMP1;ANGPTL4;CTHRC1"
"Schwalie Et al.Nature.G3 Adipose Tissue Mouse","18/188",5.78840915805946e-10,3.44673454411722e-08,0,0,7.28053024026512,154.856830398614,"PID1;ECM2;IL1R1;IGFBP3;CAV1;PCOLCE;OSMR;DCN;ARMH4;MGP;NDN;IGFBP7;FXYD6;MAGED2;SOX9;TGFBI;CRYAB;MCM2"
"Schwalie Et al.Nature.P3 Adipose Tissue Mouse","18/191",7.49140720569606e-10,4.08905976644243e-08,0,0,7.15317919075145,150.303275501495,"ECM1;PID1;ECM2;SEMA3D;CAV1;NDUFA4L2;ANK2;CLU;DCN;DKK3;SMOC2;ARMH4;CRISPLD2;MGP;IGFBP7;TGFBI;TIMP1;CRYAB"
"DCLK1+ Progenitor Cell Large Intestine Human","13/97",2.45730560962541e-09,1.23810398023434e-07,0,0,10.5034602076125,208.222699711978,"NGFR;NNMT;C1S;LRRC17;HTRA1;DPT;PCOLCE;DCN;ISLR;MGP;CERCAM;CPXM1;CTHRC1"
"Oligodendrocyte Precursor Cell Brain Mouse","11/83",4.76991041625925e-08,2.23163665903558e-06,0,0,10.3038373424971,173.705729440078,"ARMH4;PID1;SERPINE2;SEMA3D;ADAM12;SLC1A1;CSPG4;SOX6;CDO1;PHLDA1;SULF2"
"Fibroblast Stomach Human","8/36",5.16295782525747e-08,2.25449158369576e-06,0,0,19.1156462585034,320.744699387318,"ISLR;POSTN;CAV1;COL6A2;COL6A1;FN1;CSPG4;DCN"
"Schwalie Et al.Nature.P1 Adipose Tissue Mouse","15/174",6.61186598713056e-08,2.70673263848157e-06,0,0,6.42265465781342,106.178137534961,"GALNT16;PCOLCE2;PRRX1;GPX3;FHL1;FN1;DPT;PRKCA;PROCR;UGDH;ISLR;AXL;ITGA11;ACKR3;IGFBP6"
"Liver Bud Hepatic Cell Liver Human","16/203",8.42483032440159e-08,3.24603756616649e-06,0,0,5.83702928087955,95.0822733381184,"SERPINA3;PID1;C1S;PCOLCE2;IL1R1;RRAD;MT1M;SERPINE1;OSMR;FSTL3;MT2A;MYO1C;PMP22;ENPP1;TIMP1;TGFBI"
"Fibrocartilage Chondrocyte Articular Cartilage Human","12/111",1.17566203991501e-07,4.27810353413518e-06,0,0,8.19184952978056,130.711315578859,"LRRC15;POSTN;ECM1;PRRX1;ID1;CERCAM;DPT;COL6A3;IGFBP7;IGFBP6;TGFBI;DKK3"
"Fibroblast Heart Mouse","7/28",1.5061692364605e-07,5.19232026253488e-06,0,0,22.2338983050847,349.261773010488,"COMP;POSTN;FN1;FMOD;FSTL1;DCN;CTHRC1"
"Fibroblast Muscle Mouse","6/19",2.5936719289142e-07,8.49427556719401e-06,0,0,30.6938669438669,465.473138190248,"POSTN;COL6A2;COL6A1;FN1;IGFBP6;FMOD"
"Astrocyte Brain Human","15/204",5.26083469763326e-07,1.64087939378561e-05,0,0,5.39488966318235,77.9982678667467,"SERPINA3;LRP1;GLIS3;CLU;AGT;DKK3;MT2A;EFEMP1;CD109;ID1;TIMP3;SPOCK1;IGFBP7;SOX9;CRYAB"
"Endothelial Cell Fetal Gonad Human","15/207",6.33799739128216e-07,1.88699467785901e-05,0,0,5.30977787456446,75.7786691044064,"ANXA2;CDCA5;FN1;PCOLCE;KIF22;AEBP1;FSTL1;HAPLN1;PROCR;MYO1C;COL6A2;SNAI2;TIMP3;ITGA5;BCAT1"
"Myofibroblast Heart Mouse","4/6",7.46466850537213e-07,2.12580777000815e-05,0,0,132.187919463087,1864.89588256776,"FN1;TNC;CTHRC1;DKK3"
"Fibroblast Esophagus Human","5/13",8.85036281166935e-07,2.40283803401495e-05,0,0,41.4351851851852,577.508578306175,"SERPINE1;COL6A1;FN1;CCN2;DCN"
"Mesenchymal Stromal Cell Bone Marrow Human","6/23",9.17113753440821e-07,2.40283803401495e-05,0,0,23.4670111287758,326.239194166467,"NGFR;ISLR;NT5E;CD151;CSPG4;CD276"
"Mesenchymal Stromal Cell Undefined Human","7/37",1.16570952992552e-06,2.93669131577391e-05,0,0,15.5566101694915,212.537217935872,"CD63;NGFR;NT5E;TFRC;CSPG4;ITGA5;CD276"
"Endothelial Cell Ovary Human","6/25",1.56856938943867e-06,3.80523314845307e-05,0,0,20.9946657183499,280.600983466625,"DSP;NNMT;MGP;IGFBP7;CCN2;TM4SF1"
"Fibroblast Blood Vessel Mouse","4/7",1.72102774262883e-06,4.02597561222101e-05,0,0,88.1208053691275,1169.59122503439,"FN1;TIMP1;ECRG4;DCN"
"Mesenchymal Stem Cell Undefined Human","8/60",3.18866398284311e-06,7.01276491385271e-05,0,0,10.2804814233386,130.108832672302,"CD63;NGFR;NT5E;TFRC;FN1;CSPG4;ITGA5;CD276"
"Fibroblast Undefined Human","6/28",3.21195339565773e-06,7.01276491385271e-05,0,0,18.1289926289926,229.306943086628,"NGFR;NT5E;ECM2;LRP1;CAV1;DCN"
"Fibroblast Ovarian Cortex Human","4/8",3.40110298581338e-06,7.18620147002505e-05,0,0,66.0872483221476,832.131690372951,"CAV1;COL6A2;COL6A1;DCN"
"Pericyte Kidney Mouse","5/17",4.04920654807105e-06,8.03706148177738e-05,0,0,27.6178451178451,342.930495881524,"NT5E;MGP;NDUFA4L2;CSPG4;MFGE8"
"Mesenchymal Cell Ovary Human","5/17",4.04920654807105e-06,8.03706148177738e-05,0,0,27.6178451178451,342.930495881524,"FN1;TNC;SNAI2;ITGA5;DCN"
"Mesenchymal Cell Liver Human","8/64",5.2352390652316e-06,0.000100855340815491,0,0,9.54421768707483,116.058622866033,"TFRC;LRRC17;NDN;IGFBP7;FXYD6;TIMP1;DKK3;FSTL3"
"Quiescent Neural Stem Cell Brain Mouse","4/9",6.04917205320709e-06,0.00011320593413859,0,0,52.8671140939597,635.229522287515,"HTRA1;SOX9;MFGE8;CLU"
"Epithelial Cell Lung Mouse","17/318",7.502867744974e-06,0.000136510510359944,0,0,3.84390044879641,45.3588911132658,"DSP;RARG;PPP1R14C;MIA;ANK3;CLU;ANO1;SMOC2;SLC25A37;MT2A;BAIAP2L1;GPRC5A;CYTL1;EPS8L2;SOX9;FMOD;CRLF1"
"Mural Cell Brain Mouse","7/52",1.24811109574168e-05,0.000218415390262761,0,0,10.3631638418079,117.01353157299,"ECM2;MGP;NDUFA4L2;PCOLCE;IGFBP7;NBL1;TM4SF1"
"Fibroblast Artery Mouse","5/21",1.2671427221351e-05,0.000218415390262761,0,0,20.7091750841751,233.519990857608,"COMP;SMOC2;FN1;TNC;ECRG4"
"Vascular Endothelial Cell Kidney Mouse","13/205",1.51610428907153e-05,0.000254627771626116,0,0,4.56996107266436,50.7118589743527,"COL15A1;RAMP3;STMN2;RHOC;SMAD6;RFLNA;CDH5;ADAMTS5;MYO1C;EVA1B;ID1;TIMP3;AMOTL1"
"Basal Cell Trachea Mouse","9/98",1.75868906619427e-05,0.000287985334589311,0,0,6.76768800092035,74.0950628247649,"PROCR;NGFR;ID1;EMP1;PCOLCE;IGFBP7;AMOTL1;DCN;CRLF1"
"Krt4/13+ Cell Trachea Mouse","10/124",1.90093626743351e-05,0.000303686159797305,0,0,5.88320115356885,63.9538024882109,"ECM1;NIBAN2;GPRC5A;MYO1C;ANXA2;IGFBP3;CAV1;PMP22;EMP1;MFGE8"
