"X108_Hip_sclerotic_pellet","X125_Hip_sclerotic_pellet","X126_Hip_sclerotic_pellet","X129_Hip_sclerotic_pellet","X143_Hip_sclerotic_pellet","X145_Hip_sclerotic_pellet","X146_Hip_sclerotic_pellet","X150_Hip_sclerotic_pellet","X152_Hip_sclerotic_pellet","X153_Hip_sclerotic_pellet","X157_Hip_sclerotic_pellet","X158_Hip_sclerotic_pellet","X79_Hip_sclerotic_pellet","X108_Hip_non.sclerotic_pellet","X125_Hip_non.sclerotic_pellet","X129_Hip_non.sclerotic_pellet","X143_Hip_non.sclerotic_pellet","X146_Hip_non.sclerotic_pellet","X150_Hip_non.sclerotic_pellet","X152_Hip_non.sclerotic_pellet","X153_Hip_non.sclerotic_pellet","X157_Hip_non.sclerotic_pellet","X158_Hip_non.sclerotic_pellet","X79_Hip_non.sclerotic_pellet","genes","colSums_HSP","colSums_HNSP"
11,6,0,3,3,0,15,3,3,12,0,25,32,4,14,0,11,7,0,11,5,0,17,25,"TSPAN6",113,94
73,127,12,196,18,2,81,12,35,142,42,29,76,18,87,7,284,53,26,247,215,76,58,110,"DPM1",845,1181
1,38,12,47,52,16,16,15,22,50,15,15,4,10,40,0,45,8,0,70,52,13,27,17,"SCYL3",303,282
0,32,16,18,1,0,26,1,19,18,4,3,7,7,40,14,53,36,0,65,29,26,3,3,"C1orf112",145,276
750,3360,142,4530,219,51,2410,35,976,4174,1714,395,152,240,3629,989,5275,1219,142,3946,4738,2688,827,6258,"FGR",18908,29951
1,8,6,3,34,7,0,30,7,28,8,27,30,6,3,1,5,7,0,1,21,0,21,4,"CFH",189,69
40,62,25,173,65,44,123,30,47,136,79,44,95,3,100,9,214,69,10,219,199,132,55,72,"FUCA2",963,1082
69,481,29,469,150,34,498,33,213,845,158,84,60,24,696,84,927,447,13,1788,1253,418,420,286,"GCLC",3123,6356
146,343,51,708,121,47,417,81,174,511,228,110,71,39,625,58,817,241,44,841,708,232,225,369,"NFYA",3008,4199
12,45,1,27,7,5,14,8,6,49,13,11,8,3,48,19,31,38,5,103,64,21,40,32,"STPG1",206,404
64,98,34,448,94,39,170,33,139,286,81,18,109,10,146,20,358,163,2,475,420,154,107,135,"NIPAL3",1613,1990
174,322,87,639,166,43,230,57,173,839,169,122,128,63,547,83,646,279,57,1185,818,401,178,344,"LAS1L",3149,4601
33,32,2,84,0,0,21,4,20,15,15,7,3,8,26,2,74,11,7,47,23,19,8,25,"ENPP4",236,250
120,101,106,100,123,86,58,36,29,50,87,103,90,40,16,3,54,97,45,65,62,15,129,95,"SEMA3F",1089,621
45,109,65,192,105,29,134,39,45,255,41,69,56,9,155,11,197,98,5,318,231,110,99,62,"ANKIB1",1184,1295
34,39,14,95,68,19,56,14,49,115,61,27,22,9,50,10,155,41,5,112,60,68,104,67,"CYP51A1",613,681
9,73,13,121,19,5,39,5,34,110,31,18,23,4,143,27,221,57,22,253,136,50,54,36,"KRIT1",500,1003
30,57,25,151,33,8,46,16,31,209,32,26,78,12,147,9,167,66,9,248,262,65,60,74,"RAD52",742,1119
0,0,0,0,0,5,5,0,0,0,0,11,4,0,2,0,11,0,0,0,0,8,0,0,"MYH16",25,21
