"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"gene_type"
"MAGED1"	1.02280559266092	7.09566303389853	52.815398669888	1.38007879762191e-09	3.19653851105186e-05	"up"
"FSTL3"	1.20383717831682	5.26465341542929	48.8226882555064	3.96936365185475e-09	4.59692004521299e-05	"up"
"CPXM1"	1.73582247592489	5.46770305856403	57.756483508263	1.04077219475777e-08	6.10058802958794e-05	"up"
"ADAM12"	2.22273647700912	5.06000738096407	62.7119795549093	1.05355116649477e-08	6.10058802958794e-05	"up"
"FGFRL1"	0.92245083891132	6.77415793718647	44.1478292965227	1.44484715143911e-08	6.69310994432654e-05	"ns"
"RBP4"	1.53833650026542	5.17363990666188	48.061054390805	2.81324771089146e-08	0.00010860073913278	"up"
"MXRA7"	0.998766406735329	5.4249505638909	39.4781004823059	5.60557937526042e-08	0.000185480613556831	"ns"
"ANXA2"	0.777716374043945	6.79972613772584	36.879179768573	1.22948742090284e-07	0.000355967345536893	"ns"
"TRPS1"	0.976632018962644	5.87107204069497	34.8600546766725	2.34687874779835e-07	0.000603982283961172	"ns"
"ITGA5"	0.674315527931719	8.72758050033915	34.0199402860382	2.9991821962808e-07	0.000654716424450635	"ns"
"STMN2"	4.49253744796765	1.72653194583606	34.8386809916969	3.1093518128646e-07	0.000654716424450635	"up"
"SULF2"	0.766437022392159	7.23986423862331	33.5300224405415	3.50499918781059e-07	0.000676523259900575	"ns"
"HHIPL1"	1.64808804463852	5.60205379956063	43.1981659578719	4.76183402487795e-07	0.000848412305263254	"up"
"TRPV4"	1.60655795163568	5.79284981640447	41.7419658985279	6.83881549995606e-07	0.00108813983108507	"up"
"IL1R1"	0.723072760734604	6.52869369874502	31.3541785833302	7.08292974723029e-07	0.00108813983108507	"ns"
"TIMP1"	1.17701733236316	8.44122549219405	40.5955907870558	7.51672450451648e-07	0.00108813983108507	"up"
"VCAN"	1.00522179182062	8.28500144538343	35.9784628905432	1.09418494394505e-06	0.00143576184909582	"up"
"ANKH"	0.942184104969641	8.30217122595728	34.6751788008226	1.13807934618679e-06	0.00143576184909582	"ns"
"COL6A1"	2.08456200922148	11.0347936731844	43.1406847035748	1.2096302477905e-06	0.00143576184909582	"up"
"INHBA"	1.5932777400216	6.76312809777577	41.2743412003797	1.28847753750558e-06	0.00143576184909582	"up"
"MAGED2"	0.761990540414575	7.13647223321312	29.3888999894341	1.35946462396016e-06	0.00143576184909582	"ns"
"COL6A2"	1.94362337984481	11.4482985705886	42.1375764204403	1.44247754904477e-06	0.00143576184909582	"up"
"OLFML3"	1.04766750964306	6.65030691990534	33.7787118306256	1.45850774594049e-06	0.00143576184909582	"up"
"PLOD1"	0.930189846006123	7.08258724356392	32.2273901902567	1.48770764089024e-06	0.00143576184909582	"ns"
"NIBAN2"	0.666709508674793	8.14668485009304	28.742182463161	1.69085910603918e-06	0.00156654714456318	"ns"
"NEBL"	1.53652101216638	3.78974794911224	28.0172351669394	2.16399242852673e-06	0.00187503394117242	"up"
"SMOC1"	1.74701494345188	6.93266657107179	39.4504819717425	2.19972349780107e-06	0.00187503394117242	"up"
"COL6A3"	2.28576840378521	11.278826705671	39.6400547675588	2.26668467113496e-06	0.00187503394117242	"up"
"RARG"	0.901383383212692	6.03444511244861	28.53966877627	2.41685286109061e-06	0.00192860090503419	"ns"
"ROBO1"	1.22091275146482	5.10230608740154	30.3381775397464	2.49797198648759e-06	0.00192860090503419	"up"
"PYCR1"	1.06867368408672	5.15225334301381	28.043036334161	2.84635188511268e-06	0.00208679766323043	"up"
"PFKP"	0.716949522487207	6.94050115916875	27.13360234536	2.93254321010806e-06	0.00208679766323043	"ns"
"CSMD2"	2.22960697965803	4.23689774858546	34.3561771733695	2.98229970756072e-06	0.00208679766323043	"up"
"ALPL"	1.36370118607767	7.53227513816345	36.5710335876385	3.06325535574797e-06	0.00208679766323043	"up"
"ANOS1"	1.73945706865149	3.53095879814022	26.8049637245196	3.41430974820717e-06	0.00221867346110601	"up"
"AEBP1"	1.70727199936341	9.78865365092187	37.3844768883991	3.44841743371972e-06	0.00221867346110601	"up"
"COL3A1"	2.5482175246367	13.5948668441694	37.2332669087676	3.5663763142006e-06	0.00223255157268958	"up"
"COL7A1"	1.83833488536004	6.24789176525744	36.4851973903722	3.92155634583629e-06	0.00234588742549558	"up"
"FSTL1"	1.43018397246002	7.86693048162425	36.0353940214724	3.9499874619777e-06	0.00234588742549558	"up"
"FAM117A"	-0.717066590441514	6.81940851872969	25.8601477489205	4.57318678621403e-06	0.00250962550944871	"ns"
"BAIAP2L1"	1.92143560595351	3.03917131012041	25.8563251030024	4.57934349146714e-06	0.00250962550944871	"up"
"PTGES"	1.62667345445291	6.0172289490616	34.857067188646	4.62161585061944e-06	0.00250962550944871	"up"
"ADCY2"	1.69827290056317	3.25647009196197	25.7882668589789	4.69041018506033e-06	0.00250962550944871	"up"
"CD63"	0.612417157421998	7.78386146671476	25.7420393093489	4.76744333027127e-06	0.00250962550944871	"ns"
"ANK3"	1.05671975071206	4.58113202775985	25.6255613150819	4.96742428666496e-06	0.00255296090671909	"up"
"HTRA3"	1.3326465478179	5.91989674007825	32.1794639746001	5.07020990022787e-06	0.00255296090671909	"up"
"VSTM4"	1.07715334738406	4.87945362762142	25.9376369631511	5.1977301406143e-06	0.00255471239603871	"up"
"GLIS3"	1.4838565825213	6.09216453102772	33.7074961407617	5.29428352516441e-06	0.00255471239603871	"up"
"SERPINE2"	1.54217291189534	6.12440012431258	33.7213609240803	5.62428880316649e-06	0.00261557324513964	"up"
"B4GALNT3"	0.858957593946774	5.22729375960688	25.2636571062676	5.64625948782412e-06	0.00261557324513964	"ns"
"LOXL3"	0.797914288957628	5.63076674860817	25.0678578488071	6.05303732373579e-06	0.00274579973254709	"ns"
"CALU"	1.03304904757797	4.65978425344128	25.0165997330961	6.16447569693673e-06	0.00274579973254709	"up"
"FGD2"	-0.819723358135911	5.68449841150882	24.9177391870432	6.38546523499764e-06	0.00275350889722872	"ns"
"GOLM1"	1.22113622258569	5.71068979489284	29.7330385826636	6.46624524468032e-06	0.00275350889722872	"up"
