"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Leydig Precursor Cell Fetal Gonad Human","34/221",2.55643589565425e-24,1.71281205008835e-21,0,0,13.0882254277088,710.997273916842,"FBN2;SRPX;C1S;FBLIM1;C1R;ELN;STC1;GLT8D2;HIF3A;NDRG2;MRC2;PLAC9;C7;MDK;CYP1B1;TIMP3;CPXM1;IGFBP4;RARRES2;MMP2;CLEC11A;TPM1;BGN;DCN;COL1A1;SMOC2;COL3A1;COL5A1;COL6A2;COL5A2;ITGA11;CDH11;COL6A1;CERCAM"
"DCLK1+ Progenitor Cell Large Intestine Human","24/97",1.28561238713014e-22,4.30680149688598e-20,0,0,22.9575391215327,1157.18938050779,"SRPX;COL16A1;SPARC;C1S;C1R;MMP2;CLEC11A;PCOLCE;FBLN1;DCN;COL1A1;MRC2;VCAN;COL3A1;COL1A2;FNDC1;C7;COL5A1;BASP1;C1QTNF6;COL5A2;CERCAM;COL8A1;CPXM1"
"Fibroblast Skin Mouse","22/90",1.05465886963986e-20,2.35540480886236e-18,0,0,22.437850758678,1032.10713014684,"OLFML2B;PRRX1;ELN;MMP2;RARRES2;CRABP1;IGF2;PCOLCE;FBLN1;ANTXR1;DCN;COL1A1;PLAC9;COL3A1;COL1A2;COL6A2;COL6A1;COL5A2;TMEM119;CYP1B1;COL6A3;CPXM1"
"Schwalie Et al.Nature.G2 Adipose Tissue Mouse","28/189",9.59063989636328e-20,1.60643218264085e-17,0,0,12.2643227122901,537.065904201667,"COL18A1;FKBP10;SRPX;BTG2;IGSF3;PTH1R;MDK;CTSK;ALX4;EMILIN1;SLIT2;SCARF2;CCDC50;COL27A1;P3H3;RHOB;COL1A1;MMP14;COL3A1;COL1A2;COL5A3;COL6A2;ADAM12;COL5A2;CDH11;TMEM119;SDC1;GAS1"
"Medullary Cell Kidney Mouse","26/166",4.89924698253571e-19,6.56499095659785e-17,0,0,13.0166410650282,548.782046146168,"COL16A1;SPARC;FBLIM1;THBS1;BASP1;GLIPR2;TIMP3;TEAD1;IGFBP4;CAVIN2;RARRES2;MMP2;TPM1;FN1;BGN;PCOLCE;DCN;COL1A1;SMOC2;COL3A1;COL1A2;COL5A1;CDH11;COL6A1;MYL9;MGLL"
"Schwalie Et al.Nature.G1 Adipose Tissue Mouse","24/189",1.60161877130574e-15,1.78847429462474e-13,0,0,10.1093497250081,344.402915807141,"CADM3;OLFML2B;PRRX1;RARRES2;MMP2;FHL1;AHNAK2;FN1;GLT8D2;PLAT;FBLN1;PCSK6;KLF4;ANTXR1;SFRP4;CLEC3B;BMP1;FNDC1;BASP1;ITGA11;NBL1;SPTBN1;MGLL;LIMS2"
"Matrix Fibroblast Lung Mouse","22/156",2.67847472045534e-15,2.56368294672154e-13,0,0,11.3480829070197,380.768227741296,"COL16A1;GSN;FBLIM1;GPX3;FHL1;FN1;BGN;P3H4;PCOLCE;NDRG2;COL1A1;MRC2;COL3A1;COL6A2;ADAMTS17;COL5A2;CDH11;COL6A1;TMEM119;COL6A3;EMILIN1;SLIT2"
"Fibroblast Heart Mouse","12/28",3.11745707589881e-15,2.61087030106525e-13,0,0,50.372866894198,1682.54234831107,"COMP;COL1A1;COL3A1;SPARC;GSN;COL1A2;MMP2;BGN;FN1;PTN;FMOD;DCN"
"Fibrocartilage Chondrocyte Articular Cartilage Human","19/111",5.70299248120016e-15,4.24556106933789e-13,0,0,14.1554043782305,464.265914497216,"NOTCH3;COL18A1;SRPX;OLFML2B;PRRX1;MMP2;CLEC11A;TPM1;EPHX1;PTN;DKK3;COL1A1;COL1A2;COL5A1;CCN5;CERCAM;TMEM119;COL6A3;MYL9"
"Schwalie Et al.Nature.P2 Adipose Tissue Mouse","21/178",4.28085618009997e-13,2.86817364066698e-11,0,0,9.20198259621423,262.0674324868,"GGT5;EGR1;COL18A1;BTG2;SPRY4;THBS1;ZFP36;COL3A1;MDK;COL5A3;COL6A2;IRF1;GPC1;COL5A2;CDH11;COL6A1;ALX4;SDC1;COL6A3;SLIT2;ATF3"
