"genes"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"CPXM1"	2.30368288367196	5.48073489407911	98.1661805579673	3.89469453264295e-23	9.16694252148171e-19
"FNDC1"	1.60203323797936	7.78605493474344	95.8300519021148	1.3093252666763e-22	1.540879440088e-18
"SCUBE3"	2.4255859719385	4.83975466220426	77.9526350777014	1.06203729357413e-18	8.33239059295145e-15
"THY1"	1.44618197956641	7.46613818526466	76.6516710430064	2.05123659407571e-18	1.11666377670781e-14
"AEBP1"	1.25754529666356	10.01469211096	78.0407864293313	2.37214550857757e-18	1.11666377670781e-14
"COL16A1"	1.41181209745762	8.51661926436665	77.4966852312501	1.18157413468338e-17	4.63511840134044e-14
"ALPL"	1.33295948605229	7.80679663185161	70.1528803707664	5.51506462241366e-17	1.85440108596786e-13
"VCAN"	1.30146210620923	7.70112694417171	65.5493160893579	5.69205403635763e-16	1.67467344817187e-12
"COL6A2"	1.35573833452043	11.6805857145881	83.9944937936312	1.30999903919846e-15	3.42593859840157e-12
"COL11A1"	1.42783891186385	8.28608356684897	71.5418081582157	1.50902449400489e-15	3.55179095153932e-12
"MMP9"	1.110710257977	9.34313726414862	57.9373470178774	2.8238135320907e-14	6.04219082771081e-11
"NLRP3"	-1.23302346487247	7.5629203443663	57.5053554527301	3.38175378808218e-14	6.63302824250751e-11
"INHBA"	1.41710494034226	6.42250624832608	54.4374677414523	1.84606186707837e-13	3.3423660127249e-10
"CKB"	1.24918065897656	6.96134741688398	52.4553944624913	4.4172297631767e-13	7.42630978113499e-10
"COL5A3"	1.15402673309701	8.11201773124409	52.1971209064321	6.96652316587043e-13	1.09314037170062e-09
"LOXL2"	1.12073653702155	7.29582881766593	46.7924532407787	7.90908080894284e-12	1.16347521875055e-08
"ADAM12"	1.72038348393122	5.03791972761525	46.4877125664356	9.24721245982687e-12	1.28030376274674e-08
"OLFML2B"	1.06676085361826	7.75708969714794	43.9393552620359	3.39893300700158e-11	4.24347275848561e-08
"MMP14"	1.03381154583063	8.49866883063235	44.2681962452301	3.42549952887907e-11	4.24347275848561e-08
"COL15A1"	0.966520464405658	9.09893574425857	43.5939065745107	4.07092947839576e-11	4.68266704291967e-08
"COL5A1"	1.37259192967465	11.1173762499525	64.2137923337396	4.348193768307e-11	4.68266704291967e-08
"APCDD1L"	2.36894592721558	4.42043541697368	46.948993283636	4.37688214063954e-11	4.68266704291967e-08
"EMILIN1"	1.00084419946133	8.30070395877237	43.318007099882	4.66164183134948e-11	4.77048103410751e-08
"FSTL1"	1.02233326268998	7.94278880441078	41.9882609484419	9.211662687021e-11	9.03395436101722e-08
"MT1G"	1.72735354672353	6.84562985460789	57.2758734511048	1.04695447651066e-10	9.85686700545256e-08
"LBP"	1.90580403816262	4.59639095143666	41.3920481504892	1.24884189098916e-10	1.13053813800815e-07
"LRRC15"	1.15668153209231	7.33593530637682	42.7481675074508	1.58666247105044e-10	1.38315831781904e-07
"ACP5"	1.04568371653648	7.5430427981046	40.6214783813546	1.85375022162459e-10	1.55827567737064e-07
"LINC00511"	1.51326577779697	5.31817289177805	40.4628435391102	2.12244097567426e-10	1.72261700842914e-07
"SMOC1"	1.10719976262272	7.18011730604325	40.6290991030828	2.2508754571361e-10	1.76596185448708e-07
"SPARC"	0.797867875787603	11.5146467870554	38.9946650606251	4.26507756931689e-10	3.2382945402907e-07
"CAVIN2"	-1.07957152326177	6.85484169332389	38.775709403408	4.76133093924832e-10	3.50210769740899e-07
"HTRA3"	1.21813388274043	6.12850247391094	38.6235556657058	5.16519817335748e-10	3.68403846685803e-07
"COL4A1"	0.839401085861478	10.1283089915342	37.2157799929472	1.06271885419377e-09	7.35682755034083e-07
"PRSS23"	1.13722551011871	6.49217112123423	37.0576987421593	1.23344820863635e-09	8.29476299619251e-07
"GPC1"	1.06695357671932	6.7543769553158	36.8004901684816	1.31071186488939e-09	8.56950698997264e-07
"PTGES"	1.33520509502165	6.23190513241722	39.332724356906	1.58434899896797e-09	1.0078600645597e-06
"COL12A1"	1.21782733040838	8.27769658476072	43.3126217561385	1.99058671792996e-09	1.23295893631362e-06
"COL5A2"	1.26901029683592	10.185192859847	48.5895442326571	3.47368459350244e-09	2.09641318659659e-06
"LCP2"	-1.05648902548263	6.68448983840916	34.5942294894595	4.0736821326586e-09	2.39705640890964e-06
"CAVIN3"	1.03801572628127	6.72893125914967	34.5440835560281	4.17578748896083e-09	2.39720756408954e-06
"COL7A1"	1.52557250407358	6.42272730302459	42.7764888326773	4.66380315892218e-09	2.57772380619953e-06
"TMEM119"	0.994221487072296	7.1695912170441	34.3103226531374	4.7092715157658e-09	2.57772380619953e-06
"MXRA5"	0.930459811974904	8.1472766943664	34.3947241705499	4.91066436885667e-09	2.62687061931317e-06
"IGHV1-2"	-1.03773318343867	6.94837192978801	33.9670799097858	5.8766592339689e-09	3.07375396422058e-06
"PRAM1"	-1.79323558942345	4.7025537449478	33.7600699863173	6.24922084976406e-09	3.19756328567167e-06
"HHIPL1"	1.17927218472157	5.93364991319467	33.4141472448315	7.53041799940384e-09	3.76710651334037e-06
"MELTF"	0.965067658458621	7.42027628695077	33.3806205526105	7.68241970685889e-09	3.76710651334037e-06
"SMOC2"	1.20873751727613	7.56437164179973	38.4353882461431	1.14548370550787e-08	5.50229591357936e-06
"CCL3"	-0.897058806047389	7.84024961283777	32.5115998757133	1.18611551222425e-08	5.58352016224445e-06
"ITGAM"	-1.07313473706685	6.36467240661852	32.430028848945	1.23787810910698e-08	5.71292883412765e-06
"ABCA13"	-2.4126572148012	4.21627630849762	32.439805210749	1.27023460789819e-08	5.74952153194226e-06
"COL4A2"	0.777608938645452	10.2253419885234	32.2923670615607	1.33268314390375e-08	5.91837040718161e-06
"SERPINE2"	1.12349426409481	6.20824702436026	31.8342081820347	1.83176221077555e-08	7.98410873241186e-06
"ADAMTS2"	1.08033105238298	7.55669976579305	34.6952216595906	2.00097207619379e-08	8.56306904679511e-06
"EDIL3"	1.33837777631685	5.22936633049288	31.4003097913601	2.10303602769604e-08	8.83913553283602e-06
"SPON1"	1.25664015152243	5.33511391777567	31.3001875080212	2.21280697719707e-08	9.08228937507245e-06
"CHPF"	0.944123622381038	7.39111977002644	31.398378990375	2.23806255578112e-08	9.08228937507245e-06
"ADGRG3"	-1.43454224191916	5.66301085539849	33.2576361604261	2.43949554462753e-08	9.73193332777936e-06
