"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Schwalie Et al.Nature.G2 Adipose Tissue Mouse","37/189",1.35506239939484e-25,1.30357002821784e-22,0,0,12.616350877193,722.422089715428,"COL18A1;FKBP10;SRPX;LRRC15;BTG2;COL15A1;SERPINE1;IRS2;PTMS;LGALS1;SH3PXD2A;MDK;CTSK;ALX4;EMILIN1;TIMP1;SCARF2;PHLDA3;CTHRC1;COL27A1;TPBG;MMP14;COL3A1;COL4A2;COL4A1;PALLD;COL5A3;COL6A2;ADAM12;COL5A2;MFAP2;TMEM119;SDC1;ANGPTL2;GAS1;VWA1;ANGPTL4"
"Leydig Precursor Cell Fetal Gonad Human","38/221",4.06718292158488e-24,1.95631498528233e-21,0,0,10.7739399783759,580.274620499748,"SRPX;COL15A1;SERPINE2;C1S;C1R;THY1;HIF3A;PLOD1;FSTL1;ZFP36L2;LOXL2;MRC2;EFEMP2;ABLIM1;OLFML3;MDK;SERPINH1;CPXM1;IGFBP4;MMP2;BGN;INHBA;SULF1;DCN;SMOC2;COL3A1;SELENOM;COL5A1;COL6A2;PXDN;COL5A2;ITGA11;COL6A1;MFAP2;MXRA8;CERCAM;ITM2C;FBN1"
"DCLK1+ Progenitor Cell Large Intestine Human","26/97",4.84642207020777e-22,1.55408601051329e-19,0,0,18.5157264832518,908.72651389067,"SRPX;SPON1;COL16A1;SPARC;C1S;C1R;TMEM59L;FBLN1;MRC2;ADAMTS2;CPXM1;ZNF469;GPC6;CTHRC1;FZD1;MMP2;PCOLCE;DCN;SFRP1;VCAN;COL3A1;CCDC80;FNDC1;COL5A1;COL5A2;CERCAM"
"Fibroblast Skin Mouse","24/90",2.214607631429e-20,3.88231524034302e-18,0,0,18.2961574507966,828.022366215112,"OLFML2B;PRRX1;MMP2;PCOLCE;FBLN1;THY1;SULF1;ANTXR1;NID2;DCN;PAPSS2;ADAMTS2;COL3A1;CCDC80;PALLD;OLFML3;COL6A2;COL6A1;COL5A2;MXRA8;TMEM119;CPXM1;CD248;FBN1"
"Paneth Cell Large Intestine Human","40/314",2.31764363128025e-20,3.88231524034302e-18,0,0,7.57946785966565,342.67646489131,"C1QA;CD83;ITGAM;NCF2;EBI3;C5AR1;FGL2;SLA;TNFAIP3;IRS2;ARRB2;TNF;STX11;THBD;NAMPT;STAB1;CCL4;PDE4B;CCL3;NLRP3;ACP5;HLA-DPA1;CD74;CD163;RHBDF2;OSM;PLAUR;INHBA;TNFRSF1B;MMP9;LILRB5;FMNL1;NR4A3;FCGR2A;IL1B;CD300E;HLA-DRA;LCP2;SIGLEC1;DNASE1L3"
"Monocyte Fetal Kidney Human","63/796",2.42140243680438e-20,3.88231524034302e-18,0,0,4.6434169738524,209.730862723487,"BTG2;CDKN1A;VIPR1;SERPINA1;ITGAM;SPARC;CD83;NCF2;HP;SLA;TNFAIP3;ADM;ARRB2;ETS2;HK3;ZFP36;LGALS1;TRPS1;NAMPT;TIMP1;IER2;KDM6B;TPI1;ANXA2;TNFRSF12A;SLC11A1;PLAUR;TNFRSF1B;HLA-E;FGR;VCAN;PKM;IL1B;CD300E;RIN3;TRIB1;PTGES;PPP1R15A;CEBPD;FGL2;C5AR1;PRAM1;STX11;RASGRP4;NLRP3;CD74;HLA-DRB5;JUND;NIBAN2;PRRX1;IL10RA;OSM;KLF4;FMNL1;FCGR2A;THEMIS2;P2RX1;FOSB;HLA-DRA;MELTF;NFKBID;MYO1F;MYO1G"
"Medullary Cell Kidney Mouse","27/166",8.00937437006027e-17,1.100716877714e-14,0,0,9.8126319723442,363.688855513167,"COL15A1;COL16A1;SPARC;SDC2;THY1;PRSS23;FSTL1;EFEMP2;LGALS1;OLFML3;TRPS1;IGFBP4;CAVIN2;MMP2;IGFBP2;BGN;PCOLCE;DCN;SMOC2;SFRP1;COL3A1;CCDC80;COL4A2;COL5A1;COL4A1;PALLD;COL6A1"
"Microglial Cell Embryonic Prefrontal Cortex Human","43/476",3.7831088567651e-16,4.54918840026003e-14,0,0,5.15509115830188,183.061490324674,"ARHGAP9;RYR1;C1QA;BTG2;SERPINA1;ITGAM;CD83;CEBPD;MAGED1;CCL4L2;C5AR1;PDGFB;FBLN1;ARRB2;ADRB2;ZFP36L2;ARHGAP4;ZFP36;OLFML3;MDK;CCL4;STAB1;CCL3;PDK4;IER2;PAG1;CD74;JUN;IL10RA;RHBDF2;SOX11;FOS;TMC6;TNFRSF1B;KLF2;HLA-E;NR4A1;FCGR2A;B3GNT5;TMEM119;FOSB;MYO1F;ITM2C"
"Fibrocartilage Chondrocyte Articular Cartilage Human","22/111",8.14480115260828e-16,8.7058874542324e-14,0,0,12.358916738692,429.397976501383,"COL18A1;SRPX;LRRC15;ECM1;OLFML2B;PRRX1;MMP2;CAVIN3;THY1;SULF1;PRSS23;ZFP36L2;DKK3;COL4A2;COL5A1;COL4A1;OLFML3;CERCAM;MXRA8;SERPINH1;TMEM119;FBN1"
"Schwalie Et al.Nature.P2 Adipose Tissue Mouse","26/178",4.43670964552093e-15,4.26811467899113e-13,0,0,8.61289882737933,284.646516514221,"COL18A1;BTG2;COL15A1;TNFAIP3;IRS2;ZFP36;SH3PXD2A;MDK;GPC1;ALX4;GGT5;COL3A1;COL4A2;COL4A1;PALLD;COL5A3;COL6A2;COL5A2;COL6A1;SDC1;ANGPTL2;FOSB;ROR2;ANGPTL4;TRIB1;ATF3"
