"MeanDecreaseGini","Gene"
"LRRC8E",0.523307468789194,"LRRC8E"
"FN1",0.0163222646918299,"FN1"
"COL6A3",0.0389016556972439,"COL6A3"
"IGFBP1",0.00268333333333333,"IGFBP1"
"MGP",0.0246404618257559,"MGP"
"CLCF1",0.0024,"CLCF1"
"ALAD",0,"ALAD"
"ECM1",0.0236219308168612,"ECM1"
"MAGED1",0,"MAGED1"
"TIMP1",0.0678226517462586,"TIMP1"
"COL3A1",0,"COL3A1"
"GFPT2",0.0114546568627451,"GFPT2"
"CRLF1",0.0236435496048499,"CRLF1"
"GLIS3",0.0471952580314422,"GLIS3"
"SULF2",0.00177777777777778,"SULF2"
"HTRA1",0.00766868686868687,"HTRA1"
"STMN2",0.0298036462505503,"STMN2"
"CEMIP",0.0455955513784461,"CEMIP"
"FKBP10",0.00561488095238095,"FKBP10"
"COL6A2",0.0270325163398693,"COL6A2"
"CHI3L2",0.0526999183006536,"CHI3L2"
"GDF6",0.00423743315508021,"GDF6"
"AEBP1",0.00403712121212121,"AEBP1"
"CSMD2",0.0202385822510823,"CSMD2"
"COL5A2",0.00075,"COL5A2"
"CERCAM",0.0317798777203189,"CERCAM"
"TRPS1",0.0645522355095885,"TRPS1"
"BLVRB",0.00268787878787879,"BLVRB"
"FMOD",0.0201623737373737,"FMOD"
"COL6A1",0,"COL6A1"
"COL5A1",0.00653333333333333,"COL5A1"
"FGFRL1",0.0484091254935295,"FGFRL1"
"KIAA1755",0.0170498608374769,"KIAA1755"
"COL15A1",0,"COL15A1"
"UGDH",0.00323809523809524,"UGDH"
"PRELP",0.00187450980392157,"PRELP"
"AOC2",0.0444347777437561,"AOC2"
"ENSG00000280073",0.0194555479608111,"ENSG00000280073"
"SLC38A3",0.2048700679953,"SLC38A3"
"NT5E",0.0155770308123249,"NT5E"
"TNFRSF11B",0.0182629468055165,"TNFRSF11B"
"TNFRSF12A",0,"TNFRSF12A"
"GEM",0.00539597953216374,"GEM"
"COL27A1",0.000933333333333334,"COL27A1"
"RASL12",0.000941176470588236,"RASL12"
"SLC39A14",0,"SLC39A14"
"AHNAK2",0.0158166666666667,"AHNAK2"
"MXRA5",0.0503247782446312,"MXRA5"
"ENSG00000255301",0.0254935064935065,"ENSG00000255301"
"NSD2",0,"NSD2"
"HTRA3",0.0009375,"HTRA3"
"MCM7",0.0244109593837535,"MCM7"
"GOLM1",0.00494035087719298,"GOLM1"
"HAGH",0,"HAGH"
"GPRC5A",0.0069218487394958,"GPRC5A"
"UROD",0.000916666666666667,"UROD"
"HMCN1",0,"HMCN1"
"HHIPL1",0.00568888888888889,"HHIPL1"
"CRTAC1",0.0066125,"CRTAC1"
"APCDD1L",0.0232513888888889,"APCDD1L"
"EDIL3",0.0156181020733652,"EDIL3"
"PRDX2",0.00274285714285714,"PRDX2"
"TOX3",0.0125766034404192,"TOX3"
"FAM117A",0,"FAM117A"
"MN1",0.0183867167919799,"MN1"
"GAS1",0.0107536541889483,"GAS1"
"CHPF",0.00274285714285714,"CHPF"
"RILP",0.0172441359079517,"RILP"
"MYL4",0.00169230769230769,"MYL4"
"IGFBP6",0,"IGFBP6"
"PKLR",0.0147257917521075,"PKLR"
"ADAMTS6",0.0372692226890756,"ADAMTS6"
"DCN",0.000666666666666667,"DCN"
"PRSS23",0.0137175213675214,"PRSS23"
"CPXM1",0.0715030700079075,"CPXM1"
"NDUFA4L2",0.0018,"NDUFA4L2"
"PLOD1",0.0111404634581105,"PLOD1"
"CHST6",0.0175209383753501,"CHST6"
"CD109",0.0174407091097309,"CD109"
"SMOC1",0,"SMOC1"
"SMOC2",0.00891640494008915,"SMOC2"
"BGN",0.0172429038281979,"BGN"
"PRRX1",0.00695416666666667,"PRRX1"
"LRRC15",0.069406220821662,"LRRC15"
"COMP",0.00495,"COMP"
"ABI3BP",0.0409871623259781,"ABI3BP"
"TAL1",0.00677619047619048,"TAL1"
"KIF22",0,"KIF22"
"RCN3",0.00986554352510235,"RCN3"
"PAM",0.0139827813741126,"PAM"
"PTPRD",0.0174159222614331,"PTPRD"
"BMP1",0.0932377195173248,"BMP1"
"TREM2",0.0311848031397567,"TREM2"
"TLCD4",0.00926299019607843,"TLCD4"
"ENSG00000227959",0.0171489661654135,"ENSG00000227959"
"KAZALD1",0.0479289963943417,"KAZALD1"
"ADAM12",0.0289117352204039,"ADAM12"
"SNED1",0.0211684194890077,"SNED1"
"BHLHE40",0.0458590171079874,"BHLHE40"
"CREB3L1",0.00273260073260073,"CREB3L1"
"TGFBI",0.0390948179271709,"TGFBI"
"CHST14",0.00735714285714285,"CHST14"
"NGEF",0.00699269162210339,"NGEF"
"ACSS1",0.0223437585290526,"ACSS1"
"CTNNB1",0.141697906041327,"CTNNB1"
"KIF26A",0.00841974789915966,"KIF26A"
"H1.2",0.00342307692307692,"H1.2"
"SURF4",0.0273126927595968,"SURF4"
"COL1A2",0,"COL1A2"
"FSTL3",0.0286368568480024,"FSTL3"
"CD276",0.0355789321789322,"CD276"
"IL11",0,"IL11"
"MRC2",0.00568888888888889,"MRC2"
"CROCCP2",0.00153725490196078,"CROCCP2"
"TANGO2",0.00433333333333333,"TANGO2"
"ITGA11",0.00171428571428571,"ITGA11"
"ADGRG2",0.0106603668261563,"ADGRG2"
"ITGA5",0.00789819401444788,"ITGA5"
"PPOX",0.0016,"PPOX"
"DKK3",0.00830416666666667,"DKK3"
"SLC1A1",0.00735059523809524,"SLC1A1"
"PCOLCE",0.0210635854341737,"PCOLCE"
"COL11A1",0.00821666666666667,"COL11A1"
"PTGES",0.00889623719933317,"PTGES"
"SULF1",0.0106458333333333,"SULF1"
"MIR31HG",0,"MIR31HG"
"INCENP",0.0103986215538847,"INCENP"
"C1QTNF8",0.00173333333333333,"C1QTNF8"
"FGFBP2",0.000933333333333334,"FGFBP2"
"TFRC",0.000928571428571429,"TFRC"
"TPBG",0,"TPBG"
"PLA2G2A",0.0278714598997494,"PLA2G2A"
"C20orf27",0.192676944520907,"C20orf27"
"DMTN",0.00696666666666667,"DMTN"
"PF4",0.00659393939393939,"PF4"
"POSTN",0.0151208589655958,"POSTN"
"FOXC2",0.0177886904761905,"FOXC2"
"CPXM2",0.00075,"CPXM2"
"TSPAN17",0.0456344590050472,"TSPAN17"
"SERPINE1",0.0179190817953976,"SERPINE1"
"CLU",0.00412857142857143,"CLU"
"THBS2",0.0129438596491228,"THBS2"
"SGCD",0.0218863095238095,"SGCD"
"EGFL6",0.00432424242424242,"EGFL6"
"AHSP",0,"AHSP"
"EPOR",0.00935847953216374,"EPOR"
"SLC7A2",0.00375,"SLC7A2"
"UCP2",0.000923076923076923,"UCP2"
"RNF123",0,"RNF123"
"MIA",0,"MIA"
"LINC01839",0,"LINC01839"
"PLEKHH3",0.0311708886186053,"PLEKHH3"
"H1.0",0,"H1.0"
"DHRS13",0,"DHRS13"
"ETV4",0.00812312599681021,"ETV4"
"PIGQ",0,"PIGQ"
"GALNT2",0.0844915488922842,"GALNT2"
"ITGAV",0.0139625,"ITGAV"
"MRGPRF",0.00186974789915966,"MRGPRF"
"SSC5D",0.000958333333333334,"SSC5D"
"PPP1R14C",0,"PPP1R14C"
"CRISPLD2",0.000666666666666667,"CRISPLD2"
"SCARA3",0.00176470588235294,"SCARA3"
"RHD",0.00216666666666667,"RHD"
"NCAPD2",0,"NCAPD2"
"FNDC1",0.00656666666666667,"FNDC1"
"SLC43A1",0.0198102812177503,"SLC43A1"
"LMNB1",0.00466363636363636,"LMNB1"
"CHAF1A",0.0329111113946253,"CHAF1A"
"THY1",0,"THY1"
"TP53AIP1",0,"TP53AIP1"
"PRRX2",0,"PRRX2"
"CHPT1",0.0101903242955875,"CHPT1"
"NTN1",0.0027375,"NTN1"
"COL1A1",0,"COL1A1"
"ABCA2",0.233888954189982,"ABCA2"
"ABCB10",0.00697857142857143,"ABCB10"
"ANGPTL7",0,"ANGPTL7"
"SPARC",0,"SPARC"
"C14orf132",0.00415726817042606,"C14orf132"
"ENPP1",0.000933333333333334,"ENPP1"
"COL12A1",0,"COL12A1"
"FN3K",0,"FN3K"
"TSHZ3",0.00590375939849624,"TSHZ3"
"DLX4",0.00255,"DLX4"
"DYNC2I2",0.00855025799793602,"DYNC2I2"
"MCM5",0.00241666666666667,"MCM5"
"PLOD2",0.0199205882352941,"PLOD2"
"MFGE8",0,"MFGE8"
"TNFRSF10B",0.0124141863173395,"TNFRSF10B"
"MGAT3",0.0102853586171311,"MGAT3"
"PCSK1",0.0178600957049486,"PCSK1"
"ROBO1",0.0027687969924812,"ROBO1"
"EML1",0.015047184457307,"EML1"
"MARCHF8",0.000666666666666667,"MARCHF8"
"GALNT16",0.000941176470588236,"GALNT16"
"ZFYVE21",0.00168333333333333,"ZFYVE21"
"ADAMTS7P3",0.00974444444444445,"ADAMTS7P3"
"IMPA2",0.00186057692307692,"IMPA2"
"PMP22",0.00653333333333333,"PMP22"
"UBAC1",0,"UBAC1"
"SLC5A3",0.0469007823574774,"SLC5A3"
"XPO7",0.00853391812865497,"XPO7"
"CSPG4",0.000954545454545455,"CSPG4"
"GYPC",0,"GYPC"
"THBS3",0.000954545454545455,"THBS3"
"RAB6B",0.0439233013907317,"RAB6B"
"DCHS1",0.000952380952380953,"DCHS1"
"TNC",0.0127748006379585,"TNC"
"SPTB",0.0018,"SPTB"
"HMBS",0.000952380952380953,"HMBS"
"EXO1",0.0635737077679802,"EXO1"
"DPT",0.0168724736048265,"DPT"
"SLC25A39",0.00436538461538462,"SLC25A39"
"PAPSS2",0.0250456115779645,"PAPSS2"
"ARSI",0,"ARSI"
"H1.4",0.0201624542124542,"H1.4"
"KCNQ1OT1",0.00185,"KCNQ1OT1"
"ITGA10",0,"ITGA10"
"HNF1A.AS1",0.00169230769230769,"HNF1A.AS1"
"HYDIN2",0.00961164274322169,"HYDIN2"
"C1R",0,"C1R"
"MCM3",0.0028875128998968,"MCM3"
"RRBP1",0.00688462332301342,"RRBP1"
"SDC4",0.00175,"SDC4"
"SLC6A8",0,"SLC6A8"
"OSBP2",0,"OSBP2"
"GLI3",0,"GLI3"
"ANP32E",0.00176470588235294,"ANP32E"
"SLC2A12",0.0197398809523809,"SLC2A12"
"HSD3B7",0.000949999999999999,"HSD3B7"
"LOXL2",0.00180952380952381,"LOXL2"
"DNM1",0.00382132505175983,"DNM1"
"VPS13A",0.0392666845366536,"VPS13A"
"SLC22A17",0.0361201754385965,"SLC22A17"
"AMTN",0.00816224937343358,"AMTN"
"CLVS2",0,"CLVS2"
"ENSG00000227712",0,"ENSG00000227712"
"NIBAN2",0,"NIBAN2"
"CMPK2",0,"CMPK2"
"FGF10",0.0237358435681965,"FGF10"
"NBL1",0.0129714285714286,"NBL1"
"COL8A2",0.0120150183150183,"COL8A2"
"TRO",0.0211373205741627,"TRO"
"P3H4",0.0162516594516595,"P3H4"
"GFI1B",0,"GFI1B"
"PAX5",0.0017422619047619,"PAX5"
"SUV39H1",0.00666666666666667,"SUV39H1"
"ANP32B",0.0209795325417616,"ANP32B"
"MMP2",0.0257459665715673,"MMP2"
"ANOS1",0,"ANOS1"
"ENSG00000179342",0.0223112540710064,"ENSG00000179342"
"TIMELESS",0.00075,"TIMELESS"
"PRKCA",0.00187593984962406,"PRKCA"
"H1.3",0,"H1.3"
"ENSG00000197376",0,"ENSG00000197376"
"FBXO40",0.0009375,"FBXO40"
"CYP4F8",0,"CYP4F8"
"ANKH",0.0185245543672014,"ANKH"
"SLC4A1",0.00247272727272727,"SLC4A1"
"TRAM2",0.16184686585774,"TRAM2"
"ENSG00000286891",0.000944444444444445,"ENSG00000286891"
"ADD2",0,"ADD2"
"FEN1",0.0009375,"FEN1"
"AIPL1",0,"AIPL1"
"ATP7B",0.0275972599296129,"ATP7B"
"HMGB2",0,"HMGB2"
"CDON",0.00246428571428571,"CDON"
"PTH1R",0.0009375,"PTH1R"
"TPPP3",0.0371273561706611,"TPPP3"
"SERPINA3",0.0246549242424242,"SERPINA3"
"LRP2BP",0,"LRP2BP"
"ISLR",0,"ISLR"
"DACH2",0,"DACH2"
"FANCI",0.00680804424333836,"FANCI"
"PODNL1",0.00280416666666667,"PODNL1"
"IGSF3",0.0110981684981685,"IGSF3"
"CDCA5",0.0065625,"CDCA5"
"MCM10",0.00108333333333333,"MCM10"
"DDI2",0.00104761904761905,"DDI2"
"ELOVL4",0.00648809523809524,"ELOVL4"
"HSPA2",0.000666666666666667,"HSPA2"
"FHDC1",0.00485392156862745,"FHDC1"
"SCARA5",0.00268333333333333,"SCARA5"
"CNTNAP2",0.00471488095238095,"CNTNAP2"
"RTKN",0.0124187286397813,"RTKN"
"ZNF469",0.00996741854636592,"ZNF469"
"CAMK2B",0.0027008547008547,"CAMK2B"
"ABL2",0.0178052172543659,"ABL2"
"IL1R1",0.0125588880288958,"IL1R1"
"SGO1",0.00659444444444444,"SGO1"
"ZNF709",0.0009375,"ZNF709"
"HBD",0.00187307692307692,"HBD"
"TNFSF11",0.0534960219089476,"TNFSF11"
"P4HA3",0.00714281045751634,"P4HA3"
"CALU",0.0112105263157895,"CALU"
"TMEM45A",0.0015952380952381,"TMEM45A"
"TUBB1",0.00253947368421053,"TUBB1"
"CCN2",0.0024,"CCN2"
"SNAP25",0.00353486842105263,"SNAP25"
"E2F2",0.0156280157407092,"E2F2"
"VCAN",0.0531738997113997,"VCAN"
"H4C5",0,"H4C5"
"NT5M",0.00247058823529412,"NT5M"
"ANGPTL2",0.00650833333333333,"ANGPTL2"
"ADAMTS14",0.0274800999121651,"ADAMTS14"
"LRRC75A",0.018295879851143,"LRRC75A"
"CPEB2.DT",0.00270454545454546,"CPEB2.DT"
"XYLT1",0.0126913308913309,"XYLT1"
"H2AX",0.000949999999999999,"H2AX"
"CDK2AP1",0.0524932003454062,"CDK2AP1"
"FRAS1",0.0282953213453213,"FRAS1"
"ACKR3",0,"ACKR3"
"NID2",0.00919607843137255,"NID2"
"RAB3IL1",0.000954545454545455,"RAB3IL1"
"FECH",0.00171428571428571,"FECH"
"MYO1D",0,"MYO1D"
"TIAM2",0.0052,"TIAM2"
"MSMP",0.00320326797385621,"MSMP"
"HDHD3",0.0163358893557423,"HDHD3"
"LINC02636",0.0101468168527379,"LINC02636"
"ENSG00000255836",0.00187593984962406,"ENSG00000255836"
"RANBP10",0.000933333333333334,"RANBP10"
"SERPINA5",0.00773468296409473,"SERPINA5"
