"MeanDecreaseAccuracy","Gene"
"LRRC8E",0.0167309024309024,"LRRC8E"
"FN1",0.000210622710622711,"FN1"
"COL6A3",0.000334498834498835,"COL6A3"
"IGFBP1",-9.72222222222221e-05,"IGFBP1"
"MGP",-2.77777777777771e-06,"MGP"
"CLCF1",0,"CLCF1"
"ALAD",0,"ALAD"
"ECM1",-2.02020202020202e-05,"ECM1"
"MAGED1",0,"MAGED1"
"TIMP1",0.00051540404040404,"TIMP1"
"COL3A1",0,"COL3A1"
"GFPT2",0,"GFPT2"
"CRLF1",0.000153409090909091,"CRLF1"
"GLIS3",0.000473015873015873,"GLIS3"
"SULF2",1e-04,"SULF2"
"HTRA1",-5e-05,"HTRA1"
"STMN2",5.75396825396826e-05,"STMN2"
"CEMIP",0.000443560606060606,"CEMIP"
"FKBP10",0.000153846153846154,"FKBP10"
"COL6A2",-5.55555555555555e-05,"COL6A2"
"CHI3L2",0.000594683094683095,"CHI3L2"
"GDF6",-5.55555555555554e-06,"GDF6"
"AEBP1",-4.16666666666666e-05,"AEBP1"
"CSMD2",0.000161868686868687,"CSMD2"
"COL5A2",0,"COL5A2"
"CERCAM",0.000364141414141414,"CERCAM"
"TRPS1",0.00087755994005994,"TRPS1"
"BLVRB",0,"BLVRB"
"FMOD",0.000205555555555556,"FMOD"
"COL6A1",0,"COL6A1"
"COL5A1",0,"COL5A1"
"FGFRL1",7.6472138972139e-05,"FGFRL1"
"KIAA1755",0.000314393939393939,"KIAA1755"
"COL15A1",0,"COL15A1"
"UGDH",0,"UGDH"
"PRELP",0,"PRELP"
"AOC2",0.000387198912198912,"AOC2"
"ENSG00000280073",-4.99999999999999e-05,"ENSG00000280073"
"SLC38A3",0.00323491092241092,"SLC38A3"
"NT5E",0.000166666666666667,"NT5E"
"TNFRSF11B",0.000282051282051282,"TNFRSF11B"
"TNFRSF12A",0,"TNFRSF12A"
"GEM",0.000211111111111111,"GEM"
"COL27A1",4.16666666666666e-05,"COL27A1"
