"MeanDecreaseGini","Gene"
"COL16A1",0.000857142857142857,"COL16A1"
"AEBP1",0.00225,"AEBP1"
"FBLN1",0,"FBLN1"
"FNDC1",0.00174603174603175,"FNDC1"
"COL6A1",0.0280833333333333,"COL6A1"
"COL6A2",0.0145,"COL6A2"
"GAS1",0.00358333333333333,"GAS1"
"COL5A1",0,"COL5A1"
"COL5A2",0.0140416666666667,"COL5A2"
"MMP2",0.000833333333333333,"MMP2"
"COL3A1",0.0283833333333333,"COL3A1"
"CAVIN2",0.00508333333333333,"CAVIN2"
"COL27A1",0.0198166666666667,"COL27A1"
"EMILIN1",0.00525,"EMILIN1"
"COL10A1",0.01525,"COL10A1"
"COL18A1",0.00533333333333333,"COL18A1"
"DCN",0.00883333333333333,"DCN"
"ALPL",8e-04,"ALPL"
"CLDN5",0.00291666666666667,"CLDN5"
"COL11A2",0,"COL11A2"
"MRC2",0.00741666666666667,"MRC2"
"BGN",0.00575,"BGN"
"SMOC2",0.0128214285714286,"SMOC2"
"TINAGL1",0.00516666666666667,"TINAGL1"
"SNCG",0,"SNCG"
"COL6A3",0,"COL6A3"
"PRRX1",0.0145,"PRRX1"
"FADS1",0.00291666666666667,"FADS1"
"CLEC11A",0,"CLEC11A"
"GPX3",0,"GPX3"
"SNED1",0.00778333333333333,"SNED1"
"CNTNAP2",0.00291666666666667,"CNTNAP2"
"DKK3",0.0418833333333333,"DKK3"
"MDK",0.000857142857142857,"MDK"
"COL7A1",0.00266666666666667,"COL7A1"
"CA4",0.00572619047619047,"CA4"
"MELTF",0.00453333333333333,"MELTF"
"CD300LG",0,"CD300LG"
"OLFML2B",0,"OLFML2B"
"COL1A2",0,"COL1A2"
"JCAD",0,"JCAD"
"IGSF3",0.00272380952380952,"IGSF3"
"COMP",0.0039,"COMP"
"PITPNM1",0,"PITPNM1"
"NPR1",0,"NPR1"
"PTN",0.00364285714285714,"PTN"
"ABLIM3",0.0146333333333333,"ABLIM3"
"APOB",0.003,"APOB"
"LRP4",0,"LRP4"
"FKBP10",0.00730952380952381,"FKBP10"
"FGFR3",0,"FGFR3"
"COL12A1",0.00435714285714286,"COL12A1"
"ELN",0,"ELN"
