"MeanDecreaseAccuracy","Gene"
"COL16A1",NA,"COL16A1"
"AEBP1",0,"AEBP1"
"FBLN1",0,"FBLN1"
"FNDC1",0.000333333333333333,"FNDC1"
"COL6A1",0.00148333333333333,"COL6A1"
"COL6A2",0.00075,"COL6A2"
"GAS1",0.000333333333333333,"GAS1"
"COL5A1",0,"COL5A1"
"COL5A2",-2e-04,"COL5A2"
"MMP2",0,"MMP2"
"COL3A1",0.00108333333333333,"COL3A1"
"CAVIN2",0,"CAVIN2"
"COL27A1",-8.33333333333333e-05,"COL27A1"
"EMILIN1",0,"EMILIN1"
"COL10A1",0.000816666666666667,"COL10A1"
"COL18A1",0,"COL18A1"
"DCN",0.00025,"DCN"
"ALPL",1e-04,"ALPL"
"CLDN5",-0.000166666666666667,"CLDN5"
"COL11A2",0,"COL11A2"
"MRC2",2e-04,"MRC2"
"BGN",2e-04,"BGN"
"SMOC2",0.000142857142857143,"SMOC2"
"TINAGL1",-2e-04,"TINAGL1"
"SNCG",0,"SNCG"
"COL6A3",0,"COL6A3"
"PRRX1",0.00025,"PRRX1"
"FADS1",0,"FADS1"
"CLEC11A",0,"CLEC11A"
"GPX3",0,"GPX3"
"SNED1",0.000291666666666667,"SNED1"
"CNTNAP2",0,"CNTNAP2"
"DKK3",0.0019,"DKK3"
"MDK",0.000333333333333333,"MDK"
"COL7A1",0,"COL7A1"
"CA4",1e-04,"CA4"
"MELTF",-0.00025,"MELTF"
"CD300LG",0,"CD300LG"
"OLFML2B",0,"OLFML2B"
"COL1A2",0,"COL1A2"
"JCAD",0,"JCAD"
"IGSF3",-1e-04,"IGSF3"
"COMP",0.000333333333333333,"COMP"
"PITPNM1",0,"PITPNM1"
"NPR1",0,"NPR1"
"PTN",0,"PTN"
"ABLIM3",0,"ABLIM3"
"APOB",-2e-04,"APOB"
"LRP4",0,"LRP4"
"FKBP10",0.000416666666666667,"FKBP10"
"FGFR3",0,"FGFR3"
"COL12A1",2e-04,"COL12A1"
"ELN",0,"ELN"
"SCNN1B",0.000125,"SCNN1B"
"APCDD1L",0,"APCDD1L"
"CERCAM",0.000866666666666667,"CERCAM"
"COL1A1",0,"COL1A1"
"ATP8B2",0.00045,"ATP8B2"
"C7",0,"C7"
"UNC5B",0,"UNC5B"
"OLFM2",0,"OLFM2"
"FRY",0,"FRY"
"PTH1R",0,"PTH1R"
"AHNAK2",0,"AHNAK2"
"CPXM1",-0.00025,"CPXM1"
"C1R",0,"C1R"
"SDK2",0,"SDK2"
"CDH11",0,"CDH11"
"FAM20C",-0.000333333333333333,"FAM20C"
"ZFP36",0,"ZFP36"
"ITGA11",0,"ITGA11"
"CADM3",0,"CADM3"
"CHPF",0.00103333333333333,"CHPF"
"ATP2A3",0,"ATP2A3"
"CHI3L2",-0.00025,"CHI3L2"
"COL11A1",0.00120833333333333,"COL11A1"
"AGT",0,"AGT"
"CTSK",3.33333333333333e-05,"CTSK"
"THBS1",-0.000125,"THBS1"
"MATK",0,"MATK"
"CILP2",0.00065,"CILP2"
"CYP1B1",0,"CYP1B1"
"SDC1",-0.00025,"SDC1"
"NDRG2",0.000166666666666667,"NDRG2"
"TIMP3",0,"TIMP3"
"PYCR1",0,"PYCR1"
"PLAC9",0,"PLAC9"
"HTRA3",0,"HTRA3"
"VCAN",0,"VCAN"
"MXRA5",0,"MXRA5"
"DEPP1",0,"DEPP1"
"CKB",0,"CKB"
"GSN",0,"GSN"
"JAK3",0,"JAK3"
"LGI4",0.000166666666666667,"LGI4"
"RCN3",0,"RCN3"
"ACAN",0.0018,"ACAN"
"SSC5D",0.000333333333333333,"SSC5D"
"PKP1",0,"PKP1"
"PPP1R1B",0,"PPP1R1B"
"COL8A2",0,"COL8A2"
"NCS1",0,"NCS1"
"IGFBP4",0,"IGFBP4"
"FMOD",0.000533333333333333,"FMOD"
"MAOA",0,"MAOA"
"ROBO4",0,"ROBO4"
"FADS2",0,"FADS2"
"TSPAN11",0.000166666666666667,"TSPAN11"
"GPIHBP1",0,"GPIHBP1"
"SCUBE3",0,"SCUBE3"
"MYL9",0,"MYL9"
"BTG2",-2e-04,"BTG2"
"PLAT",0,"PLAT"
"CCN5",0.000166666666666667,"CCN5"
"ARL4C",0,"ARL4C"
"FN1",-2e-04,"FN1"
"S100A1",-0.00025,"S100A1"
"COL8A1",0,"COL8A1"
"TRBC2",0,"TRBC2"
"MGLL",0,"MGLL"
"ITGAL",0,"ITGAL"
"SCD",0,"SCD"
"IL2RB",0,"IL2RB"
"ALX4",0,"ALX4"
"MMP14",2e-04,"MMP14"
"GLIS3",0,"GLIS3"
"ABI3BP",0.000125,"ABI3BP"
"RASL11A",0,"RASL11A"
"SPTBN1",0,"SPTBN1"
"GPC1",0,"GPC1"
"NIBAN2",0,"NIBAN2"
"HIF3A",0,"HIF3A"
"TMEM119",0,"TMEM119"
"SRPX",9e-04,"SRPX"
"RHOB",0,"RHOB"
"SCARF2",0,"SCARF2"
"HIPK2",0,"HIPK2"
"ADAMTS17",0,"ADAMTS17"
"C1QTNF6",0,"C1QTNF6"
"SAMD11",0,"SAMD11"
"NUP210",0,"NUP210"
"GGT5",-0.00025,"GGT5"
"BPIFB4",-3e-04,"BPIFB4"
"IGHV1.3",0,"IGHV1.3"
"PCOLCE",0,"PCOLCE"
"BMP8A",0,"BMP8A"
"CLEC3B",-0.00025,"CLEC3B"
"IGF2",0,"IGF2"
"PTK7",0,"PTK7"
"PLEKHG5",0,"PLEKHG5"
"TIMP4",0,"TIMP4"
"RARRES2",0,"RARRES2"
"GLIPR2",0,"GLIPR2"
"MMP9",0,"MMP9"
"ALPK3",0,"ALPK3"
"TSPAN15",0,"TSPAN15"
"NLRC3",0.000166666666666667,"NLRC3"
"NTRK2",0,"NTRK2"
"FAM20A",0,"FAM20A"
"ANTXR1",5e-04,"ANTXR1"
"COL2A1",0,"COL2A1"
