"MeanDecreaseGini","Gene"
"CPXM1",0.00428725490196079,"CPXM1"
"EMILIN1",0.032243462823726,"EMILIN1"
"ALPL",0.0218403023447141,"ALPL"
"VCAN",0.0130932195255725,"VCAN"
"CAVIN2",0,"CAVIN2"
"SCUBE3",0.0823917106586224,"SCUBE3"
"CKB",0.0426890696506796,"CKB"
"CA4",0.00341666666666667,"CA4"
"OLFM2",0.0105640768588137,"OLFM2"
"COL6A1",0.0317227484933367,"COL6A1"
"COL3A1",0.0616914682539683,"COL3A1"
"COL16A1",0.0195193498452012,"COL16A1"
"ACP5",0.00362254901960784,"ACP5"
"MDK",0.00243822843822844,"MDK"
"FNDC1",0,"FNDC1"
"COL6A2",0.0539806839402428,"COL6A2"
"GPC1",0.0113597953216374,"GPC1"
"MMP2",0.00180555555555556,"MMP2"
"BPIFB4",0.00365079365079365,"BPIFB4"
"SCARF2",0.00596309523809524,"SCARF2"
"CNTNAP2",0.00467857142857143,"CNTNAP2"
"COL5A3",0.0658539098972922,"COL5A3"
"OLFML2B",0.0095777183600713,"OLFML2B"
"MMP14",0.03171230035874,"MMP14"
"THY1",0.0244933473389356,"THY1"
"SAMD11",0,"SAMD11"
"MMP9",0.0158107658853015,"MMP9"
"GPIHBP1",0,"GPIHBP1"
"SCNN1B",0,"SCNN1B"
"IGFBP4",0.0070891106442577,"IGFBP4"
"GLIS3",0.00510833333333333,"GLIS3"
"MAP3K12",0.0162771367521367,"MAP3K12"
"BTG2",0.0229310134310134,"BTG2"
"C1R",0.00284444444444444,"C1R"
"FBLN1",0.0258867456073338,"FBLN1"
"COL5A1",0.0185024132730015,"COL5A1"
"IGFBP2",0.0597983958035429,"IGFBP2"
"APCDD1L",0.0241557955718172,"APCDD1L"
"AGT",0.00334404761904762,"AGT"
"CYP26B1",0.0031937441643324,"CYP26B1"
"ALX4",0.0163033318590594,"ALX4"
"BMP1",0.00999583333333333,"BMP1"
"ANTXR1",0.0277923983910826,"ANTXR1"
"COL1A2",0.00830882352941176,"COL1A2"
"ZFP36",0.0296455201661084,"ZFP36"
"CD300LG",0.000923076923076923,"CD300LG"
"PKP1",0.0258579221432163,"PKP1"
"COL1A1",0,"COL1A1"
"STMN2",0.0260990305446188,"STMN2"
"TENM2",0.0130200147075147,"TENM2"
"COL6A3",0.00955442583732057,"COL6A3"
"MRC2",0.041543718128277,"MRC2"
"COL12A1",0.017330753968254,"COL12A1"
"ADAM12",0.0174283616667131,"ADAM12"
"AEBP1",0.00674702380952381,"AEBP1"
"COL5A2",0.0144791666666667,"COL5A2"
"FOS",0.00846730769230769,"FOS"
"IGLV9.49",0.00247222222222222,"IGLV9.49"
"ROR2",0.00893295985060691,"ROR2"
"LOXL2",0.0251163632119514,"LOXL2"
"SERPINH1",0.0219569380181222,"SERPINH1"
"TMEM119",0.0018375,"TMEM119"
"SRPX",0.0309775689223058,"SRPX"
"C1orf122",0.00575,"C1orf122"
"DAPK1",0.0122269230769231,"DAPK1"
