"MeanDecreaseAccuracy","Gene"
"CPXM1",0.000104761904761905,"CPXM1"
"EMILIN1",0.000341666666666667,"EMILIN1"
"ALPL",-3.63636363636363e-05,"ALPL"
"VCAN",6.96428571428572e-05,"VCAN"
"CAVIN2",0,"CAVIN2"
"SCUBE3",0.00237887806637807,"SCUBE3"
"CKB",0.00122821067821068,"CKB"
"CA4",5e-05,"CA4"
"OLFM2",6.25e-05,"OLFM2"
"COL6A1",0.00127638888888889,"COL6A1"
"COL3A1",0.000951821789321789,"COL3A1"
"COL16A1",9.79853479853479e-05,"COL16A1"
"ACP5",0.000125,"ACP5"
"MDK",-4.09090909090909e-05,"MDK"
"FNDC1",0,"FNDC1"
"COL6A2",0.000517200854700855,"COL6A2"
"GPC1",0.000229545454545455,"GPC1"
"MMP2",0,"MMP2"
"BPIFB4",0,"BPIFB4"
"SCARF2",0.000155555555555556,"SCARF2"
"CNTNAP2",-4.54545454545455e-05,"CNTNAP2"
"COL5A3",0.000363888888888889,"COL5A3"
"OLFML2B",6.94444444444442e-06,"OLFML2B"
"MMP14",0.000509722222222222,"MMP14"
"THY1",0.000175,"THY1"
"SAMD11",0,"SAMD11"
"MMP9",0.000181367243867244,"MMP9"
"GPIHBP1",0,"GPIHBP1"
"SCNN1B",0,"SCNN1B"
"IGFBP4",0,"IGFBP4"
"GLIS3",0.000140909090909091,"GLIS3"
"MAP3K12",0,"MAP3K12"
"BTG2",0.000459126984126984,"BTG2"
"C1R",1e-04,"C1R"
"FBLN1",-0.000122619047619048,"FBLN1"
"COL5A1",0.000192099567099567,"COL5A1"
"IGFBP2",0.000711706349206349,"IGFBP2"
"APCDD1L",-7.6388888888889e-05,"APCDD1L"
"AGT",-0.0001875,"AGT"
"CYP26B1",-0.000125,"CYP26B1"
"ALX4",0.000267857142857143,"ALX4"
"BMP1",0.000136363636363636,"BMP1"
"ANTXR1",0.000501623376623377,"ANTXR1"
"COL1A2",0.000125,"COL1A2"
"ZFP36",0.000485732323232323,"ZFP36"
"CD300LG",0,"CD300LG"
"PKP1",-0.000216035353535354,"PKP1"
"COL1A1",0,"COL1A1"
"STMN2",-3.80952380952381e-05,"STMN2"
"TENM2",0.00026984126984127,"TENM2"
"COL6A3",0.000122655122655123,"COL6A3"
"MRC2",0.000372594072594073,"MRC2"
"COL12A1",0.000107954545454545,"COL12A1"
"ADAM12",0.000223611111111111,"ADAM12"
"AEBP1",-5.55555555555556e-05,"AEBP1"
"COL5A2",0.00015,"COL5A2"
"FOS",1e-04,"FOS"
"IGLV9.49",0.000111111111111111,"IGLV9.49"
"ROR2",0.000115384615384615,"ROR2"
"LOXL2",0.000316883116883117,"LOXL2"
"SERPINH1",-0.00011010101010101,"SERPINH1"
"TMEM119",8.71212121212121e-05,"TMEM119"
"SRPX",0.000855194805194805,"SRPX"
"C1orf122",5e-05,"C1orf122"
"DAPK1",0.000298611111111111,"DAPK1"
"CEBPB.AS1",0.000408549783549784,"CEBPB.AS1"
"PTN",0.000303968253968254,"PTN"
"MXRA8",0.000658567821067821,"MXRA8"
"SRM",-0.000180555555555556,"SRM"
"FAM155A",0.00145039682539683,"FAM155A"
"NTRK3",-0.000180555555555556,"NTRK3"
"KCNIP1",0,"KCNIP1"
"STX11",0.00108948412698413,"STX11"
"COL18A1",-4.16666666666666e-05,"COL18A1"
"IGDCC4",0,"IGDCC4"
"HTRA3",-6.25e-05,"HTRA3"
"ADAMTS2",9.98376623376624e-05,"ADAMTS2"
"SNRK",3.60750360750367e-06,"SNRK"
"NLRP3",6.94444444444448e-06,"NLRP3"
"CHI3L2",-2.14285714285714e-05,"CHI3L2"
"MAGED1",-8.2972582972583e-06,"MAGED1"
"FBN1",0.000541125541125541,"FBN1"
"FADS2",-2e-04,"FADS2"
"EDIL3",8.33333333333334e-05,"EDIL3"
"ZNF469",6.25e-05,"ZNF469"
"PLOD1",0,"PLOD1"
"NDRG2",0,"NDRG2"
"ZBTB16",0,"ZBTB16"
"ABTB1",4.54545454545455e-05,"ABTB1"
"COL8A1",-0.000142857142857143,"COL8A1"
"ADM",0.000470039682539683,"ADM"
"BARX1",0.000570436507936508,"BARX1"
"RHOB",0,"RHOB"
"KBTBD3",1e-04,"KBTBD3"
"ENSG00000249691",3.78787878787884e-06,"ENSG00000249691"
"ABLIM1",0.000355357142857143,"ABLIM1"
"SP7",0.0001875,"SP7"
"SSTR2",0.000130555555555555,"SSTR2"
"PCDH19",0.000226388888888889,"PCDH19"
"COL7A1",0.000111111111111111,"COL7A1"
"CCNL1",0.000590945165945166,"CCNL1"
"RCN3",0.000743055555555556,"RCN3"
"DUSP26",0,"DUSP26"
"TFF3",-0.000125,"TFF3"
"CTSK",0.000349837662337662,"CTSK"
"MPZL1",5e-05,"MPZL1"
"PRSS23",0.000325,"PRSS23"
"JCAD",7.14285714285714e-05,"JCAD"
"TRPS1",0.00100654761904762,"TRPS1"
"MFAP2",0.00015,"MFAP2"
"TGFB3",4.54545454545455e-05,"TGFB3"
"TMED9",-8.33333333333334e-05,"TMED9"
"IBSP",0.000356367243867244,"IBSP"
"GBP4",0,"GBP4"
"PRRX1",0,"PRRX1"
"FAT3",0,"FAT3"
"CHPF",0.000916666666666667,"CHPF"
"ENSG00000286864",-7.14285714285714e-05,"ENSG00000286864"
"APOLD1",0,"APOLD1"
"HERPUD1",0.000128787878787879,"HERPUD1"
"KCND2",0,"KCND2"
"GGT5",-0.000125,"GGT5"
"VIPR1",0,"VIPR1"
"SATB2",8.29545454545454e-05,"SATB2"
"NFATC4",-0.000105357142857143,"NFATC4"
"FGB",0,"FGB"
"FAM189A2",0,"FAM189A2"
"COL11A1",0.000650793650793651,"COL11A1"
"LHFPL3.AS1",0,"LHFPL3.AS1"
"C1S",0.000125,"C1S"
"LACTBL1",0,"LACTBL1"
"CCL14",0.000285714285714286,"CCL14"
"KLF2",0,"KLF2"
"MAP1LC3C",5.55555555555555e-05,"MAP1LC3C"
"KIAA1755",4.54545454545454e-05,"KIAA1755"
"CLEC11A",-0.000291666666666667,"CLEC11A"
"WSCD1",-5.55555555555556e-05,"WSCD1"
"SRSF7",0.0001875,"SRSF7"
"FAT1",0.00025,"FAT1"
"IQSEC3",0,"IQSEC3"
"SCN4A",7.14285714285714e-05,"SCN4A"
"MYO1A",4.86111111111112e-05,"MYO1A"
"ENSG00000285672",0,"ENSG00000285672"
"CRABP1",0.000125,"CRABP1"
"GPC6",-0.000146428571428571,"GPC6"
"KLF4",0,"KLF4"
"PDE2A",0,"PDE2A"
"SDC1",0,"SDC1"
"ADRB2",7.5e-05,"ADRB2"
"ZNF157",6.25e-05,"ZNF157"
"SNAP25.AS1",0,"SNAP25.AS1"
"SHISAL1",0,"SHISAL1"
"FAM20C",4.86111111111112e-05,"FAM20C"
"ABHD17AP6",0,"ABHD17AP6"
"SMO",0.000499801587301587,"SMO"
"THBS2",0.000307539682539683,"THBS2"
"FZD1",0,"FZD1"
"ENSG00000232926",0,"ENSG00000232926"
"SLC5A3",0.000109126984126984,"SLC5A3"
"SV2B",0.000125,"SV2B"
"LRP5",0.000136363636363636,"LRP5"
"OR51D1",0,"OR51D1"
"ENSG00000273162",7.14285714285714e-05,"ENSG00000273162"
"RBM17",0.000655555555555556,"RBM17"
"CH25H",0.000211111111111111,"CH25H"
"UVRAG",0,"UVRAG"
"TCN2",0,"TCN2"
"IER2",0.000214285714285714,"IER2"
"CDKN1A",2.84090909090909e-05,"CDKN1A"
"COL14A1",0,"COL14A1"
"TBX20",-6.25e-05,"TBX20"
"CGREF1",-0.000211111111111111,"CGREF1"
"ATF3",-0.000285714285714286,"ATF3"
"CALHM3",0,"CALHM3"
"TM4SF19",-0.000142857142857143,"TM4SF19"
"FGL2",0.000469877344877345,"FGL2"
"MXRA5",0.000166666666666667,"MXRA5"
"PTH1R",-5.55555555555556e-05,"PTH1R"
"SPOCD1",-5.55555555555556e-05,"SPOCD1"
"ENSG00000263338",0,"ENSG00000263338"
"SCARA5",0.000362373737373737,"SCARA5"
"TPBG",0,"TPBG"
"COL27A1",2e-04,"COL27A1"
"ENSG00000236453",0,"ENSG00000236453"
"SCG2",0,"SCG2"
"C1QTNF6",-5.55555555555556e-05,"C1QTNF6"
"ENSG00000260541",0.000138888888888889,"ENSG00000260541"
"SSBP2",-2.77777777777777e-05,"SSBP2"
"EVA1B",-0.000235714285714286,"EVA1B"
"PDIA4",1.94805194805195e-05,"PDIA4"
"MIR5189",0,"MIR5189"
"ARSI",5.55555555555556e-05,"ARSI"
"B3GNT5",0,"B3GNT5"
"NAMPT",0.00343246753246753,"NAMPT"
"SEZ6L2",-2.08333333333334e-05,"SEZ6L2"
"FGFR3",0.000263583638583639,"FGFR3"
"NXPH4",-7.14285714285714e-05,"NXPH4"
"FGFRL1",-0.000105555555555556,"FGFRL1"
"AFAP1",-5e-05,"AFAP1"
"NPM1P40",-8.15295815295815e-05,"NPM1P40"
"ENSG00000225365",0,"ENSG00000225365"
"SPARC",0.00154314574314574,"SPARC"
"ENSG00000284986",-7.14285714285714e-05,"ENSG00000284986"
"RAB23",0.00141255411255411,"RAB23"
"SLC4A2",0.000407738095238095,"SLC4A2"
"LOX",0.000492857142857143,"LOX"
"BCO2",-6.11111111111111e-05,"BCO2"
"LGI4",0,"LGI4"
"NPR1",0,"NPR1"
"ZNF595",0,"ZNF595"
"HMGB2",0.000251984126984127,"HMGB2"
"CXCL14",0,"CXCL14"
"PDGFB",-0.000138888888888889,"PDGFB"
"PTMS",-1.60714285714286e-05,"PTMS"
"EIF1",0.00230198412698413,"EIF1"
"ENSG00000244062",0,"ENSG00000244062"
"CEBPD",0.000338095238095238,"CEBPD"
"DYRK2",0.000711201298701299,"DYRK2"
"HIF3A",0,"HIF3A"
"ADAMTS14",0,"ADAMTS14"
"PCOLCE",0.000133928571428571,"PCOLCE"
"ADCY3",-0.000100961538461538,"ADCY3"
"SHOX2",6.25e-05,"SHOX2"
"CLDN5",-7.5e-05,"CLDN5"
"FOXO4",5.55555555555559e-06,"FOXO4"
"ITM2C",0.000275,"ITM2C"
"SERINC2",8.75e-05,"SERINC2"
"KIF26B",0,"KIF26B"
"ENSG00000271714",4.54545454545454e-05,"ENSG00000271714"
"ICAM2",5.55555555555556e-05,"ICAM2"
"P4HA3",6.25e-05,"P4HA3"
"RCN1",0,"RCN1"
"RPS10P21",0,"RPS10P21"
"GAS1",5e-05,"GAS1"
"ENSG00000226767",4.54545454545454e-05,"ENSG00000226767"
"SH3PXD2B",5.55555555555555e-05,"SH3PXD2B"
"MARVELD1",0.000263347763347763,"MARVELD1"
"GREM1",8.73015873015874e-05,"GREM1"
"EFNB3",0.00019287518037518,"EFNB3"
"NID2",0,"NID2"
"HIPK2",-1.58730158730159e-05,"HIPK2"
"LINC02795",0,"LINC02795"
"SHANK2",0,"SHANK2"
"TNF",0.0001375,"TNF"
"CITED2",0,"CITED2"
"LRRC29",9.42460317460317e-05,"LRRC29"
"TMEM59L",0.0002125,"TMEM59L"
"BMP8B",-3.17460317460317e-05,"BMP8B"
"TINF2",0.00047020202020202,"TINF2"
"CDH11",0,"CDH11"
"JUN",7.14285714285714e-05,"JUN"
"SLC22A31",0,"SLC22A31"
"FHL2",0,"FHL2"
"MATN3",-7.14285714285714e-05,"MATN3"
"DKK3",0.000278571428571429,"DKK3"
"FAR1",0.000328210678210678,"FAR1"
"ENSG00000274177",0,"ENSG00000274177"
"JUP",7.14285714285714e-05,"JUP"
"TMEM26.AS1",0,"TMEM26.AS1"
"HID1",-0.0001875,"HID1"
"ENSG00000265739",0,"ENSG00000265739"
"CCDC80",0.000583333333333333,"CCDC80"
"NDUFS1",4.54545454545454e-05,"NDUFS1"
"ENSG00000261227",-6.25e-05,"ENSG00000261227"
"ENSG00000248954",0,"ENSG00000248954"
"APOE",0,"APOE"
"MST1L",0.000111111111111111,"MST1L"
"ENSG00000273855",0,"ENSG00000273855"
"HLA.E",0,"HLA.E"
"PTGFRN",0.000313492063492064,"PTGFRN"
"ENSG00000259562",0,"ENSG00000259562"
"FGFR2",1.19047619047619e-05,"FGFR2"
"BTNL9",0,"BTNL9"
"ZNF474",0,"ZNF474"
"PLEKHA4",6.25e-05,"PLEKHA4"
"NUTM2HP",0,"NUTM2HP"
"SLC2A10",0.000479166666666667,"SLC2A10"
"CPZ",0.000214285714285714,"CPZ"
"CD248",5.55111512312578e-20,"CD248"
"MYO1D",4.54545454545455e-05,"MYO1D"
"ENSG00000286951",0,"ENSG00000286951"
"MX1",0,"MX1"
"EPHB2",1e-04,"EPHB2"
"ENSG00000249738",0,"ENSG00000249738"
"DIO2",-5e-05,"DIO2"
"TPM1",0.000272853535353535,"TPM1"
"RBL2",-6.25e-05,"RBL2"
