"MeanDecreaseAccuracy","Gene"
"CPXM1",0,"CPXM1"
"FNDC1",0,"FNDC1"
"COL6A2",0.00025,"COL6A2"
"AEBP1",0.00025,"AEBP1"
"SCUBE3",0.000333333333333333,"SCUBE3"
"COL16A1",0,"COL16A1"
"THY1",0,"THY1"
"COL11A1",0.00045,"COL11A1"
"ALPL",0,"ALPL"
"VCAN",0,"VCAN"
"COL5A1",5e-04,"COL5A1"
"MMP9",0,"MMP9"
"NLRP3",0,"NLRP3"
"MT1G",0,"MT1G"
"INHBA",0.00025,"INHBA"
"CKB",0.000333333333333333,"CKB"
"COL5A3",0,"COL5A3"
"COL5A2",-5e-04,"COL5A2"
"APCDD1L",2e-04,"APCDD1L"
"LOXL2",0.000333333333333333,"LOXL2"
"ADAM12",0.000916666666666667,"ADAM12"
"MMP14",0,"MMP14"
"OLFML2B",0,"OLFML2B"
"COL15A1",0.000666666666666667,"COL15A1"
"EMILIN1",-5e-04,"EMILIN1"
"COL12A1",0,"COL12A1"
"COL7A1",0.00025,"COL7A1"
"LRRC15",0,"LRRC15"
"FSTL1",0,"FSTL1"
"LBP",0,"LBP"
"SMOC1",0.000866666666666667,"SMOC1"
"ACP5",0,"ACP5"
"LINC00511",5e-04,"LINC00511"
"PTGES",0,"PTGES"
"SPARC",2e-04,"SPARC"
"CAVIN2",0,"CAVIN2"
"HTRA3",5e-04,"HTRA3"
"SMOC2",0.000583333333333333,"SMOC2"
"COL4A1",0,"COL4A1"
"PRSS23",0,"PRSS23"
"GPC1",2e-04,"GPC1"
"ADAMTS2",0,"ADAMTS2"
"LCP2",0,"LCP2"
"CAVIN3",5e-04,"CAVIN3"
"MXRA5",0,"MXRA5"
"TMEM119",0,"TMEM119"
"IGHV1.2",0,"IGHV1.2"
"PRAM1",0.000583333333333333,"PRAM1"
"HHIPL1",0,"HHIPL1"
"MELTF",0,"MELTF"
"ADGRG3",0,"ADGRG3"
"CCL3",0,"CCL3"
"ABCA13",0,"ABCA13"
"ITGAM",0,"ITGAM"
"COL4A2",0,"COL4A2"
"SERPINE2",0,"SERPINE2"
"EDIL3",0,"EDIL3"
"CHPF",0.000333333333333333,"CHPF"
"SPON1",0,"SPON1"
"COL6A1",0.00025,"COL6A1"
"IGFBP4",0,"IGFBP4"
"STX11",0.00075,"STX11"
"FGL2",0,"FGL2"
"MRC2",0,"MRC2"
"IL11",0.000333333333333333,"IL11"
"IGHV3.74",0,"IGHV3.74"
"LGALS1",0,"LGALS1"
"SERPINA5",0,"SERPINA5"
"OLFML3",0,"OLFML3"
"TRPV4",0,"TRPV4"
"MMP2",0,"MMP2"
"CTSK",0,"CTSK"
"IGHG2",0,"IGHG2"
"COL11A2",0,"COL11A2"
"IGLV2.14",0,"IGLV2.14"
"FGD2",0,"FGD2"
"CCL3L1",0,"CCL3L1"
"FSTL3",-0.00025,"FSTL3"
"GNLY",0,"GNLY"
"MAGED1",0,"MAGED1"
"IGLV4.69",0.000333333333333333,"IGLV4.69"
"C1R",0,"C1R"
"IGHV3.33",0,"IGHV3.33"
"GLIS3",-0.000333333333333333,"GLIS3"
"ALX4",0,"ALX4"
"SERPINE1",0,"SERPINE1"
"IRS2",0,"IRS2"
"BGN",0,"BGN"
"H19",0.00025,"H19"
