sample	depth	sampleID	RT_RNA_amount_ng	no_feature	not_aligned	mapped_to_exons
A01	1684650	74_Hip_non sclerotic_adipocyte	NA	196829	1391663	96158
A02	312453	79_Hip_non sclerotic_adipocyte	NA	80678	123134	108641
A03	19589294	125_Hip_non sclerotic_adipocyte	NA	4755283	7672569	7161442
A04	9902101	129_Hip_non sclerotic_adipocyte	NA	4615932	2711529	2574640
A05	21802891	145_Hip_non sclerotic_adipocyte	NA	5181074	7526321	9095496
A06	74807	150_Hip_non sclerotic_adipocyte	NA	26241	13609	34957
A07	34596966	153_Hip_non sclerotic_adipocyte	NA	8049633	12891426	13655907
A08	39410344	157_Hip_non sclerotic_adipocyte	NA	12589553	11152243	15668548
B01	103765	74_Hip_sclerotic_adipocyte	NA	28332	66419	9014
B02	883270	79_Hip_sclerotic_adipocyte	NA	191608	454845	236817
B03	26009809	125_Hip_sclerotic_adipocyte	NA	7369390	7576132	11064287
B04	14643539	129_Hip_sclerotic_adipocyte	NA	4119896	4838080	5685563
B05	7267590	145_Hip_sclerotic_adipocyte	NA	1750521	2615755	2901314
B06	18467277	150_Hip_sclerotic_adipocyte	NA	4527195	6426830	7513252
B07	30287961	153_Hip_sclerotic_adipocyte	NA	8507084	9672144	12108733
B08	10920140	157_Hip_sclerotic_adipocyte	NA	2767134	3919281	4233725
C01	2588449	74_Hip_non sclerotic_pellet	NA	2112626	416854	58969
C02	24422551	79_Hip_non sclerotic_pellet	NA	9762767	8622464	6037320
C03	26769434	125_Hip_non sclerotic_pellet	NA	10355130	7945034	8469270
C04	7004344	129_Hip_non sclerotic_pellet	NA	3770055	1993530	1240759
C05	3100220	145_Hip_non sclerotic_pellet	NA	875764	1433169	791287
C06	4868414	150_Hip_non sclerotic_pellet	NA	1241379	2663117	963918
C07	39661891	153_Hip_non sclerotic_pellet	NA	15393474	12653016	11615401
C08	22635192	157_Hip_non sclerotic_pellet	NA	8154170	8855824	5625198
D01	457405	74_Hip_sclerotic_pellet	NA	76023	363548	17834
D02	14333700	79_Hip_sclerotic_pellet	NA	4990128	4080353	5263219
D03	23341378	125_Hip_sclerotic_pellet	NA	8014090	7470605	7856683
D04	40497206	129_Hip_sclerotic_pellet	NA	14957366	13051180	12488660
D05	7029809	145_Hip_sclerotic_pellet	NA	1297492	3783634	1948683
D06	3892571	150_Hip_sclerotic_pellet	NA	1191429	1328424	1372718
D07	35722384	153_Hip_sclerotic_pellet	NA	13939711	11110388	10672285
D08	13669643	157_Hip_sclerotic_pellet	NA	4544532	4654311	4470800
E01	10624	78_Hip_non sclerotic_adipocyte	NA	6130	3802	692
E02	13113047	108_Hip_non sclerotic_adipocyte	NA	4231555	3884113	4997379
E03	11249134	126_Hip_non sclerotic_adipocyte	NA	2440274	3791756	5017104
E04	4627796	143_Hip_non sclerotic_adipocyte	NA	1442654	1694133	1491009
E05	23192892	146_Hip_non sclerotic_adipocyte	NA	6743593	7300838	9148461
E06	29102491	152_Hip_non sclerotic_adipocyte	NA	7430909	10117173	11554409
E07	12668313	154_Hip_non sclerotic_adipocyte	NA	3828214	3946062	4894037
E08	11389425	158_Hip_non sclerotic_adipocyte	NA	1107365	8966472	1315588
F01	357009	78_Hip_sclerotic_adipocyte	NA	83027	259233	14749
F02	19678042	108_Hip_sclerotic_adipocyte	NA	6854980	5873712	6949350
F03	6762141	126_Hip_sclerotic_adipocyte	NA	1280776	2537625	2943740
F04	9746143	143_Hip_sclerotic_adipocyte	NA	2532614	3066992	4146537
F05	35770073	146_Hip_sclerotic_adipocyte	NA	10933020	10505506	14331547
F06	40543122	152_Hip_sclerotic_adipocyte	NA	12919698	10058873	17564551
F07	5289005	154_Hip_sclerotic_adipocyte	NA	1353537	2107694	1827774
F08	14863261	158_Hip_sclerotic_adipocyte	NA	5085108	3747510	6030643
G01	2693636	78_Hip_non sclerotic_pellet	NA	2004100	577448	112088
G02	4356322	108_Hip_non sclerotic_pellet	NA	1179432	2079342	1097548
G03	3421274	126_Hip_non sclerotic_pellet	NA	828153	1679053	914068
G04	37629621	143_Hip_non sclerotic_pellet	NA	16099857	10255149	11274615
G05	20804047	146_Hip_non sclerotic_pellet	NA	6784280	7722685	6297082
G06	45985580	152_Hip_non sclerotic_pellet	NA	18336819	12694111	14954650
G07	995512	154_Hip_non sclerotic_pellet	NA	306220	452430	236862
G08	13179836	158_Hip_non sclerotic_pellet	NA	5090019	3408525	4681292
H01	365891	78_Hip_sclerotic_pellet	NA	96747	245197	23947
H02	9148127	108_Hip_sclerotic_pellet	NA	2827165	3341467	2979495
H03	5553927	126_Hip_sclerotic_pellet	NA	1616594	1884588	2052745
H04	14110498	143_Hip_sclerotic_pellet	NA	3644119	6123723	4342656
H05	29728695	146_Hip_sclerotic_pellet	NA	8615140	12598570	8514985
H06	11308144	152_Hip_sclerotic_pellet	NA	3948430	3677487	3682227
H07	3372832	154_Hip_sclerotic_pellet	NA	742248	1620680	1009904
H08	9877386	158_Hip_sclerotic_pellet	NA	3351743	3359544	3166099
Unknown	9880190	Unknown	NA	3164607	4114013	2601570
